"","Year","Diagnoses/Case","Estimate","Min.","1st Qu.","Median","Mean","3rd Qu.","Max."
"1",2010,"PLWHA","PLWHA",NA,NA,NA,2189.7,NA,NA
"6",2010,"Base Case","Undiagnosed Cases",62.4,63.3,65.1,65.7,67.4,70.2
"26",2010,"Base Case","True Prevalence",2252.1,2253.1,2254.8,2255.4,2257.2,2259.9
"46",2010,"Base Case","Undiagnosed Fraction (%)",2.8,2.8,2.9,2.9,3,3.1
"7",2010,"Base Case using Stage","Undiagnosed Cases",13.4,14.1,17.2,17.7,20.8,23.1
"27",2010,"Base Case using Stage","True Prevalence",2203.1,2203.8,2206.9,2207.5,2210.6,2212.9
"47",2010,"Base Case using Stage","Undiagnosed Fraction (%)",0.6,0.6,0.8,0.8,0.9,1
"9",2010,"Upper Bound","Undiagnosed Cases",116.5,118.6,119.8,120.3,121.5,124.9
"29",2010,"Upper Bound","True Prevalence",2306.2,2308.3,2309.5,2310,2311.2,2314.6
"49",2010,"Upper Bound","Undiagnosed Fraction (%)",5.1,5.1,5.2,5.2,5.3,5.4
"8",2010,"Upper Bound using Stage","Undiagnosed Cases",22,22.2,25.7,27.7,31.2,37.2
"28",2010,"Upper Bound using Stage","True Prevalence",2211.8,2211.9,2215.5,2217.4,2221,2226.9
"48",2010,"Upper Bound using Stage","Undiagnosed Fraction (%)",1,1,1.2,1.2,1.4,1.7
"2",2011,"PLWHA","PLWHA",NA,NA,NA,2189.7,NA,NA
"10",2011,"Base Case","Undiagnosed Cases",66.9,67.6,68.4,68.8,69.7,71.5
"30",2011,"Base Case","True Prevalence",2256.6,2257.3,2258.1,2258.5,2259.4,2261.2
"50",2011,"Base Case","Undiagnosed Fraction (%)",3,3,3,3,3.1,3.2
"11",2011,"Base Case using Stage","Undiagnosed Cases",14.4,16.5,17.5,17,18.1,18.8
"31",2011,"Base Case using Stage","True Prevalence",2204,2206.1,2207.2,2206.7,2207.8,2208.5
"51",2011,"Base Case using Stage","Undiagnosed Fraction (%)",0.7,0.7,0.8,0.8,0.8,0.9
"12",2011,"Upper Bound","Undiagnosed Cases",126.6,126.6,127.3,128.8,129.5,134.2
"32",2011,"Upper Bound","True Prevalence",2316.3,2316.3,2317,2318.5,2319.2,2323.9
"52",2011,"Upper Bound","Undiagnosed Fraction (%)",5.5,5.5,5.5,5.6,5.6,5.8
"13",2011,"Upper Bound using Stage","Undiagnosed Cases",24.8,26.1,27.3,27.9,29.1,32
"33",2011,"Upper Bound using Stage","True Prevalence",2214.5,2215.8,2217,2217.6,2218.8,2221.7
"53",2011,"Upper Bound using Stage","Undiagnosed Fraction (%)",1.1,1.2,1.2,1.3,1.3,1.4
"3",2012,"PLWHA","PLWHA",NA,NA,NA,2218.2,NA,NA
"15",2012,"Base Case","Undiagnosed Cases",72.3,74.2,75.1,75,75.8,77.5
"35",2012,"Base Case","True Prevalence",2290.5,2292.4,2293.2,2293.1,2294,2295.7
"55",2012,"Base Case","Undiagnosed Fraction (%)",3.2,3.2,3.3,3.3,3.3,3.4
"16",2012,"Base Case using Stage","Undiagnosed Cases",17.9,19.1,20.1,20.3,21.3,23.3
