"","Year","Diagnoses/Case","Estimate","Min.","1st Qu.","Median","Mean","3rd Qu.","Max."
"1",2010,"PLWHA","PLWHA",NA,NA,NA,1956.5,NA,NA
"6",2010,"Base Case","Undiagnosed Cases",288.3,288.5,292.6,294.2,298.3,303.4
"16",2010,"Base Case","True Prevalence",2244.8,2245,2249.1,2250.7,2254.8,2259.9
"26",2010,"Base Case","Undiagnosed Fraction (%)",12.8,12.9,13,13.1,13.2,13.4
"7",2010,"Base Case using Stage","Undiagnosed Cases",316.8,317.3,322.1,323.2,328,331.7
"17",2010,"Base Case using Stage","True Prevalence",2273.3,2273.8,2278.6,2279.7,2284.5,2288.2
"27",2010,"Base Case using Stage","Undiagnosed Fraction (%)",13.9,14,14.1,14.2,14.4,14.5
"2",2011,"PLWHA","PLWHA",NA,NA,NA,1957.5,NA,NA
"9",2011,"Base Case","Undiagnosed Cases",299.7,300.9,303.2,303.4,305.7,307.4
"19",2011,"Base Case","True Prevalence",2257.2,2258.4,2260.7,2260.9,2263.2,2264.9
"29",2011,"Base Case","Undiagnosed Fraction (%)",13.3,13.3,13.4,13.4,13.5,13.6
"8",2011,"Base Case using Stage","Undiagnosed Cases",326.8,327.5,330.1,330,332.5,333
"18",2011,"Base Case using Stage","True Prevalence",2284.3,2285,2287.6,2287.5,2290,2290.5
"28",2011,"Base Case using Stage","Undiagnosed Fraction (%)",14.3,14.3,14.4,14.4,14.5,14.5
"3",2012,"PLWHA","PLWHA",NA,NA,NA,1983.3,NA,NA
"11",2012,"Base Case","Undiagnosed Cases",283.4,289,293.6,293.4,298,303
"21",2012,"Base Case","True Prevalence",2266.7,2272.3,2276.9,2276.7,2281.3,2286.3
"31",2012,"Base Case","Undiagnosed Fraction (%)",12.5,12.7,12.9,12.9,13.1,13.3
"10",2012,"Base Case using Stage","Undiagnosed Cases",298.7,307.3,313.9,313.2,319.8,326.1
"20",2012,"Base Case using Stage","True Prevalence",2282,2290.6,2297.2,2296.5,2303.1,2309.4
"30",2012,"Base Case using Stage","Undiagnosed Fraction (%)",13.1,13.4,13.7,13.6,13.9,14.1
"4",2013,"PLWHA","PLWHA",NA,NA,NA,2046.7,NA,NA
"12",2013,"Base Case","Undiagnosed Cases",229.8,241,249.8,249.4,258.2,268.3
"22",2013,"Base Case","True Prevalence",2276.5,2287.7,2296.5,2296.1,2304.9,2315
"32",2013,"Base Case","Undiagnosed Fraction (%)",10.1,10.5,10.9,10.9,11.2,11.6
"13",2013,"Base Case using Stage","Undiagnosed Cases",233.7,246.9,257.8,257.4,268.3,280.1
"23",2013,"Base Case using Stage","True Prevalence",2280.4,2293.6,2304.5,2304.1,2315,2326.8
"33",2013,"Base Case using Stage","Undiagnosed Fraction (%)",10.2,10.8,11.2,11.2,11.6,12
"5",2014,"PLWHA","PLWHA",NA,NA,NA,2115.2,NA,NA
"14",2014,"Base Case","Undiagnosed Cases",204.2,205.2,206.2,208.7,210.9,215.7
"24",2014,"Base Case","True Prevalence",2319.4,2320.4,2321.4,2323.9,2326.1,2330.9
"34",2014,"Base Case","Undiagnosed Fraction (%)",8.8,8.8,8.9,9,9.1,9.3
"15",2014,"Base Case using Stage","Undiagnosed Cases",207,207.7,208.5,211.2,213.2,218
"25",2014,"Base Case using Stage","True Prevalence",2322.2,2322.9,2323.7,2326.4,2328.4,2333.2
"35",2014,"Base Case using Stage","Undiagnosed Fraction (%)",8.9,8.9,9,9.1,9.2,9.3
