"","Year","Diagnoses/Case","Estimate","Min.","1st Qu.","Median","Mean","3rd Qu.","Max."
"1",2010,"PLWHA","PLWHA",NA,NA,NA,2934.8,NA,NA
"6",2010,"Base Case","Undiagnosed Cases",603.5,605.1,606.3,606.1,607.3,608.5
"26",2010,"Base Case","True Prevalence",3538.2,3539.8,3541.1,3540.8,3542.1,3543.2
"46",2010,"Base Case","Undiagnosed Fraction (%)",17.1,17.1,17.1,17.1,17.1,17.2
"7",2010,"Base Case using Stage","Undiagnosed Cases",603.5,605.1,606.3,606.1,607.3,608.5
"27",2010,"Base Case using Stage","True Prevalence",3538.2,3539.8,3541.1,3540.8,3542.1,3543.2
"47",2010,"Base Case using Stage","Undiagnosed Fraction (%)",17.1,17.1,17.1,17.1,17.1,17.2
"9",2010,"Upper Bound","Undiagnosed Cases",1142,1147,1153,1152,1158,1161
"29",2010,"Upper Bound","True Prevalence",4076.8,4081.8,4087.8,4086.8,4092.8,4095.8
"49",2010,"Upper Bound","Undiagnosed Fraction (%)",28,28.1,28.2,28.2,28.3,28.3
"8",2010,"Upper Bound using Stage","Undiagnosed Cases",1142,1147,1153,1152,1158,1161
"28",2010,"Upper Bound using Stage","True Prevalence",4076.8,4081.8,4087.8,4086.8,4092.8,4095.8
"48",2010,"Upper Bound using Stage","Undiagnosed Fraction (%)",28,28.1,28.2,28.2,28.3,28.3
"2",2011,"PLWHA","PLWHA",NA,NA,NA,2936.2,NA,NA
"10",2011,"Base Case","Undiagnosed Cases",594.7,597.9,599.7,598.8,600.6,601.3
"30",2011,"Base Case","True Prevalence",3530.9,3534.2,3535.9,3535.1,3536.8,3537.6
"50",2011,"Base Case","Undiagnosed Fraction (%)",16.8,16.9,17,16.9,17,17
"11",2011,"Base Case using Stage","Undiagnosed Cases",594.7,597.9,599.7,598.8,600.6,601.3
"31",2011,"Base Case using Stage","True Prevalence",3530.9,3534.2,3535.9,3535.1,3536.8,3537.6
"51",2011,"Base Case using Stage","Undiagnosed Fraction (%)",16.8,16.9,17,16.9,17,17
"12",2011,"Upper Bound","Undiagnosed Cases",1114,1122,1126,1125,1129,1134
"32",2011,"Upper Bound","True Prevalence",4050.2,4058.2,4062.2,4061.2,4065.2,4070.2
"52",2011,"Upper Bound","Undiagnosed Fraction (%)",27.5,27.6,27.7,27.7,27.8,27.9
"13",2011,"Upper Bound using Stage","Undiagnosed Cases",1114,1122,1126,1125,1129,1134
"33",2011,"Upper Bound using Stage","True Prevalence",4050.2,4058.2,4062.2,4061.2,4065.2,4070.2
"53",2011,"Upper Bound using Stage","Undiagnosed Fraction (%)",27.5,27.6,27.7,27.7,27.8,27.9
"3",2012,"PLWHA","PLWHA",NA,NA,NA,2975,NA,NA
