"Subgroup","Year","Diagnoses/Case","Estimate","Min.","Mean","Max."
"BED+DD-",2010,"PLWHA","PLWHA",NA,2934.8,NA
"BED+DD-",2010,"Upper Bound","Undiagnosed Cases",155.4,158.4,161.6
"BED+DD-",2010,"Upper Bound","True Prevalence",3090.2,3093.2,3096.3
"BED+DD-",2010,"Upper Bound","Undiagnosed Fraction (%)",5,5.1,5.2
"BED+DD-",2010,"Upper Bound using Stage","Undiagnosed Cases",27.9,33.3,40.9
"BED+DD-",2010,"Upper Bound using Stage","True Prevalence",2962.6,2968.1,2975.6
"BED+DD-",2010,"Upper Bound using Stage","Undiagnosed Fraction (%)",0.9,1.1,1.4
"BED+DD-",2011,"PLWHA","PLWHA",NA,2936.2,NA
"BED+DD-",2011,"Upper Bound","Undiagnosed Cases",164.3,169.2,177.2
"BED+DD-",2011,"Upper Bound","True Prevalence",3100.6,3105.4,3113.4
"BED+DD-",2011,"Upper Bound","Undiagnosed Fraction (%)",5.3,5.4,5.7
"BED+DD-",2011,"Upper Bound using Stage","Undiagnosed Cases",29,31.4,33.7
"BED+DD-",2011,"Upper Bound using Stage","True Prevalence",2965.3,2967.6,2970
"BED+DD-",2011,"Upper Bound using Stage","Undiagnosed Fraction (%)",1,1.1,1.1
"BED+DD-",2012,"PLWHA","PLWHA",NA,2975,NA
"BED+DD-",2012,"Upper Bound","Undiagnosed Cases",176.4,181.1,184.3
"BED+DD-",2012,"Upper Bound","True Prevalence",3151.4,3156.1,3159.3
"BED+DD-",2012,"Upper Bound","Undiagnosed Fraction (%)",5.6,5.7,5.8
"BED+DD-",2012,"Upper Bound using Stage","Undiagnosed Cases",36.9,39,41.4
"BED+DD-",2012,"Upper Bound using Stage","True Prevalence",3011.8,3014,3016.4
"BED+DD-",2012,"Upper Bound using Stage","Undiagnosed Fraction (%)",1.2,1.3,1.4
"BED+DD-",2013,"PLWHA","PLWHA",NA,3070,NA
"BED+DD-",2013,"Upper Bound","Undiagnosed Cases",138.2,153.6,169.3
"BED+DD-",2013,"Upper Bound","True Prevalence",3208.2,3223.6,3239.3
"BED+DD-",2013,"Upper Bound","Undiagnosed Fraction (%)",4.3,4.8,5.2
"BED+DD-",2013,"Upper Bound using Stage","Undiagnosed Cases",18.6,28.3,37.1
"BED+DD-",2013,"Upper Bound using Stage","True Prevalence",3088.6,3098.3,3107.1
"BED+DD-",2013,"Upper Bound using Stage","Undiagnosed Fraction (%)",0.6,0.9,1.2
"BED+DD-",2014,"PLWHA","PLWHA",NA,3172.8,NA
"BED+DD-",2014,"Upper Bound","Undiagnosed Cases",120.9,125.4,131.3
"BED+DD-",2014,"Upper Bound","True Prevalence",3293.7,3298.2,3304.1
"BED+DD-",2014,"Upper Bound","Undiagnosed Fraction (%)",3.7,3.8,4
"BED+DD-",2014,"Upper Bound using Stage","Undiagnosed Cases",8,12.5,19.8
"BED+DD-",2014,"Upper Bound using Stage","True Prevalence",3180.7,3185.2,3192.5
"BED+DD-",2014,"Upper Bound using Stage","Undiagnosed Fraction (%)",0.3,0.4,0.6
"BED-",2010,"PLWHA","PLWHA",NA,2934.8,NA
"BED-",2010,"Upper Bound","Undiagnosed Cases",875.9,881.3,887.9
"BED-",2010,"Upper Bound","True Prevalence",3810.7,3816.1,3822.7
"BED-",2010,"Upper Bound","Undiagnosed Fraction (%)",23,23.1,23.2
"BED-",2010,"Upper Bound using Stage","Undiagnosed Cases",875.9,881.3,887.9
"BED-",2010,"Upper Bound using Stage","True Prevalence",3810.7,3816.1,3822.7
"BED-",2010,"Upper Bound using Stage","Undiagnosed Fraction (%)",23,23.1,23.2
"BED-",2011,"PLWHA","PLWHA",NA,2936.2,NA
"BED-",2011,"Upper Bound","Undiagnosed Cases",826.4,843.1,859.6
