"imputed","time","var","value","Subgroup"
"Yes",2005,"# Diagnosed  ",7,"race=Asian"
"Yes",2005.25,"# Diagnosed  ",6,"race=Asian"
"Yes",2005.5,"# Diagnosed  ",3,"race=Asian"
"Yes",2005.75,"# Diagnosed  ",4,"race=Asian"
"Yes",2006,"# Diagnosed  ",5,"race=Asian"
"Yes",2006.25,"# Diagnosed  ",4,"race=Asian"
"Yes",2006.5,"# Diagnosed  ",5,"race=Asian"
"Yes",2006.75,"# Diagnosed  ",9,"race=Asian"
"Yes",2007,"# Diagnosed  ",3,"race=Asian"
"Yes",2007.25,"# Diagnosed  ",6,"race=Asian"
"Yes",2007.5,"# Diagnosed  ",9,"race=Asian"
"Yes",2007.75,"# Diagnosed  ",4,"race=Asian"
"Yes",2008,"# Diagnosed  ",9,"race=Asian"
"Yes",2008.25,"# Diagnosed  ",6,"race=Asian"
"Yes",2008.5,"# Diagnosed  ",8,"race=Asian"
"Yes",2008.75,"# Diagnosed  ",4,"race=Asian"
"Yes",2009,"# Diagnosed  ",8,"race=Asian"
"Yes",2009.25,"# Diagnosed  ",6,"race=Asian"
"Yes",2009.5,"# Diagnosed  ",8,"race=Asian"
"Yes",2009.75,"# Diagnosed  ",3,"race=Asian"
"Yes",2010,"# Diagnosed  ",8,"race=Asian"
"Yes",2010.25,"# Diagnosed  ",3,"race=Asian"
"Yes",2010.5,"# Diagnosed  ",6,"race=Asian"
"Yes",2010.75,"# Diagnosed  ",9,"race=Asian"
"Yes",2011,"# Diagnosed  ",9,"race=Asian"
"Yes",2011.25,"# Diagnosed  ",6,"race=Asian"
"Yes",2011.5,"# Diagnosed  ",6,"race=Asian"
"Yes",2011.75,"# Diagnosed  ",4,"race=Asian"
"Yes",2012,"# Diagnosed  ",8,"race=Asian"
"Yes",2012.25,"# Diagnosed  ",6,"race=Asian"
"Yes",2012.5,"# Diagnosed  ",7,"race=Asian"
"Yes",2012.75,"# Diagnosed  ",8,"race=Asian"
"Yes",2013,"# Diagnosed  ",9,"race=Asian"
"Yes",2013.25,"# Diagnosed  ",3,"race=Asian"
"Yes",2013.5,"# Diagnosed  ",3,"race=Asian"
"Yes",2013.75,"# Diagnosed  ",8,"race=Asian"
"Yes",2005,"Incidence (Base Case)  ",4.9546611200786,"race=Asian"
"Yes",2005.25,"Incidence (Base Case)  ",4.8847326841633,"race=Asian"
"Yes",2005.5,"Incidence (Base Case)  ",4.76185829479411,"race=Asian"
"Yes",2005.75,"Incidence (Base Case)  ",5.20619901308011,"race=Asian"
"Yes",2006,"Incidence (Base Case)  ",5.70195603332685,"race=Asian"
"Yes",2006.25,"Incidence (Base Case)  ",6.399318063301,"race=Asian"
"Yes",2006.5,"Incidence (Base Case)  ",6.93011429873069,"race=Asian"
"Yes",2006.75,"Incidence (Base Case)  ",7.3387339234673,"race=Asian"
"Yes",2007,"Incidence (Base Case)  ",7.66831263976136,"race=Asian"
"Yes",2007.25,"Incidence (Base Case)  ",8.13843736098611,"race=Asian"
"Yes",2007.5,"Incidence (Base Case)  ",8.1141236763871,"race=Asian"
"Yes",2007.75,"Incidence (Base Case)  ",8.14297410367194,"race=Asian"
"Yes",2008,"Incidence (Base Case)  ",8.21327459527665,"race=Asian"
"Yes",2008.25,"Incidence (Base Case)  ",8.0585237026175,"race=Asian"
"Yes",2008.5,"Incidence (Base Case)  ",7.79353625791467,"race=Asian"
"Yes",2008.75,"Incidence (Base Case)  ",7.63294223436424,"race=Asian"
"Yes",2009,"Incidence (Base Case)  ",7.60096171028506,"race=Asian"
"Yes",2009.25,"Incidence (Base Case)  ",7.41997987112794,"race=Asian"
"Yes",2009.5,"Incidence (Base Case)  ",7.12561915156462,"race=Asian"
"Yes",2009.75,"Incidence (Base Case)  ",6.99754332922689,"race=Asian"
"Yes",2010,"Incidence (Base Case)  ",7.15266738232635,"race=Asian"
"Yes",2010.25,"Incidence (Base Case)  ",7.41217205835761,"race=Asian"
"Yes",2010.5,"Incidence (Base Case)  ",7.61786587685293,"race=Asian"
"Yes",2010.75,"Incidence (Base Case)  ",7.64831942963357,"race=Asian"
"Yes",2011,"Incidence (Base Case)  ",7.43851831844974,"race=Asian"
"Yes",2011.25,"Incidence (Base Case)  ",7.10419523150496,"race=Asian"
"Yes",2011.5,"Incidence (Base Case)  ",6.8806029451346,"race=Asian"
"Yes",2011.75,"Incidence (Base Case)  ",6.79275347533436,"race=Asian"
"Yes",2012,"Incidence (Base Case)  ",6.78756683232525,"race=Asian"
"Yes",2012.25,"Incidence (Base Case)  ",6.65642564060688,"race=Asian"
"Yes",2012.5,"Incidence (Base Case)  ",6.43723897389723,"race=Asian"
"Yes",2012.75,"Incidence (Base Case)  ",6.0834735864158,"race=Asian"
"Yes",2013,"Incidence (Base Case)  ",5.63759145878344,"race=Asian"
"Yes",2013.25,"Incidence (Base Case)  ",5.36791202187118,"race=Asian"
"Yes",2013.5,"Incidence (Base Case)  ",5.4341379575457,"race=Asian"
"Yes",2013.75,"Incidence (Base Case)  ",5.54496345752595,"race=Asian"
"Yes",2005,"Incidence (Upper Bound)  ",5.45166881399919,"race=Asian"
"Yes",2005.25,"Incidence (Upper Bound)  ",5.46876717469834,"race=Asian"
"Yes",2005.5,"Incidence (Upper Bound)  ",5.52155965295375,"race=Asian"
"Yes",2005.75,"Incidence (Upper Bound)  ",5.72618346721426,"race=Asian"
"Yes",2006,"Incidence (Upper Bound)  ",5.95268639066107,"race=Asian"
"Yes",2006.25,"Incidence (Upper Bound)  ",6.24382727501299,"race=Asian"
"Yes",2006.5,"Incidence (Upper Bound)  ",6.33867775534592,"race=Asian"
"Yes",2006.75,"Incidence (Upper Bound)  ",6.42616768047302,"race=Asian"
"Yes",2007,"Incidence (Upper Bound)  ",6.56231546259013,"race=Asian"
"Yes",2007.25,"Incidence (Upper Bound)  ",6.68151963553241,"race=Asian"
"Yes",2007.5,"Incidence (Upper Bound)  ",6.66395522226768,"race=Asian"
"Yes",2007.75,"Incidence (Upper Bound)  ",6.69496699612629,"race=Asian"
"Yes",2008,"Incidence (Upper Bound)  ",6.70142737061353,"race=Asian"
"Yes",2008.25,"Incidence (Upper Bound)  ",6.66183566963265,"race=Asian"
"Yes",2008.5,"Incidence (Upper Bound)  ",6.59837602296945,"race=Asian"
"Yes",2008.75,"Incidence (Upper Bound)  ",6.62589379789187,"race=Asian"
"Yes",2009,"Incidence (Upper Bound)  ",6.66708916792479,"race=Asian"
"Yes",2009.25,"Incidence (Upper Bound)  ",6.6251449587392,"race=Asian"
"Yes",2009.5,"Incidence (Upper Bound)  ",6.58783332595326,"race=Asian"
"Yes",2009.75,"Incidence (Upper Bound)  ",6.6228059587223,"race=Asian"
"Yes",2010,"Incidence (Upper Bound)  ",6.71761465892716,"race=Asian"
"Yes",2010.25,"Incidence (Upper Bound)  ",6.84620662876221,"race=Asian"
"Yes",2010.5,"Incidence (Upper Bound)  ",6.89389037944107,"race=Asian"
"Yes",2010.75,"Incidence (Upper Bound)  ",6.88463442662247,"race=Asian"
"Yes",2011,"Incidence (Upper Bound)  ",6.80716769315697,"race=Asian"
"Yes",2011.25,"Incidence (Upper Bound)  ",6.68861851200957,"race=Asian"
"Yes",2011.5,"Incidence (Upper Bound)  ",6.61832018589191,"race=Asian"
"Yes",2011.75,"Incidence (Upper Bound)  ",6.61819684809518,"race=Asian"
"Yes",2012,"Incidence (Upper Bound)  ",6.62594200868697,"race=Asian"
"Yes",2012.25,"Incidence (Upper Bound)  ",6.56738307682026,"race=Asian"
"Yes",2012.5,"Incidence (Upper Bound)  ",6.47778354715661,"race=Asian"
"Yes",2012.75,"Incidence (Upper Bound)  ",6.3232555501736,"race=Asian"
"Yes",2013,"Incidence (Upper Bound)  ",6.19425869208115,"race=Asian"
"Yes",2013.25,"Incidence (Upper Bound)  ",6.20357822954219,"race=Asian"
"Yes",2013.5,"Incidence (Upper Bound)  ",6.26429011057037,"race=Asian"
"Yes",2013.75,"Incidence (Upper Bound)  ",6.28746386763662,"race=Asian"
"No",2005,"# Diagnosed  ",7,"race=Asian"
"No",2005.25,"# Diagnosed  ",6,"race=Asian"
"No",2005.5,"# Diagnosed  ",3,"race=Asian"
"No",2005.75,"# Diagnosed  ",4,"race=Asian"
"No",2006,"# Diagnosed  ",5,"race=Asian"
"No",2006.25,"# Diagnosed  ",4,"race=Asian"
"No",2006.5,"# Diagnosed  ",5,"race=Asian"
"No",2006.75,"# Diagnosed  ",9,"race=Asian"
"No",2007,"# Diagnosed  ",3,"race=Asian"
"No",2007.25,"# Diagnosed  ",6,"race=Asian"
"No",2007.5,"# Diagnosed  ",9,"race=Asian"
"No",2007.75,"# Diagnosed  ",4,"race=Asian"
"No",2008,"# Diagnosed  ",9,"race=Asian"
"No",2008.25,"# Diagnosed  ",6,"race=Asian"
"No",2008.5,"# Diagnosed  ",8,"race=Asian"
"No",2008.75,"# Diagnosed  ",4,"race=Asian"
"No",2009,"# Diagnosed  ",8,"race=Asian"
"No",2009.25,"# Diagnosed  ",6,"race=Asian"
"No",2009.5,"# Diagnosed  ",8,"race=Asian"
"No",2009.75,"# Diagnosed  ",3,"race=Asian"
"No",2010,"# Diagnosed  ",8,"race=Asian"
"No",2010.25,"# Diagnosed  ",3,"race=Asian"
"No",2010.5,"# Diagnosed  ",6,"race=Asian"
"No",2010.75,"# Diagnosed  ",9,"race=Asian"
"No",2011,"# Diagnosed  ",9,"race=Asian"
"No",2011.25,"# Diagnosed  ",6,"race=Asian"
"No",2011.5,"# Diagnosed  ",6,"race=Asian"
"No",2011.75,"# Diagnosed  ",4,"race=Asian"
"No",2012,"# Diagnosed  ",8,"race=Asian"
"No",2012.25,"# Diagnosed  ",6,"race=Asian"
"No",2012.5,"# Diagnosed  ",7,"race=Asian"
"No",2012.75,"# Diagnosed  ",8,"race=Asian"
"No",2013,"# Diagnosed  ",9,"race=Asian"
"No",2013.25,"# Diagnosed  ",3,"race=Asian"
"No",2013.5,"# Diagnosed  ",3,"race=Asian"
"No",2013.75,"# Diagnosed  ",8,"race=Asian"
"No",2005,"Incidence (Base Case)  ",4.5279976661516,"race=Asian"
"No",2005.25,"Incidence (Base Case)  ",4.16466286932341,"race=Asian"
"No",2005.5,"Incidence (Base Case)  ",3.92018828472141,"race=Asian"
"No",2005.75,"Incidence (Base Case)  ",4.34170952345857,"race=Asian"
"No",2006,"Incidence (Base Case)  ",4.84458829173414,"race=Asian"
"No",2006.25,"Incidence (Base Case)  ",5.58332960588071,"race=Asian"
"No",2006.5,"Incidence (Base Case)  ",6.20707891585223,"race=Asian"
"No",2006.75,"Incidence (Base Case)  ",6.60692464656912,"race=Asian"
"No",2007,"Incidence (Base Case)  ",6.90728073911889,"race=Asian"
"No",2007.25,"Incidence (Base Case)  ",7.44763015470745,"race=Asian"
"No",2007.5,"Incidence (Base Case)  ",7.46298319676839,"race=Asian"
"No",2007.75,"Incidence (Base Case)  ",7.47429938787054,"race=Asian"
"No",2008,"Incidence (Base Case)  ",7.512355347602,"race=Asian"
"No",2008.25,"Incidence (Base Case)  ",7.28487182461619,"race=Asian"
"No",2008.5,"Incidence (Base Case)  ",6.9831609344763,"race=Asian"
"No",2008.75,"Incidence (Base Case)  ",6.80703409731101,"race=Asian"
