"imputed","var","Min.","X1st.Qu.","Median","Mean","X3rd.Qu.","Max.","Subgroup"
"Yes","# Diagnosed  ",3,4,6,6.111,8,9,"race=Asian"
"Yes","Incidence (Base Case)  ",4.762,5.988,7.051,6.808,7.622,8.213,"race=Asian"
"Yes","Incidence (Upper Bound)  ",5.452,6.282,6.608,6.44,6.671,6.894,"race=Asian"
"Yes","Undiagnosed (Base Case)  ",121.5,134,144.5,141.8,151.5,154.4,"race=Asian"
"Yes","Undiagnosed (Upper Bound)  ",262.2,270.9,272.5,272.3,275.3,277.7,"race=Asian"
"No","# Diagnosed  ",3,4,6,6.111,8,9,"race=Asian"
"No","Incidence (Base Case)  ",3.92,5.576,6.615,6.31,6.926,7.512,"race=Asian"
"No","Incidence (Upper Bound)  ",4.67,5.857,6.676,6.453,7.012,7.305,"race=Asian"
"No","Undiagnosed (Base Case)  ",83.06,90.24,94.16,93.3,97.29,100.4,"race=Asian"
"No","Undiagnosed (Upper Bound)  ",164.6,175.4,178.5,177.6,182.3,185.1,"race=Asian"
