"imputed","time","var","value","Subgroup"
"Yes",2005,"# Diagnosed  ",28,"race=Black"
"Yes",2005.25,"# Diagnosed  ",23,"race=Black"
"Yes",2005.5,"# Diagnosed  ",25,"race=Black"
"Yes",2005.75,"# Diagnosed  ",25,"race=Black"
"Yes",2006,"# Diagnosed  ",19,"race=Black"
"Yes",2006.25,"# Diagnosed  ",27,"race=Black"
"Yes",2006.5,"# Diagnosed  ",14,"race=Black"
"Yes",2006.75,"# Diagnosed  ",18,"race=Black"
"Yes",2007,"# Diagnosed  ",27,"race=Black"
"Yes",2007.25,"# Diagnosed  ",28,"race=Black"
"Yes",2007.5,"# Diagnosed  ",26,"race=Black"
"Yes",2007.75,"# Diagnosed  ",21,"race=Black"
"Yes",2008,"# Diagnosed  ",25,"race=Black"
"Yes",2008.25,"# Diagnosed  ",31,"race=Black"
"Yes",2008.5,"# Diagnosed  ",22,"race=Black"
"Yes",2008.75,"# Diagnosed  ",23,"race=Black"
"Yes",2009,"# Diagnosed  ",21,"race=Black"
"Yes",2009.25,"# Diagnosed  ",16,"race=Black"
"Yes",2009.5,"# Diagnosed  ",17,"race=Black"
"Yes",2009.75,"# Diagnosed  ",27,"race=Black"
"Yes",2010,"# Diagnosed  ",21,"race=Black"
"Yes",2010.25,"# Diagnosed  ",14,"race=Black"
"Yes",2010.5,"# Diagnosed  ",18,"race=Black"
"Yes",2010.75,"# Diagnosed  ",17,"race=Black"
"Yes",2011,"# Diagnosed  ",23,"race=Black"
"Yes",2011.25,"# Diagnosed  ",20,"race=Black"
"Yes",2011.5,"# Diagnosed  ",19,"race=Black"
"Yes",2011.75,"# Diagnosed  ",22,"race=Black"
"Yes",2012,"# Diagnosed  ",23,"race=Black"
"Yes",2012.25,"# Diagnosed  ",27,"race=Black"
"Yes",2012.5,"# Diagnosed  ",22,"race=Black"
"Yes",2012.75,"# Diagnosed  ",19,"race=Black"
"Yes",2013,"# Diagnosed  ",23,"race=Black"
"Yes",2013.25,"# Diagnosed  ",24,"race=Black"
"Yes",2013.5,"# Diagnosed  ",26,"race=Black"
"Yes",2013.75,"# Diagnosed  ",11,"race=Black"
"Yes",2005,"Incidence (Base Case)  ",22.2191751640901,"race=Black"
"Yes",2005.25,"Incidence (Base Case)  ",21.9337062108875,"race=Black"
"Yes",2005.5,"Incidence (Base Case)  ",21.6496336322146,"race=Black"
