"imputed","time","var","value","Subgroup"
"Yes",2005,"# Diagnosed  ",47,"mode=Hetero"
"Yes",2005.25,"# Diagnosed  ",30,"mode=Hetero"
"Yes",2005.5,"# Diagnosed  ",39,"mode=Hetero"
"Yes",2005.75,"# Diagnosed  ",43,"mode=Hetero"
"Yes",2006,"# Diagnosed  ",32,"mode=Hetero"
"Yes",2006.25,"# Diagnosed  ",36,"mode=Hetero"
"Yes",2006.5,"# Diagnosed  ",28,"mode=Hetero"
"Yes",2006.75,"# Diagnosed  ",43,"mode=Hetero"
"Yes",2007,"# Diagnosed  ",51,"mode=Hetero"
"Yes",2007.25,"# Diagnosed  ",30,"mode=Hetero"
"Yes",2007.5,"# Diagnosed  ",46,"mode=Hetero"
"Yes",2007.75,"# Diagnosed  ",36,"mode=Hetero"
"Yes",2008,"# Diagnosed  ",40,"mode=Hetero"
"Yes",2008.25,"# Diagnosed  ",51,"mode=Hetero"
"Yes",2008.5,"# Diagnosed  ",49,"mode=Hetero"
"Yes",2008.75,"# Diagnosed  ",38,"mode=Hetero"
"Yes",2009,"# Diagnosed  ",39,"mode=Hetero"
"Yes",2009.25,"# Diagnosed  ",39,"mode=Hetero"
"Yes",2009.5,"# Diagnosed  ",29,"mode=Hetero"
"Yes",2009.75,"# Diagnosed  ",40,"mode=Hetero"
"Yes",2010,"# Diagnosed  ",44,"mode=Hetero"
"Yes",2010.25,"# Diagnosed  ",28,"mode=Hetero"
"Yes",2010.5,"# Diagnosed  ",38,"mode=Hetero"
"Yes",2010.75,"# Diagnosed  ",28,"mode=Hetero"
"Yes",2011,"# Diagnosed  ",37,"mode=Hetero"
"Yes",2011.25,"# Diagnosed  ",18,"mode=Hetero"
"Yes",2011.5,"# Diagnosed  ",25,"mode=Hetero"
"Yes",2011.75,"# Diagnosed  ",36,"mode=Hetero"
"Yes",2012,"# Diagnosed  ",47,"mode=Hetero"
"Yes",2012.25,"# Diagnosed  ",41,"mode=Hetero"
"Yes",2012.5,"# Diagnosed  ",37,"mode=Hetero"
"Yes",2012.75,"# Diagnosed  ",37,"mode=Hetero"
"Yes",2013,"# Diagnosed  ",31,"mode=Hetero"
"Yes",2013.25,"# Diagnosed  ",36,"mode=Hetero"
"Yes",2013.5,"# Diagnosed  ",32,"mode=Hetero"
"Yes",2013.75,"# Diagnosed  ",33,"mode=Hetero"
"Yes",2005,"Incidence (Base Case)  ",36.9705833970946,"mode=Hetero"
"Yes",2005.25,"Incidence (Base Case)  ",36.8210079879814,"mode=Hetero"
