"imputed","time","var","value","Subgroup"
"Yes",2005,"# Diagnosed  ",30,"race=Hisp"
"Yes",2005.25,"# Diagnosed  ",10,"race=Hisp"
"Yes",2005.5,"# Diagnosed  ",22,"race=Hisp"
"Yes",2005.75,"# Diagnosed  ",14,"race=Hisp"
"Yes",2006,"# Diagnosed  ",15,"race=Hisp"
"Yes",2006.25,"# Diagnosed  ",21,"race=Hisp"
"Yes",2006.5,"# Diagnosed  ",12,"race=Hisp"
"Yes",2006.75,"# Diagnosed  ",17,"race=Hisp"
"Yes",2007,"# Diagnosed  ",26,"race=Hisp"
"Yes",2007.25,"# Diagnosed  ",20,"race=Hisp"
"Yes",2007.5,"# Diagnosed  ",23,"race=Hisp"
"Yes",2007.75,"# Diagnosed  ",20,"race=Hisp"
"Yes",2008,"# Diagnosed  ",17,"race=Hisp"
"Yes",2008.25,"# Diagnosed  ",31,"race=Hisp"
"Yes",2008.5,"# Diagnosed  ",21,"race=Hisp"
"Yes",2008.75,"# Diagnosed  ",25,"race=Hisp"
"Yes",2009,"# Diagnosed  ",15,"race=Hisp"
"Yes",2009.25,"# Diagnosed  ",26,"race=Hisp"
"Yes",2009.5,"# Diagnosed  ",22,"race=Hisp"
"Yes",2009.75,"# Diagnosed  ",23,"race=Hisp"
"Yes",2010,"# Diagnosed  ",24,"race=Hisp"
"Yes",2010.25,"# Diagnosed  ",32,"race=Hisp"
"Yes",2010.5,"# Diagnosed  ",27,"race=Hisp"
"Yes",2010.75,"# Diagnosed  ",21,"race=Hisp"
"Yes",2011,"# Diagnosed  ",23,"race=Hisp"
"Yes",2011.25,"# Diagnosed  ",12,"race=Hisp"
"Yes",2011.5,"# Diagnosed  ",19,"race=Hisp"
"Yes",2011.75,"# Diagnosed  ",22,"race=Hisp"
"Yes",2012,"# Diagnosed  ",16,"race=Hisp"
"Yes",2012.25,"# Diagnosed  ",18,"race=Hisp"
"Yes",2012.5,"# Diagnosed  ",15,"race=Hisp"
"Yes",2012.75,"# Diagnosed  ",14,"race=Hisp"
"Yes",2013,"# Diagnosed  ",19,"race=Hisp"
"Yes",2013.25,"# Diagnosed  ",23,"race=Hisp"
"Yes",2013.5,"# Diagnosed  ",16,"race=Hisp"
"Yes",2013.75,"# Diagnosed  ",21,"race=Hisp"
"Yes",2005,"Incidence (Base Case)  ",18.9674715099187,"race=Hisp"
"Yes",2005.25,"Incidence (Base Case)  ",18.7268456536435,"race=Hisp"
"Yes",2005.5,"Incidence (Base Case)  ",18.9352076030694,"race=Hisp"
"Yes",2005.75,"Incidence (Base Case)  ",19.1529308185741,"race=Hisp"
"Yes",2006,"Incidence (Base Case)  ",19.6891827660249,"race=Hisp"
"Yes",2006.25,"Incidence (Base Case)  ",20.3977633382536,"race=Hisp"
"Yes",2006.5,"Incidence (Base Case)  ",21.126075388759,"race=Hisp"
"Yes",2006.75,"Incidence (Base Case)  ",22.0467028994712,"race=Hisp"
"Yes",2007,"Incidence (Base Case)  ",22.8894131824447,"race=Hisp"
"Yes",2007.25,"Incidence (Base Case)  ",23.4469668705984,"race=Hisp"
"Yes",2007.5,"Incidence (Base Case)  ",23.9821727463913,"race=Hisp"
"Yes",2007.75,"Incidence (Base Case)  ",24.381849376555,"race=Hisp"
"Yes",2008,"Incidence (Base Case)  ",24.7308522377089,"race=Hisp"
"Yes",2008.25,"Incidence (Base Case)  ",25.0252194361213,"race=Hisp"
"Yes",2008.5,"Incidence (Base Case)  ",24.9497957944686,"race=Hisp"
"Yes",2008.75,"Incidence (Base Case)  ",24.8248041558124,"race=Hisp"
"Yes",2009,"Incidence (Base Case)  ",24.6387943914016,"race=Hisp"
"Yes",2009.25,"Incidence (Base Case)  ",24.5153203645017,"race=Hisp"
"Yes",2009.5,"Incidence (Base Case)  ",24.1914901713316,"race=Hisp"
"Yes",2009.75,"Incidence (Base Case)  ",23.7542068824258,"race=Hisp"
"Yes",2010,"Incidence (Base Case)  ",23.1191454068032,"race=Hisp"
"Yes",2010.25,"Incidence (Base Case)  ",22.2242270940308,"race=Hisp"
"Yes",2010.5,"Incidence (Base Case)  ",21.0000618558172,"race=Hisp"
"Yes",2010.75,"Incidence (Base Case)  ",19.6963829848478,"race=Hisp"
"Yes",2011,"Incidence (Base Case)  ",18.5358645026919,"race=Hisp"
"Yes",2011.25,"Incidence (Base Case)  ",17.5399867595413,"race=Hisp"
"Yes",2011.5,"Incidence (Base Case)  ",16.8956837200401,"race=Hisp"
"Yes",2011.75,"Incidence (Base Case)  ",16.3456190797157,"race=Hisp"
"Yes",2012,"Incidence (Base Case)  ",15.8695004941139,"race=Hisp"
"Yes",2012.25,"Incidence (Base Case)  ",15.6247112843835,"race=Hisp"
"Yes",2012.5,"Incidence (Base Case)  ",15.5555888202083,"race=Hisp"
"Yes",2012.75,"Incidence (Base Case)  ",15.6916024914172,"race=Hisp"
"Yes",2013,"Incidence (Base Case)  ",15.946229686998,"race=Hisp"
"Yes",2013.25,"Incidence (Base Case)  ",16.1173912810972,"race=Hisp"
"Yes",2013.5,"Incidence (Base Case)  ",16.1581664561131,"race=Hisp"
"Yes",2013.75,"Incidence (Base Case)  ",16.2441285754382,"race=Hisp"
"Yes",2005,"Incidence (Upper Bound)  ",18.8803483735049,"race=Hisp"
"Yes",2005.25,"Incidence (Upper Bound)  ",18.910966812142,"race=Hisp"
"Yes",2005.5,"Incidence (Upper Bound)  ",19.0826353267497,"race=Hisp"
"Yes",2005.75,"Incidence (Upper Bound)  ",19.3256957068229,"race=Hisp"
"Yes",2006,"Incidence (Upper Bound)  ",19.7157129213339,"race=Hisp"
"Yes",2006.25,"Incidence (Upper Bound)  ",20.1518211386157,"race=Hisp"
"Yes",2006.5,"Incidence (Upper Bound)  ",20.6284177126394,"race=Hisp"
"Yes",2006.75,"Incidence (Upper Bound)  ",21.0692306715278,"race=Hisp"
"Yes",2007,"Incidence (Upper Bound)  ",21.4313022779689,"race=Hisp"
"Yes",2007.25,"Incidence (Upper Bound)  ",21.711084155219,"race=Hisp"
"Yes",2007.5,"Incidence (Upper Bound)  ",21.9382326287447,"race=Hisp"
"Yes",2007.75,"Incidence (Upper Bound)  ",22.123439829554,"race=Hisp"
"Yes",2008,"Incidence (Upper Bound)  ",22.2382098839245,"race=Hisp"
"Yes",2008.25,"Incidence (Upper Bound)  ",22.252004343746,"race=Hisp"
"Yes",2008.5,"Incidence (Upper Bound)  ",22.1710658312108,"race=Hisp"
"Yes",2008.75,"Incidence (Upper Bound)  ",22.0648904319201,"race=Hisp"
"Yes",2009,"Incidence (Upper Bound)  ",21.9562206790553,"race=Hisp"
"Yes",2009.25,"Incidence (Upper Bound)  ",21.8246307043339,"race=Hisp"
"Yes",2009.5,"Incidence (Upper Bound)  ",21.5883073538723,"race=Hisp"
"Yes",2009.75,"Incidence (Upper Bound)  ",21.2380562396478,"race=Hisp"
"Yes",2010,"Incidence (Upper Bound)  ",20.7604371858581,"race=Hisp"
"Yes",2010.25,"Incidence (Upper Bound)  ",20.1168714101254,"race=Hisp"
"Yes",2010.5,"Incidence (Upper Bound)  ",19.4137560232269,"race=Hisp"
"Yes",2010.75,"Incidence (Upper Bound)  ",18.7569909128852,"race=Hisp"
"Yes",2011,"Incidence (Upper Bound)  ",18.2026587393772,"race=Hisp"
"Yes",2011.25,"Incidence (Upper Bound)  ",17.7784794962615,"race=Hisp"
"Yes",2011.5,"Incidence (Upper Bound)  ",17.4604236690037,"race=Hisp"
"Yes",2011.75,"Incidence (Upper Bound)  ",17.1951568702647,"race=Hisp"
"Yes",2012,"Incidence (Upper Bound)  ",17.0248821719201,"race=Hisp"
"Yes",2012.25,"Incidence (Upper Bound)  ",16.9779385964967,"race=Hisp"
"Yes",2012.5,"Incidence (Upper Bound)  ",17.0224318045837,"race=Hisp"
"Yes",2012.75,"Incidence (Upper Bound)  ",17.1337619005862,"race=Hisp"
"Yes",2013,"Incidence (Upper Bound)  ",17.2340753668234,"race=Hisp"
"Yes",2013.25,"Incidence (Upper Bound)  ",17.2887628139711,"race=Hisp"
"Yes",2013.5,"Incidence (Upper Bound)  ",17.3153588606596,"race=Hisp"
"Yes",2013.75,"Incidence (Upper Bound)  ",17.3346506283908,"race=Hisp"
"No",2005,"# Diagnosed  ",30,"race=Hisp"
"No",2005.25,"# Diagnosed  ",10,"race=Hisp"
