"imputed","var","Min.","X1st.Qu.","Median","Mean","X3rd.Qu.","Max.","Subgroup"
"Yes","# Diagnosed  ",10,16,21,20.33,23,32,"race=Hisp"
"Yes","Incidence (Base Case)  ",15.56,16.76,20.05,20.36,23.81,25.03,"race=Hisp"
"Yes","Incidence (Upper Bound)  ",16.98,17.43,19.56,19.65,21.62,22.25,"race=Hisp"
"Yes","Undiagnosed (Base Case)  ",388.1,404.7,414.4,415.8,427.7,442.8,"race=Hisp"
"Yes","Undiagnosed (Upper Bound)  ",771.6,779,793.3,793.8,808.9,813.9,"race=Hisp"
"No","# Diagnosed  ",10,16,21,20.33,23,32,"race=Hisp"
"No","Incidence (Base Case)  ",16.31,17.62,19.19,20.19,23.37,24.28,"race=Hisp"
"No","Incidence (Upper Bound)  ",16.17,17.2,19.8,20.21,23.35,24.4,"race=Hisp"
"No","Undiagnosed (Base Case)  ",218.4,226.7,232.3,234.1,241,255.1,"race=Hisp"
"No","Undiagnosed (Upper Bound)  ",430.8,441.8,452,453.6,467.9,479.6,"race=Hisp"
