"imputed","time","var","value","Subgroup"
"Yes",2005,"# Diagnosed  ",94,"mode=MSM"
"Yes",2005.25,"# Diagnosed  ",91,"mode=MSM"
"Yes",2005.5,"# Diagnosed  ",79,"mode=MSM"
"Yes",2005.75,"# Diagnosed  ",92,"mode=MSM"
"Yes",2006,"# Diagnosed  ",90,"mode=MSM"
"Yes",2006.25,"# Diagnosed  ",101,"mode=MSM"
"Yes",2006.5,"# Diagnosed  ",82,"mode=MSM"
"Yes",2006.75,"# Diagnosed  ",84,"mode=MSM"
"Yes",2007,"# Diagnosed  ",101,"mode=MSM"
"Yes",2007.25,"# Diagnosed  ",108,"mode=MSM"
"Yes",2007.5,"# Diagnosed  ",95,"mode=MSM"
"Yes",2007.75,"# Diagnosed  ",79,"mode=MSM"
"Yes",2008,"# Diagnosed  ",75,"mode=MSM"
"Yes",2008.25,"# Diagnosed  ",103,"mode=MSM"
"Yes",2008.5,"# Diagnosed  ",71,"mode=MSM"
"Yes",2008.75,"# Diagnosed  ",82,"mode=MSM"
"Yes",2009,"# Diagnosed  ",95,"mode=MSM"
"Yes",2009.25,"# Diagnosed  ",95,"mode=MSM"
"Yes",2009.5,"# Diagnosed  ",85,"mode=MSM"
"Yes",2009.75,"# Diagnosed  ",88,"mode=MSM"
"Yes",2010,"# Diagnosed  ",101,"mode=MSM"
"Yes",2010.25,"# Diagnosed  ",98,"mode=MSM"
"Yes",2010.5,"# Diagnosed  ",91,"mode=MSM"
"Yes",2010.75,"# Diagnosed  ",84,"mode=MSM"
"Yes",2011,"# Diagnosed  ",93,"mode=MSM"
"Yes",2011.25,"# Diagnosed  ",87,"mode=MSM"
"Yes",2011.5,"# Diagnosed  ",75,"mode=MSM"
"Yes",2011.75,"# Diagnosed  ",88,"mode=MSM"
"Yes",2012,"# Diagnosed  ",86,"mode=MSM"
"Yes",2012.25,"# Diagnosed  ",93,"mode=MSM"
"Yes",2012.5,"# Diagnosed  ",76,"mode=MSM"
"Yes",2012.75,"# Diagnosed  ",65,"mode=MSM"
"Yes",2013,"# Diagnosed  ",86,"mode=MSM"
"Yes",2013.25,"# Diagnosed  ",76,"mode=MSM"
"Yes",2013.5,"# Diagnosed  ",68,"mode=MSM"
"Yes",2013.75,"# Diagnosed  ",78,"mode=MSM"
"Yes",2005,"Incidence (Base Case)  ",89.6122797215931,"mode=MSM"
"Yes",2005.25,"Incidence (Base Case)  ",89.4613124256677,"mode=MSM"
"Yes",2005.5,"Incidence (Base Case)  ",89.3544875377847,"mode=MSM"
"Yes",2005.75,"Incidence (Base Case)  ",89.3348955740361,"mode=MSM"
"Yes",2006,"Incidence (Base Case)  ",89.2680106606883,"mode=MSM"
"Yes",2006.25,"Incidence (Base Case)  ",89.1576350710396,"mode=MSM"
"Yes",2006.5,"Incidence (Base Case)  ",88.9483454505308,"mode=MSM"
"Yes",2006.75,"Incidence (Base Case)  ",88.7996116038035,"mode=MSM"
"Yes",2007,"Incidence (Base Case)  ",88.6078519352546,"mode=MSM"
"Yes",2007.25,"Incidence (Base Case)  ",88.2084593417508,"mode=MSM"
"Yes",2007.5,"Incidence (Base Case)  ",87.634413766646,"mode=MSM"
"Yes",2007.75,"Incidence (Base Case)  ",87.0925025822182,"mode=MSM"
"Yes",2008,"Incidence (Base Case)  ",86.7348665820182,"mode=MSM"
"Yes",2008.25,"Incidence (Base Case)  ",86.5040887482142,"mode=MSM"
"Yes",2008.5,"Incidence (Base Case)  ",86.1970078322795,"mode=MSM"
"Yes",2008.75,"Incidence (Base Case)  ",86.0724261311665,"mode=MSM"
"Yes",2009,"Incidence (Base Case)  ",85.9371527160214,"mode=MSM"
"Yes",2009.25,"Incidence (Base Case)  ",85.6592068212726,"mode=MSM"
"Yes",2009.5,"Incidence (Base Case)  ",85.2713836279416,"mode=MSM"
"Yes",2009.75,"Incidence (Base Case)  ",84.84300340179,"mode=MSM"
"Yes",2010,"Incidence (Base Case)  ",84.2894224247906,"mode=MSM"
"Yes",2010.25,"Incidence (Base Case)  ",83.5108583080041,"mode=MSM"
"Yes",2010.5,"Incidence (Base Case)  ",82.5928040824793,"mode=MSM"
"Yes",2010.75,"Incidence (Base Case)  ",81.6369384359112,"mode=MSM"
"Yes",2011,"Incidence (Base Case)  ",80.6957394196372,"mode=MSM"
"Yes",2011.25,"Incidence (Base Case)  ",79.7069434741734,"mode=MSM"
"Yes",2011.5,"Incidence (Base Case)  ",78.7676063560692,"mode=MSM"
"Yes",2011.75,"Incidence (Base Case)  ",77.94191581662,"mode=MSM"
"Yes",2012,"Incidence (Base Case)  ",77.0848271153203,"mode=MSM"
"Yes",2012.25,"Incidence (Base Case)  ",76.2269928153172,"mode=MSM"
"Yes",2012.5,"Incidence (Base Case)  ",75.3776921751496,"mode=MSM"
"Yes",2012.75,"Incidence (Base Case)  ",74.7457560259116,"mode=MSM"
"Yes",2013,"Incidence (Base Case)  ",74.3554034220202,"mode=MSM"
"Yes",2013.25,"Incidence (Base Case)  ",73.9969411397828,"mode=MSM"
"Yes",2013.5,"Incidence (Base Case)  ",73.7943242442866,"mode=MSM"
"Yes",2013.75,"Incidence (Base Case)  ",73.7662882482715,"mode=MSM"
"Yes",2005,"Incidence (Upper Bound)  ",86.2295664692253,"mode=MSM"
"Yes",2005.25,"Incidence (Upper Bound)  ",86.1048386462506,"mode=MSM"
"Yes",2005.5,"Incidence (Upper Bound)  ",85.9838388096023,"mode=MSM"
"Yes",2005.75,"Incidence (Upper Bound)  ",85.8366768442418,"mode=MSM"
"Yes",2006,"Incidence (Upper Bound)  ",85.686263988521,"mode=MSM"
"Yes",2006.25,"Incidence (Upper Bound)  ",85.5121471552029,"mode=MSM"
"Yes",2006.5,"Incidence (Upper Bound)  ",85.2965307440466,"mode=MSM"
"Yes",2006.75,"Incidence (Upper Bound)  ",85.0320195748785,"mode=MSM"
"Yes",2007,"Incidence (Upper Bound)  ",84.6998867393701,"mode=MSM"
"Yes",2007.25,"Incidence (Upper Bound)  ",84.2869175836656,"mode=MSM"
"Yes",2007.5,"Incidence (Upper Bound)  ",83.8250779541985,"mode=MSM"
"Yes",2007.75,"Incidence (Upper Bound)  ",83.4078504747947,"mode=MSM"
"Yes",2008,"Incidence (Upper Bound)  ",83.1045695923466,"mode=MSM"
"Yes",2008.25,"Incidence (Upper Bound)  ",82.8285774581716,"mode=MSM"
"Yes",2008.5,"Incidence (Upper Bound)  ",82.557346229159,"mode=MSM"
"Yes",2008.75,"Incidence (Upper Bound)  ",82.3073624643398,"mode=MSM"
"Yes",2009,"Incidence (Upper Bound)  ",82.0116115163445,"mode=MSM"
