"imputed","time","var","value","Subgroup"
"Yes",2005,"# Diagnosed  ",1,"race=Multi"
"Yes",2005.25,"# Diagnosed  ",2,"race=Multi"
"Yes",2005.5,"# Diagnosed  ",2,"race=Multi"
"Yes",2005.75,"# Diagnosed  ",4,"race=Multi"
"Yes",2006,"# Diagnosed  ",4,"race=Multi"
"Yes",2006.25,"# Diagnosed  ",7,"race=Multi"
"Yes",2006.5,"# Diagnosed  ",2,"race=Multi"
"Yes",2006.75,"# Diagnosed  ",3,"race=Multi"
"Yes",2007,"# Diagnosed  ",7,"race=Multi"
"Yes",2007.25,"# Diagnosed  ",3,"race=Multi"
"Yes",2007.5,"# Diagnosed  ",3,"race=Multi"
"Yes",2007.75,"# Diagnosed  ",2,"race=Multi"
"Yes",2008,"# Diagnosed  ",3,"race=Multi"
"Yes",2008.25,"# Diagnosed  ",7,"race=Multi"
"Yes",2008.5,"# Diagnosed  ",1,"race=Multi"
"Yes",2008.75,"# Diagnosed  ",3,"race=Multi"
"Yes",2009,"# Diagnosed  ",6,"race=Multi"
"Yes",2009.25,"# Diagnosed  ",4,"race=Multi"
"Yes",2009.5,"# Diagnosed  ",3,"race=Multi"
"Yes",2009.75,"# Diagnosed  ",5,"race=Multi"
"Yes",2010,"# Diagnosed  ",4,"race=Multi"
"Yes",2010.25,"# Diagnosed  ",2,"race=Multi"
"Yes",2010.5,"# Diagnosed  ",5,"race=Multi"
"Yes",2010.75,"# Diagnosed  ",7,"race=Multi"
"Yes",2011,"# Diagnosed  ",1,"race=Multi"
"Yes",2011.25,"# Diagnosed  ",5,"race=Multi"
"Yes",2011.5,"# Diagnosed  ",4,"race=Multi"
"Yes",2011.75,"# Diagnosed  ",3,"race=Multi"
"Yes",2012,"# Diagnosed  ",4,"race=Multi"
"Yes",2012.25,"# Diagnosed  ",6,"race=Multi"
"Yes",2012.5,"# Diagnosed  ",4,"race=Multi"
"Yes",2012.75,"# Diagnosed  ",5,"race=Multi"
"Yes",2013,"# Diagnosed  ",0,"race=Multi"
"Yes",2013.25,"# Diagnosed  ",2,"race=Multi"
"Yes",2013.5,"# Diagnosed  ",3,"race=Multi"
"Yes",2013.75,"# Diagnosed  ",5,"race=Multi"
"Yes",2005,"Incidence (Base Case)  ",2.55344061314496,"race=Multi"
"Yes",2005.25,"Incidence (Base Case)  ",3.55012665331032,"race=Multi"
"Yes",2005.5,"Incidence (Base Case)  ",4.75592058575578,"race=Multi"
"Yes",2005.75,"Incidence (Base Case)  ",5.79121571935797,"race=Multi"
"Yes",2006,"Incidence (Base Case)  ",6.42616053752672,"race=Multi"
"Yes",2006.25,"Incidence (Base Case)  ",6.32957375363444,"race=Multi"
"Yes",2006.5,"Incidence (Base Case)  ",5.86648631413926,"race=Multi"
"Yes",2006.75,"Incidence (Base Case)  ",5.76398188752885,"race=Multi"
"Yes",2007,"Incidence (Base Case)  ",5.59324433456427,"race=Multi"
"Yes",2007.25,"Incidence (Base Case)  ",4.64740242030708,"race=Multi"
"Yes",2007.5,"Incidence (Base Case)  ",4.38776572700931,"race=Multi"
"Yes",2007.75,"Incidence (Base Case)  ",4.3392537820672,"race=Multi"
"Yes",2008,"Incidence (Base Case)  ",4.58863064952876,"race=Multi"
"Yes",2008.25,"Incidence (Base Case)  ",4.67377293950544,"race=Multi"
"Yes",2008.5,"Incidence (Base Case)  ",4.5605913280582,"race=Multi"
"Yes",2008.75,"Incidence (Base Case)  ",4.98531307377215,"race=Multi"
"Yes",2009,"Incidence (Base Case)  ",5.42048464107659,"race=Multi"
"Yes",2009.25,"Incidence (Base Case)  ",5.14597551708724,"race=Multi"
"Yes",2009.5,"Incidence (Base Case)  ",4.97836356410908,"race=Multi"
"Yes",2009.75,"Incidence (Base Case)  ",5.00606915993443,"race=Multi"
"Yes",2010,"Incidence (Base Case)  ",4.94726032828533,"race=Multi"
"Yes",2010.25,"Incidence (Base Case)  ",4.83864602898998,"race=Multi"
"Yes",2010.5,"Incidence (Base Case)  ",5.13221563689922,"race=Multi"
"Yes",2010.75,"Incidence (Base Case)  ",4.95088952736359,"race=Multi"
"Yes",2011,"Incidence (Base Case)  ",4.42928807861889,"race=Multi"
"Yes",2011.25,"Incidence (Base Case)  ",4.3940622624178,"race=Multi"
"Yes",2011.5,"Incidence (Base Case)  ",4.27967188325194,"race=Multi"
"Yes",2011.75,"Incidence (Base Case)  ",4.19197303771141,"race=Multi"
"Yes",2012,"Incidence (Base Case)  ",4.31838696023294,"race=Multi"
"Yes",2012.25,"Incidence (Base Case)  ",4.05778499027288,"race=Multi"
"Yes",2012.5,"Incidence (Base Case)  ",3.27787465604579,"race=Multi"
"Yes",2012.75,"Incidence (Base Case)  ",2.48990356046457,"race=Multi"
"Yes",2013,"Incidence (Base Case)  ",1.89096878187677,"race=Multi"
"Yes",2013.25,"Incidence (Base Case)  ",2.35938073636734,"race=Multi"
"Yes",2013.5,"Incidence (Base Case)  ",3.04202455091864,"race=Multi"
"Yes",2013.75,"Incidence (Base Case)  ",3.51992635340043,"race=Multi"
"Yes",2005,"Incidence (Upper Bound)  ",3.11997540297163,"race=Multi"
"Yes",2005.25,"Incidence (Upper Bound)  ",3.79560852854946,"race=Multi"
"Yes",2005.5,"Incidence (Upper Bound)  ",4.51836763147529,"race=Multi"
"Yes",2005.75,"Incidence (Upper Bound)  ",4.85098364135421,"race=Multi"
"Yes",2006,"Incidence (Upper Bound)  ",5.2394316881019,"race=Multi"
"Yes",2006.25,"Incidence (Upper Bound)  ",5.04811166287322,"race=Multi"
"Yes",2006.5,"Incidence (Upper Bound)  ",4.93372732326985,"race=Multi"
"Yes",2006.75,"Incidence (Upper Bound)  ",4.82468660256648,"race=Multi"
