"imputed","time","var","value","Subgroup"
"Yes",2005,"# Diagnosed  ",3,"race=Native"
"Yes",2005.25,"# Diagnosed  ",3,"race=Native"
"Yes",2005.5,"# Diagnosed  ",2,"race=Native"
"Yes",2005.75,"# Diagnosed  ",3,"race=Native"
"Yes",2006,"# Diagnosed  ",4,"race=Native"
"Yes",2006.25,"# Diagnosed  ",3,"race=Native"
"Yes",2006.5,"# Diagnosed  ",1,"race=Native"
"Yes",2006.75,"# Diagnosed  ",3,"race=Native"
"Yes",2007,"# Diagnosed  ",2,"race=Native"
"Yes",2007.25,"# Diagnosed  ",0,"race=Native"
"Yes",2007.5,"# Diagnosed  ",5,"race=Native"
"Yes",2007.75,"# Diagnosed  ",2,"race=Native"
"Yes",2008,"# Diagnosed  ",6,"race=Native"
"Yes",2008.25,"# Diagnosed  ",3,"race=Native"
"Yes",2008.5,"# Diagnosed  ",1,"race=Native"
"Yes",2008.75,"# Diagnosed  ",2,"race=Native"
"Yes",2009,"# Diagnosed  ",2,"race=Native"
"Yes",2009.25,"# Diagnosed  ",1,"race=Native"
"Yes",2009.5,"# Diagnosed  ",3,"race=Native"
"Yes",2009.75,"# Diagnosed  ",1,"race=Native"
"Yes",2010,"# Diagnosed  ",3,"race=Native"
"Yes",2010.25,"# Diagnosed  ",3,"race=Native"
"Yes",2010.5,"# Diagnosed  ",2,"race=Native"
"Yes",2010.75,"# Diagnosed  ",2,"race=Native"
"Yes",2011,"# Diagnosed  ",4,"race=Native"
"Yes",2011.25,"# Diagnosed  ",1,"race=Native"
"Yes",2011.5,"# Diagnosed  ",2,"race=Native"
"Yes",2011.75,"# Diagnosed  ",3,"race=Native"
"Yes",2012,"# Diagnosed  ",6,"race=Native"
"Yes",2012.25,"# Diagnosed  ",3,"race=Native"
"Yes",2012.5,"# Diagnosed  ",2,"race=Native"
"Yes",2012.75,"# Diagnosed  ",1,"race=Native"
"Yes",2013,"# Diagnosed  ",5,"race=Native"
"Yes",2013.25,"# Diagnosed  ",1,"race=Native"
"Yes",2013.5,"# Diagnosed  ",1,"race=Native"
"Yes",2013.75,"# Diagnosed  ",6,"race=Native"
"Yes",2005,"Incidence (Base Case)  ",2.96206565643167,"race=Native"
"Yes",2005.25,"Incidence (Base Case)  ",2.86655551637901,"race=Native"
"Yes",2005.5,"Incidence (Base Case)  ",2.56123867503573,"race=Native"
"Yes",2005.75,"Incidence (Base Case)  ",2.57736233879344,"race=Native"
"Yes",2006,"Incidence (Base Case)  ",2.12951920861047,"race=Native"
"Yes",2006.25,"Incidence (Base Case)  ",2.2203453892097,"race=Native"
