"imputed","var","Min.","X1st.Qu.","Median","Mean","X3rd.Qu.","Max.","Subgroup"
"Yes","# Diagnosed  ",0,1.75,2.5,2.639,3,6,"race=Native"
"Yes","Incidence (Base Case)  ",0.7967,1.967,2.64,2.707,3.525,4.721,"race=Native"
"Yes","Incidence (Upper Bound)  ",2.087,2.364,2.541,2.816,3.328,4.114,"race=Native"
"Yes","Undiagnosed (Base Case)  ",53.08,55.23,60.4,59.49,62.33,68.74,"race=Native"
"Yes","Undiagnosed (Upper Bound)  ",110.8,114.1,115.4,116.2,118.3,125.8,"race=Native"
"No","# Diagnosed  ",0,1.75,2.5,2.639,3,6,"race=Native"
"No","Incidence (Base Case)  ",0.8688,2.088,2.713,2.637,3.218,4.508,"race=Native"
"No","Incidence (Upper Bound)  ",1.089,2.042,2.547,2.641,3.295,4.501,"race=Native"
"No","Undiagnosed (Base Case)  ",35.71,37.56,40.41,40.03,41.82,45.5,"race=Native"
"No","Undiagnosed (Upper Bound)  ",69.5,71.03,74.79,74.47,76.99,81.33,"race=Native"
