"imputed","time","var","value","Subgroup"
"Yes",2005,"# Diagnosed  ",86,"race=White"
"Yes",2005.25,"# Diagnosed  ",85,"race=White"
"Yes",2005.5,"# Diagnosed  ",77,"race=White"
"Yes",2005.75,"# Diagnosed  ",92,"race=White"
"Yes",2006,"# Diagnosed  ",82,"race=White"
"Yes",2006.25,"# Diagnosed  ",91,"race=White"
"Yes",2006.5,"# Diagnosed  ",87,"race=White"
"Yes",2006.75,"# Diagnosed  ",85,"race=White"
"Yes",2007,"# Diagnosed  ",97,"race=White"
"Yes",2007.25,"# Diagnosed  ",91,"race=White"
"Yes",2007.5,"# Diagnosed  ",84,"race=White"
"Yes",2007.75,"# Diagnosed  ",70,"race=White"
"Yes",2008,"# Diagnosed  ",64,"race=White"
"Yes",2008.25,"# Diagnosed  ",84,"race=White"
"Yes",2008.5,"# Diagnosed  ",73,"race=White"
"Yes",2008.75,"# Diagnosed  ",67,"race=White"
"Yes",2009,"# Diagnosed  ",89,"race=White"
"Yes",2009.25,"# Diagnosed  ",87,"race=White"
"Yes",2009.5,"# Diagnosed  ",69,"race=White"
"Yes",2009.75,"# Diagnosed  ",74,"race=White"
"Yes",2010,"# Diagnosed  ",96,"race=White"
"Yes",2010.25,"# Diagnosed  ",76,"race=White"
"Yes",2010.5,"# Diagnosed  ",79,"race=White"
"Yes",2010.75,"# Diagnosed  ",65,"race=White"
"Yes",2011,"# Diagnosed  ",79,"race=White"
"Yes",2011.25,"# Diagnosed  ",68,"race=White"
"Yes",2011.5,"# Diagnosed  ",59,"race=White"
"Yes",2011.75,"# Diagnosed  ",75,"race=White"
"Yes",2012,"# Diagnosed  ",81,"race=White"
"Yes",2012.25,"# Diagnosed  ",80,"race=White"
"Yes",2012.5,"# Diagnosed  ",66,"race=White"
"Yes",2012.75,"# Diagnosed  ",64,"race=White"
"Yes",2013,"# Diagnosed  ",67,"race=White"
"Yes",2013.25,"# Diagnosed  ",65,"race=White"
"Yes",2013.5,"# Diagnosed  ",57,"race=White"
"Yes",2013.75,"# Diagnosed  ",62,"race=White"
"Yes",2005,"Incidence (Base Case)  ",81.0266163518639,"race=White"
"Yes",2005.25,"Incidence (Base Case)  ",80.6167125716511,"race=White"
"Yes",2005.5,"Incidence (Base Case)  ",80.1973795832531,"race=White"
"Yes",2005.75,"Incidence (Base Case)  ",79.775150441595,"race=White"
"Yes",2006,"Incidence (Base Case)  ",79.2316680183871,"race=White"
"Yes",2006.25,"Incidence (Base Case)  ",78.637561591937,"race=White"
"Yes",2006.5,"Incidence (Base Case)  ",77.9143150601678,"race=White"
"Yes",2006.75,"Incidence (Base Case)  ",77.095637003282,"race=White"
"Yes",2007,"Incidence (Base Case)  ",76.1799758573506,"race=White"
"Yes",2007.25,"Incidence (Base Case)  ",75.1113556089383,"race=White"
"Yes",2007.5,"Incidence (Base Case)  ",74.0090805371766,"race=White"
"Yes",2007.75,"Incidence (Base Case)  ",72.9956422065514,"race=White"
"Yes",2008,"Incidence (Base Case)  ",72.1948024177491,"race=White"
"Yes",2008.25,"Incidence (Base Case)  ",71.5728329646834,"race=White"
"Yes",2008.5,"Incidence (Base Case)  ",70.9382105201172,"race=White"
"Yes",2008.75,"Incidence (Base Case)  ",70.3789536978131,"race=White"
"Yes",2009,"Incidence (Base Case)  ",69.861276584577,"race=White"
"Yes",2009.25,"Incidence (Base Case)  ",69.1817235854474,"race=White"
"Yes",2009.5,"Incidence (Base Case)  ",68.4196396987974,"race=White"
"Yes",2009.75,"Incidence (Base Case)  ",67.7118737995453,"race=White"
"Yes",2010,"Incidence (Base Case)  ",66.9330265340199,"race=White"
"Yes",2010.25,"Incidence (Base Case)  ",65.9477938013833,"race=White"
"Yes",2010.5,"Incidence (Base Case)  ",64.9836145746534,"race=White"
"Yes",2010.75,"Incidence (Base Case)  ",64.0452821049504,"race=White"
"Yes",2011,"Incidence (Base Case)  ",63.2345833169867,"race=White"
"Yes",2011.25,"Incidence (Base Case)  ",62.4336709364587,"race=White"
"Yes",2011.5,"Incidence (Base Case)  ",61.7589565150445,"race=White"
"Yes",2011.75,"Incidence (Base Case)  ",61.2057889720373,"race=White"
"Yes",2012,"Incidence (Base Case)  ",60.5657782504066,"race=White"
"Yes",2012.25,"Incidence (Base Case)  ",59.8109750103072,"race=White"
"Yes",2012.5,"Incidence (Base Case)  ",59.031422434832,"race=White"
"Yes",2012.75,"Incidence (Base Case)  ",58.3929969725926,"race=White"
"Yes",2013,"Incidence (Base Case)  ",57.8962910361148,"race=White"
"Yes",2013.25,"Incidence (Base Case)  ",57.5084266125167,"race=White"
"Yes",2013.5,"Incidence (Base Case)  ",57.2608298299309,"race=White"
"Yes",2013.75,"Incidence (Base Case)  ",57.1911480007917,"race=White"
"Yes",2005,"Incidence (Upper Bound)  ",73.3428770062694,"race=White"
"Yes",2005.25,"Incidence (Upper Bound)  ",72.9738518512141,"race=White"
"Yes",2005.5,"Incidence (Upper Bound)  ",72.5588525544067,"race=White"
"Yes",2005.75,"Incidence (Upper Bound)  ",72.0789505058552,"race=White"
"Yes",2006,"Incidence (Upper Bound)  ",71.5614258705126,"race=White"
"Yes",2006.25,"Incidence (Upper Bound)  ",70.9968444545497,"race=White"
"Yes",2006.5,"Incidence (Upper Bound)  ",70.3279895631342,"race=White"
"Yes",2006.75,"Incidence (Upper Bound)  ",69.5767001583015,"race=White"
"Yes",2007,"Incidence (Upper Bound)  ",68.7727239983692,"race=White"
"Yes",2007.25,"Incidence (Upper Bound)  ",67.9428625055243,"race=White"
"Yes",2007.5,"Incidence (Upper Bound)  ",67.1229595226094,"race=White"
"Yes",2007.75,"Incidence (Upper Bound)  ",66.3785980457663,"race=White"
"Yes",2008,"Incidence (Upper Bound)  ",65.7678682935223,"race=White"
"Yes",2008.25,"Incidence (Upper Bound)  ",65.2164931090441,"race=White"
"Yes",2008.5,"Incidence (Upper Bound)  ",64.6604966322702,"race=White"
"Yes",2008.75,"Incidence (Upper Bound)  ",64.1277829483573,"race=White"
"Yes",2009,"Incidence (Upper Bound)  ",63.5821319227649,"race=White"
"Yes",2009.25,"Incidence (Upper Bound)  ",62.9763660004201,"race=White"
"Yes",2009.5,"Incidence (Upper Bound)  ",62.3384049723396,"race=White"
"Yes",2009.75,"Incidence (Upper Bound)  ",61.6848109253183,"race=White"
"Yes",2010,"Incidence (Upper Bound)  ",60.9637754921405,"race=White"
"Yes",2010.25,"Incidence (Upper Bound)  ",60.2011304641881,"race=White"
"Yes",2010.5,"Incidence (Upper Bound)  ",59.4572506857648,"race=White"
"Yes",2010.75,"Incidence (Upper Bound)  ",58.7723117609412,"race=White"
"Yes",2011,"Incidence (Upper Bound)  ",58.1564134121748,"race=White"
"Yes",2011.25,"Incidence (Upper Bound)  ",57.5920607740213,"race=White"
"Yes",2011.5,"Incidence (Upper Bound)  ",57.0965744927889,"race=White"
"Yes",2011.75,"Incidence (Upper Bound)  ",56.614210291897,"race=White"
"Yes",2012,"Incidence (Upper Bound)  ",56.0923161795567,"race=White"
"Yes",2012.25,"Incidence (Upper Bound)  ",55.5518899348384,"race=White"
"Yes",2012.5,"Incidence (Upper Bound)  ",55.0619908320077,"race=White"
"Yes",2012.75,"Incidence (Upper Bound)  ",54.6740847179567,"race=White"
"Yes",2013,"Incidence (Upper Bound)  ",54.3836615176361,"race=White"
"Yes",2013.25,"Incidence (Upper Bound)  ",54.1836201527507,"race=White"
"Yes",2013.5,"Incidence (Upper Bound)  ",54.0838994753164,"race=White"
"Yes",2013.75,"Incidence (Upper Bound)  ",54.0611901290841,"race=White"
