"imputed","time","var","value","Subgroup"
"Yes",2005,"# Diagnosed  ",61,"mode=non-MSM"
"Yes",2005.25,"# Diagnosed  ",38,"mode=non-MSM"
"Yes",2005.5,"# Diagnosed  ",52,"mode=non-MSM"
"Yes",2005.75,"# Diagnosed  ",50,"mode=non-MSM"
"Yes",2006,"# Diagnosed  ",39,"mode=non-MSM"
"Yes",2006.25,"# Diagnosed  ",52,"mode=non-MSM"
"Yes",2006.5,"# Diagnosed  ",39,"mode=non-MSM"
"Yes",2006.75,"# Diagnosed  ",51,"mode=non-MSM"
"Yes",2007,"# Diagnosed  ",61,"mode=non-MSM"
"Yes",2007.25,"# Diagnosed  ",40,"mode=non-MSM"
"Yes",2007.5,"# Diagnosed  ",55,"mode=non-MSM"
"Yes",2007.75,"# Diagnosed  ",40,"mode=non-MSM"
"Yes",2008,"# Diagnosed  ",49,"mode=non-MSM"
"Yes",2008.25,"# Diagnosed  ",59,"mode=non-MSM"
"Yes",2008.5,"# Diagnosed  ",55,"mode=non-MSM"
"Yes",2008.75,"# Diagnosed  ",42,"mode=non-MSM"
"Yes",2009,"# Diagnosed  ",46,"mode=non-MSM"
"Yes",2009.25,"# Diagnosed  ",45,"mode=non-MSM"
"Yes",2009.5,"# Diagnosed  ",37,"mode=non-MSM"
"Yes",2009.75,"# Diagnosed  ",45,"mode=non-MSM"
"Yes",2010,"# Diagnosed  ",55,"mode=non-MSM"
"Yes",2010.25,"# Diagnosed  ",32,"mode=non-MSM"
"Yes",2010.5,"# Diagnosed  ",46,"mode=non-MSM"
"Yes",2010.75,"# Diagnosed  ",37,"mode=non-MSM"
"Yes",2011,"# Diagnosed  ",46,"mode=non-MSM"
"Yes",2011.25,"# Diagnosed  ",25,"mode=non-MSM"
"Yes",2011.5,"# Diagnosed  ",34,"mode=non-MSM"
"Yes",2011.75,"# Diagnosed  ",41,"mode=non-MSM"
"Yes",2012,"# Diagnosed  ",52,"mode=non-MSM"
"Yes",2012.25,"# Diagnosed  ",47,"mode=non-MSM"
"Yes",2012.5,"# Diagnosed  ",40,"mode=non-MSM"
"Yes",2012.75,"# Diagnosed  ",46,"mode=non-MSM"
"Yes",2013,"# Diagnosed  ",37,"mode=non-MSM"
"Yes",2013.25,"# Diagnosed  ",42,"mode=non-MSM"
"Yes",2013.5,"# Diagnosed  ",38,"mode=non-MSM"
"Yes",2013.75,"# Diagnosed  ",35,"mode=non-MSM"
"Yes",2005,"Incidence (Base Case)  ",43.5096063595741,"mode=non-MSM"
"Yes",2005.25,"Incidence (Base Case)  ",43.1216503281039,"mode=non-MSM"
"Yes",2005.5,"Incidence (Base Case)  ",42.7788664732712,"mode=non-MSM"
"Yes",2005.75,"Incidence (Base Case)  ",42.4320292720229,"mode=non-MSM"
"Yes",2006,"Incidence (Base Case)  ",42.0774188774538,"mode=non-MSM"
"Yes",2006.25,"Incidence (Base Case)  ",41.7630454409227,"mode=non-MSM"
"Yes",2006.5,"Incidence (Base Case)  ",41.4090626782952,"mode=non-MSM"
"Yes",2006.75,"Incidence (Base Case)  ",41.0531142217657,"mode=non-MSM"
"Yes",2007,"Incidence (Base Case)  ",40.6222090940581,"mode=non-MSM"
"Yes",2007.25,"Incidence (Base Case)  ",40.1235759489234,"mode=non-MSM"
"Yes",2007.5,"Incidence (Base Case)  ",39.6236689936823,"mode=non-MSM"
"Yes",2007.75,"Incidence (Base Case)  ",39.088005313932,"mode=non-MSM"
"Yes",2008,"Incidence (Base Case)  ",38.5433279039791,"mode=non-MSM"
"Yes",2008.25,"Incidence (Base Case)  ",37.9545955905525,"mode=non-MSM"
"Yes",2008.5,"Incidence (Base Case)  ",37.2739169224968,"mode=non-MSM"
"Yes",2008.75,"Incidence (Base Case)  ",36.6018760300606,"mode=non-MSM"
"Yes",2009,"Incidence (Base Case)  ",35.9935690894557,"mode=non-MSM"
"Yes",2009.25,"Incidence (Base Case)  ",35.4519718836135,"mode=non-MSM"
"Yes",2009.5,"Incidence (Base Case)  ",34.9638859440982,"mode=non-MSM"
"Yes",2009.75,"Incidence (Base Case)  ",34.5491402771374,"mode=non-MSM"
"Yes",2010,"Incidence (Base Case)  ",34.1603973930765,"mode=non-MSM"
"Yes",2010.25,"Incidence (Base Case)  ",33.799833989912,"mode=non-MSM"
"Yes",2010.5,"Incidence (Base Case)  ",33.5568016868806,"mode=non-MSM"
"Yes",2010.75,"Incidence (Base Case)  ",33.3645177951356,"mode=non-MSM"
