"imputed","var","Min.","X1st.Qu.","Median","Mean","X3rd.Qu.","Max.","Subgroup"
"Yes","# Diagnosed  ",25,38.75,45,44.69,51.25,61,"mode=non-MSM"
"Yes","Incidence (Base Case)  ",32.66,33.28,35.21,36.68,40.25,43.51,"mode=non-MSM"
"Yes","Incidence (Upper Bound)  ",34.27,34.58,35.11,35.61,36.73,37.91,"mode=non-MSM"
"Yes","Undiagnosed (Base Case)  ",1008,1084,1147,1155,1241,1295,"mode=non-MSM"
"Yes","Undiagnosed (Upper Bound)  ",1950,2014,2066,2089,2175,2268,"mode=non-MSM"
"No","# Diagnosed  ",25,38.75,45,44.69,51.25,61,"mode=non-MSM"
"No","Incidence (Base Case)  ",34.92,35.84,38.36,39.91,44.51,46.98,"mode=non-MSM"
"No","Incidence (Upper Bound)  ",32.24,32.99,34.51,35.89,39.07,42.02,"mode=non-MSM"
"No","Undiagnosed (Base Case)  ",741.7,792.5,836.9,838.2,895.6,914.9,"mode=non-MSM"
"No","Undiagnosed (Upper Bound)  ",1415,1496,1561,1572,1663,1728,"mode=non-MSM"
