"Population","Category","Group","Year","Case","Reported_Prev","UndiagQtrMax","UndiagQtrAvg","UndiagQtrMin","TruePrevMin","TruePrevAvg","TruePrevMax","UndiagPercMin","UndiagPercAvg","UndiagPercMax"
"WA","Mode-consolidated","non-MSM",2005,"Base Case  ",2760,1294.5,1286.2,1277.1,4037.1,4046.2,4054.5,31.6,31.8,31.9
"WA","Mode-consolidated","non-MSM",2005,"Upper Bound  ",2760,2267.8,2252.1,2235.3,4995.3,5012.1,5027.8,44.7,44.9,45.1
"WA","Mode-consolidated","non-MSM",2006,"Base Case  ",2902,1274.3,1268.9,1263.5,4165.5,4170.9,4176.3,30.3,30.4,30.5
"WA","Mode-consolidated","non-MSM",2006,"Upper Bound  ",2902,2228.2,2216.1,2204,5106,5118.1,5130.2,43.2,43.3,43.4
"WA","Mode-consolidated","non-MSM",2007,"Base Case  ",3055,1248.6,1235,1222.3,4277.3,4290,4303.6,28.6,28.8,29
"WA","Mode-consolidated","non-MSM",2007,"Upper Bound  ",3055,2184.8,2166.3,2149.1,5204.1,5221.3,5239.8,41.3,41.5,41.7
"WA","Mode-consolidated","non-MSM",2008,"Base Case  ",3190,1216.7,1192.2,1169.2,4359.2,4382.2,4406.7,26.8,27.2,27.6
"WA","Mode-consolidated","non-MSM",2008,"Upper Bound  ",3190,2140.9,2113.5,2088.4,5278.4,5303.5,5330.9,39.6,39.9,40.2
"WA","Mode-consolidated","non-MSM",2009,"Base Case  ",3324,1160.7,1148,1137.1,4461.1,4472,4484.7,25.5,25.7,25.9
"WA","Mode-consolidated","non-MSM",2009,"Upper Bound  ",3324,2079.6,2067.2,2056.9,5380.9,5391.2,5403.6,38.2,38.3,38.5
"WA","Mode-consolidated","non-MSM",2010,"Base Case  ",3451,1121.1,1108.2,1096.1,4547.1,4559.2,4572.1,24.1,24.3,24.5
"WA","Mode-consolidated","non-MSM",2010,"Upper Bound  ",3451,2041.6,2030.8,2021,5472,5481.8,5492.6,36.9,37,37.2
"WA","Mode-consolidated","non-MSM",2011,"Base Case  ",3471,1088.2,1086.2,1084.4,4555.4,4557.2,4559.2,23.8,23.8,23.9
"WA","Mode-consolidated","non-MSM",2011,"Upper Bound  ",3471,2018.2,2015.1,2013,5484,5486.1,5489.2,36.7,36.7,36.8
"WA","Mode-consolidated","non-MSM",2012,"Base Case  ",3565,1072.1,1052.3,1035.7,4600.7,4617.3,4637.1,22.5,22.8,23.1
"WA","Mode-consolidated","non-MSM",2012,"Upper Bound  ",3565,2003.6,1985.6,1970.7,5535.7,5550.6,5568.6,35.6,35.8,36
"WA","Mode-consolidated","non-MSM",2013,"Base Case  ",3676,1026.7,1016.8,1008.2,4684.2,4692.8,4702.7,21.5,21.7,21.8
"WA","Mode-consolidated","non-MSM",2013,"Upper Bound  ",3676,1963.4,1956,1950.1,5626.1,5632,5639.4,34.7,34.7,34.8
