"Population","Category","Group","Year","Case","Reported_Prev","UndiagQtrMax","UndiagQtrAvg","UndiagQtrMin","TruePrevMin","TruePrevAvg","TruePrevMax","UndiagPercMin","UndiagPercAvg","UndiagPercMax"
"WA","Total","Total",2005,"Base Case  ",9823,1490.8,1488.2,1482.8,11305.8,11311.2,11313.8,13.1,13.2,13.2
"WA","Total","Total",2005,"Upper Bound  ",9823,2942.3,2939.5,2935.4,12758.4,12762.5,12765.3,23,23,23
"WA","Total","Total",2006,"Base Case  ",10275,1500.5,1492.9,1488.5,11763.5,11767.9,11775.5,12.7,12.7,12.7
"WA","Total","Total",2006,"Upper Bound  ",10275,2940.3,2936.2,2931.8,13206.8,13211.2,13215.3,22.2,22.2,22.2
"WA","Total","Total",2007,"Base Case  ",10710,1495.9,1475.5,1460.8,12170.8,12185.5,12205.9,12,12.1,12.3
"WA","Total","Total",2007,"Upper Bound  ",10710,2926.8,2899.5,2880.3,13590.3,13609.5,13636.8,21.2,21.3,21.5
"WA","Total","Total",2008,"Base Case  ",11061,1472,1461.8,1451.8,12512.8,12522.8,12533,11.6,11.7,11.7
"WA","Total","Total",2008,"Upper Bound  ",11061,2889.1,2870.6,2858.1,13919.1,13931.6,13950.1,20.5,20.6,20.7
"WA","Total","Total",2009,"Base Case  ",11399,1456.5,1448.1,1443,12842,12847.1,12855.5,11.2,11.3,11.3
"WA","Total","Total",2009,"Upper Bound  ",11399,2853.7,2838.8,2830.2,14229.2,14237.8,14252.7,19.9,19.9,20
"WA","Total","Total",2010,"Base Case  ",11759,1434.1,1414.1,1398.9,13157.9,13173.1,13193.1,10.6,10.7,10.9
"WA","Total","Total",2010,"Upper Bound  ",11759,2808.7,2781.1,2758.6,14517.6,14540.1,14567.7,19,19.1,19.3
"WA","Total","Total",2011,"Base Case  ",11762,1390.6,1387.2,1380.7,13142.7,13149.2,13152.6,10.5,10.5,10.6
"WA","Total","Total",2011,"Upper Bound  ",11762,2744.1,2737.9,2733.1,14495.1,14499.9,14506.1,18.9,18.9,18.9
"WA","Total","Total",2012,"Base Case  ",11932,1378.9,1356,1342.4,13274.4,13288,13310.9,10.1,10.2,10.4
"WA","Total","Total",2012,"Upper Bound  ",11932,2717.5,2688,2670.2,14602.2,14620,14649.5,18.3,18.4,18.6
"WA","Total","Total",2013,"Base Case  ",12349,1339.4,1333.1,1329.3,13678.3,13682.1,13688.4,9.7,9.7,9.8
"WA","Total","Total",2013,"Upper Bound  ",12349,2663.8,2655.6,2651.5,15000.5,15004.6,15012.8,17.7,17.7,17.7
