"Population","Category","Group","Year","Case","Reported_Prev","UndiagQtrMax","UndiagQtrAvg","UndiagQtrMin","TruePrevMin","TruePrevAvg","TruePrevMax","UndiagPercMin","UndiagPercAvg","UndiagPercMax"
"KC","Mode-consolidated","MSM",2006,"Base Case  ",5516,347.7,344.8,339.5,5855.5,5860.8,5863.7,5.8,5.9,5.9
"KC","Mode-consolidated","MSM",2007,"Base Case  ",5516,351.5,343.9,337.1,5853.1,5859.9,5867.5,5.8,5.9,6
"KC","Mode-consolidated","MSM",2008,"Base Case  ",5516,349.4,345,342.1,5858.1,5861,5865.4,5.8,5.9,6
"KC","Mode-consolidated","MSM",2009,"Base Case  ",5516,367.8,361,353.1,5869.1,5877,5883.8,6,6.1,6.3
"KC","Mode-consolidated","MSM",2010,"Base Case  ",5516,366.5,355.3,345.7,5861.7,5871.3,5882.5,5.9,6.1,6.2
"KC","Mode-consolidated","MSM",2011,"Base Case  ",5516,344,342.1,340.5,5856.5,5858.1,5860,5.8,5.8,5.9
"KC","Mode-consolidated","MSM",2012,"Base Case  ",5516,339,335.8,333.5,5849.5,5851.8,5855,5.7,5.7,5.8
"KC","Mode-consolidated","MSM",2006,"Upper Bound  ",5516,687.3,683.4,678.7,6194.7,6199.4,6203.3,11,11,11.1
"KC","Mode-consolidated","MSM",2007,"Upper Bound  ",5516,689.8,680.8,674.9,6190.9,6196.8,6205.8,10.9,11,11.1
"KC","Mode-consolidated","MSM",2008,"Upper Bound  ",5516,693.7,687.1,682.1,6198.1,6203.1,6209.7,11,11.1,11.2
"KC","Mode-consolidated","MSM",2009,"Upper Bound  ",5516,713.3,707.6,700.3,6216.3,6223.6,6229.3,11.3,11.4,11.5
"KC","Mode-consolidated","MSM",2010,"Upper Bound  ",5516,707.3,691.2,678,6194,6207.2,6223.3,10.9,11.1,11.4
"KC","Mode-consolidated","MSM",2011,"Upper Bound  ",5516,675.9,672.9,671.2,6187.2,6188.9,6191.9,10.8,10.9,10.9
"KC","Mode-consolidated","MSM",2012,"Upper Bound  ",5516,668.4,664.9,662.2,6178.2,6180.9,6184.4,10.7,10.8,10.8
"WA","Mode-consolidated","MSM",2005,"Base Case  ",7063,744.5,739.3,735.6,7798.6,7802.3,7807.5,9.4,9.5,9.5
"WA","Mode-consolidated","MSM",2006,"Base Case  ",7373,747.6,743.6,739.4,8112.4,8116.6,8120.6,9.1,9.2,9.2
"WA","Mode-consolidated","MSM",2007,"Base Case  ",7655,750.7,735.6,723.9,8378.9,8390.6,8405.7,8.6,8.8,8.9
"WA","Mode-consolidated","MSM",2008,"Base Case  ",7871,740.2,733.3,728.7,8599.7,8604.3,8611.2,8.5,8.5,8.6
"WA","Mode-consolidated","MSM",2009,"Base Case  ",8075,743.3,740.3,737.5,8812.5,8815.3,8818.3,8.4,8.4,8.4
"WA","Mode-consolidated","MSM",2010,"Base Case  ",8308,739.8,727.8,719,9027,9035.8,9047.8,8,8.1,8.2
"WA","Mode-consolidated","MSM",2011,"Base Case  ",8291,715.4,708.3,705.2,8996.2,8999.3,9006.4,7.8,7.9,7.9
"WA","Mode-consolidated","MSM",2012,"Base Case  ",8367,699,686.1,677.5,9044.5,9053.1,9066,7.5,7.6,7.7
"WA","Mode-consolidated","MSM",2013,"Base Case  ",8673,680.1,674.9,672.2,9345.2,9347.9,9353.1,7.2,7.2,7.3
"WA","Mode-consolidated","MSM",2005,"Upper Bound  ",7063,1470.9,1465.4,1460.8,8523.8,8528.4,8533.9,17.1,17.2,17.2
"WA","Mode-consolidated","MSM",2006,"Upper Bound  ",7373,1473,1468.4,1464.5,8837.5,8841.4,8846,16.6,16.6,16.7
"WA","Mode-consolidated","MSM",2007,"Upper Bound  ",7655,1471.9,1452.8,1440,9095,9107.8,9126.9,15.8,16,16.1
"WA","Mode-consolidated","MSM",2008,"Upper Bound  ",7871,1458.4,1450.5,1446.7,9317.7,9321.5,9329.4,15.5,15.6,15.6
"WA","Mode-consolidated","MSM",2009,"Upper Bound  ",8075,1458.5,1452.9,1449.8,9524.8,9527.9,9533.5,15.2,15.2,15.3
"WA","Mode-consolidated","MSM",2010,"Upper Bound  ",8308,1444.2,1426.1,1412.3,9720.3,9734.1,9752.2,14.5,14.7,14.8
"WA","Mode-consolidated","MSM",2011,"Upper Bound  ",8291,1404.2,1393.5,1386.7,9677.7,9684.5,9695.2,14.3,14.4,14.5
"WA","Mode-consolidated","MSM",2012,"Upper Bound  ",8367,1376.2,1359.5,1349.1,9716.1,9726.5,9743.2,13.9,14,14.1
"WA","Mode-consolidated","MSM",2013,"Upper Bound  ",8673,1349.4,1343.8,1340.7,10013.7,10016.8,10022.4,13.4,13.4,13.5
