"Subgroup","Year","Diagnoses/Case","Estimate","Min.","Mean","Max."
"White",2011,"PLWHA","PLWHA",NA,3513,NA
"White",2011,"Base Case","Undiagnosed Cases",177,177.5,178
"White",2011,"Base Case","True Prevalence",3690,3690.5,3691
"White",2011,"Base Case","Undiagnosed Fraction (%)",4.8,4.8,4.8
"White",2011,"Upper Bound","Undiagnosed Cases",331.1,331.3,331.6
"White",2011,"Upper Bound","True Prevalence",3844.1,3844.3,3844.6
"White",2011,"Upper Bound","Undiagnosed Fraction (%)",8.6,8.6,8.6
"White",2012,"PLWHA","PLWHA",NA,3489,NA
"White",2012,"Base Case","Undiagnosed Cases",165.8,171.1,176.5
"White",2012,"Base Case","True Prevalence",3654.8,3660.1,3665.5
"White",2012,"Base Case","Undiagnosed Fraction (%)",4.5,4.7,4.8
"White",2012,"Upper Bound","Undiagnosed Cases",309.1,316.3,323.4
"White",2012,"Upper Bound","True Prevalence",3798.1,3805.3,3812.4
"White",2012,"Upper Bound","Undiagnosed Fraction (%)",8.1,8.3,8.5
"White",2013,"PLWHA","PLWHA",NA,3507,NA
"White",2013,"Base Case","Undiagnosed Cases",152,155.5,159
"White",2013,"Base Case","True Prevalence",3659,3662.5,3666
"White",2013,"Base Case","Undiagnosed Fraction (%)",4.2,4.2,4.3
"White",2013,"Upper Bound","Undiagnosed Cases",288.8,293.6,298.4
"White",2013,"Upper Bound","True Prevalence",3795.8,3800.6,3805.4
"White",2013,"Upper Bound","Undiagnosed Fraction (%)",7.6,7.7,7.8
"White",2014,"PLWHA","PLWHA",NA,3521,NA
"White",2014,"Base Case","Undiagnosed Cases",142.6,145.4,148.1
"White",2014,"Base Case","True Prevalence",3663.6,3666.4,3669.1
"White",2014,"Base Case","Undiagnosed Fraction (%)",3.9,4,4
"White",2014,"Upper Bound","Undiagnosed Cases",273.2,277.5,281.9
"White",2014,"Upper Bound","True Prevalence",3794.2,3798.5,3802.9
"White",2014,"Upper Bound","Undiagnosed Fraction (%)",7.2,7.3,7.4
"White",2015,"PLWHA","PLWHA",NA,3537,NA
"White",2015,"Base Case","Undiagnosed Cases",136.1,136.6,137.2
"White",2015,"Base Case","True Prevalence",3673.1,3673.6,3674.2
"White",2015,"Base Case","Undiagnosed Fraction (%)",3.7,3.7,3.7
"White",2015,"Upper Bound","Undiagnosed Cases",261.8,264.6,267.4
"White",2015,"Upper Bound","True Prevalence",3798.8,3801.6,3804.4
"White",2015,"Upper Bound","Undiagnosed Fraction (%)",6.9,7,7
"White",2016,"PLWHA","PLWHA",NA,3519,NA
"White",2016,"Base Case","Undiagnosed Cases",122.2,124.1,126.1
"White",2016,"Base Case","True Prevalence",3641.2,3643.1,3645.1
"White",2016,"Base Case","Undiagnosed Fraction (%)",3.4,3.4,3.5
"White",2016,"Upper Bound","Undiagnosed Cases",248.4,248.8,249.2
"White",2016,"Upper Bound","True Prevalence",3767.4,3767.8,3768.2
"White",2016,"Upper Bound","Undiagnosed Fraction (%)",6.6,6.6,6.6
"Latino",2011,"PLWHA","PLWHA",NA,536,NA
"Latino",2011,"Base Case","Undiagnosed Cases",52.5,54.1,55.7
"Latino",2011,"Base Case","True Prevalence",588.5,590.1,591.7
"Latino",2011,"Base Case","Undiagnosed Fraction (%)",8.9,9.2,9.4
"Latino",2011,"Upper Bound","Undiagnosed Cases",95.7,98.2,100.7
"Latino",2011,"Upper Bound","True Prevalence",631.7,634.2,636.7
"Latino",2011,"Upper Bound","Undiagnosed Fraction (%)",15.2,15.5,15.8
"Latino",2012,"PLWHA","PLWHA",NA,544,NA
"Latino",2012,"Base Case","Undiagnosed Cases",47.6,48.4,49.2
"Latino",2012,"Base Case","True Prevalence",591.6,592.4,593.2
"Latino",2012,"Base Case","Undiagnosed Fraction (%)",8,8.2,8.3
