"Subgroup","Year","Diagnoses/Case","PLWHA","Undiagnosed Cases","True Prevalence","Undiagnosed Fraction (%)"
"White",2011,"Base Case",3513,177.5,3690.5,4.8
"White",2011,"Upper Bound",,331.3,3844.3,8.6
"Latino",2011,"Base Case",536,54.1,590.1,9.2
"Latino",2011,"Upper Bound",,98.2,634.2,15.5
"Black",2011,"Base Case",453,39.2,492.2,8
"Black",2011,"Upper Bound",,72.7,525.6,13.8
"Other",2011,"Base Case",459,26.5,485.5,5.5
"Other",2011,"Upper Bound",,50,509,9.8
"Total-stratified",2011,"Base Case",4961,297.4,5258.4,5.7
"Total-stratified",2011,"Upper Bound",,552.2,5513.2,10
"White",2012,"Base Case",3489,171.1,3660.1,4.7
"White",2012,"Upper Bound",,316.3,3805.3,8.3
"Latino",2012,"Base Case",544,48.4,592.4,8.2
"Latino",2012,"Upper Bound",,91,635,14.3
"Black",2012,"Base Case",443,38.6,481.6,8
"Black",2012,"Upper Bound",,72,515,14
"Other",2012,"Base Case",456,30.2,486.2,6.2
"Other",2012,"Upper Bound",,55.4,511.4,10.8
"Total-stratified",2012,"Base Case",4932,288.3,5220.3,5.5
"Total-stratified",2012,"Upper Bound",,534.6,5466.6,9.8
"White",2013,"Base Case",3507,155.5,3662.5,4.2
"White",2013,"Upper Bound",,293.6,3800.6,7.7
"Latino",2013,"Base Case",565,47.2,612.2,7.7
"Latino",2013,"Upper Bound",,89.3,654.3,13.7
"Black",2013,"Base Case",465,38.6,503.6,7.7
"Black",2013,"Upper Bound",,71.9,536.9,13.4
"Other",2013,"Base Case",465,34.1,499.1,6.8
"Other",2013,"Upper Bound",,61.1,526.1,11.6
"Total-stratified",2013,"Base Case",5002,275.4,5277.4,5.2
"Total-stratified",2013,"Upper Bound",,516,5518,9.4
"White",2014,"Base Case",3521,145.4,3666.4,4
"White",2014,"Upper Bound",,277.5,3798.5,7.3
"Latino",2014,"Base Case",579,47.4,626.4,7.6
"Latino",2014,"Upper Bound",,90.3,669.3,13.5
"Black",2014,"Base Case",465,38.5,503.5,7.7
"Black",2014,"Upper Bound",,70.6,535.6,13.2
"Other",2014,"Base Case",486,36.8,522.8,7
"Other",2014,"Upper Bound",,64.1,550.1,11.6
"Total-stratified",2014,"Base Case",5051,268,5319,5
"Total-stratified",2014,"Upper Bound",,502.5,5553.5,9
"White",2015,"Base Case",3537,136.6,3673.6,3.7
"White",2015,"Upper Bound",,264.6,3801.6,7
"Latino",2015,"Base Case",623,47.8,670.8,7.1
"Latino",2015,"Upper Bound",,90.2,713.2,12.6
"Black",2015,"Base Case",471,36.8,507.8,7.2
"Black",2015,"Upper Bound",,67.5,538.5,12.5
"Other",2015,"Base Case",478,35.5,513.5,6.9
"Other",2015,"Upper Bound",,63.9,541.9,11.8
"Total-stratified",2015,"Base Case",5109,256.7,5365.7,4.8
"Total-stratified",2015,"Upper Bound",,486.2,5595.2,8.7
"White",2016,"Base Case",3519,124.1,3643.1,3.4
"White",2016,"Upper Bound",,248.8,3767.8,6.6
"Latino",2016,"Base Case",669,49.2,718.2,6.9
"Latino",2016,"Upper Bound",,92,761,12.1
"Black",2016,"Base Case",502,33.4,535.4,6.2
"Black",2016,"Upper Bound",,63.4,565.4,11.2
"Other",2016,"Base Case",509,37.4,546.4,6.8
"Other",2016,"Upper Bound",,67,576,11.6
"Total-stratified",2016,"Base Case",5199,244.1,5443.1,4.5
"Total-stratified",2016,"Upper Bound",,471.2,5670.2,8.3
