"time","group","var","non-MSM","MSM","value"
2011,"Diagnoses and Incidence","# Diagnosed",13,46,59
2011.25,"Diagnoses and Incidence","# Diagnosed",10,49,59
2011.5,"Diagnoses and Incidence","# Diagnosed",13,45,58
2011.75,"Diagnoses and Incidence","# Diagnosed",10,51,61
2012,"Diagnoses and Incidence","# Diagnosed",19,50,69
2012.25,"Diagnoses and Incidence","# Diagnosed",19,53,72
2012.5,"Diagnoses and Incidence","# Diagnosed",11,48,59
2012.75,"Diagnoses and Incidence","# Diagnosed",12,43,55
2013,"Diagnoses and Incidence","# Diagnosed",11,48,59
2013.25,"Diagnoses and Incidence","# Diagnosed",16,42,58
2013.5,"Diagnoses and Incidence","# Diagnosed",13,40,53
2013.75,"Diagnoses and Incidence","# Diagnosed",7,39,46
2014,"Diagnoses and Incidence","# Diagnosed",16,31,47
2014.25,"Diagnoses and Incidence","# Diagnosed",12,54,66
2014.5,"Diagnoses and Incidence","# Diagnosed",14,54,68
2014.75,"Diagnoses and Incidence","# Diagnosed",12,28,40
2015,"Diagnoses and Incidence","# Diagnosed",19,35,54
2015.25,"Diagnoses and Incidence","# Diagnosed",11,36,47
2015.5,"Diagnoses and Incidence","# Diagnosed",9,46,55
2015.75,"Diagnoses and Incidence","# Diagnosed",15,34,49
2016,"Diagnoses and Incidence","# Diagnosed",12,38,50
2016.25,"Diagnoses and Incidence","# Diagnosed",16,30,46
2016.5,"Diagnoses and Incidence","# Diagnosed",16,28,44
2016.75,"Diagnoses and Incidence","# Diagnosed",13,27,40
2011,"Diagnoses and Incidence","Base Case",13.4126412739762,47.2975008315554,60.7101421055316
2011.25,"Diagnoses and Incidence","Base Case",13.5744519196919,47.1695708848602,60.7440228045521
2011.5,"Diagnoses and Incidence","Base Case",13.8292823191026,46.9476430861336,60.7769254052362
2011.75,"Diagnoses and Incidence","Base Case",14.0535476372245,46.7101900925973,60.7637377298217
2012,"Diagnoses and Incidence","Base Case",14.0707637363303,46.2001493973891,60.2709131337194
2012.25,"Diagnoses and Incidence","Base Case",13.7690053153494,45.4508427250819,59.2198480404313
2012.5,"Diagnoses and Incidence","Base Case",13.4161478115149,44.40526051365,57.8214083251649
2012.75,"Diagnoses and Incidence","Base Case",13.2601047339825,43.3049582123716,56.565062946354
2013,"Diagnoses and Incidence","Base Case",13.1988452373733,42.2859070150267,55.4847522524
2013.25,"Diagnoses and Incidence","Base Case",13.1674060717037,41.1819190196945,54.3493250913982
2013.5,"Diagnoses and Incidence","Base Case",13.1227896381805,40.2347647420811,53.3575543802616
2013.75,"Diagnoses and Incidence","Base Case",13.2833148019327,39.4799336368362,52.7632484387689
2014,"Diagnoses and Incidence","Base Case",13.5145306882692,38.9005628130198,52.4150935012891
2014.25,"Diagnoses and Incidence","Base Case",13.6817258029791,38.5323932830485,52.2141190860276
2014.5,"Diagnoses and Incidence","Base Case",13.8842937504324,37.4044485634677,51.2887423139
2014.75,"Diagnoses and Incidence","Base Case",14.0283228617365,35.8391959204577,49.8675187821943
2015,"Diagnoses and Incidence","Base Case",14.0857555632527,34.893920760411,48.9796763236637
2015.25,"Diagnoses and Incidence","Base Case",14.098382673116,34.087076784772,48.185459457888
2015.5,"Diagnoses and Incidence","Base Case",14.3050712574845,33.2178275519136,47.5228988093982
2015.75,"Diagnoses and Incidence","Base Case",14.5937371806012,31.917502588632,46.5112397692332
2016,"Diagnoses and Incidence","Base Case",14.8208180238762,30.759200996577,45.5800190204532
2016.25,"Diagnoses and Incidence","Base Case",14.9746962169039,29.6051922820054,44.5798884989093
2016.5,"Diagnoses and Incidence","Base Case",14.986135470251,28.8562191397639,43.8423546100149
2016.75,"Diagnoses and Incidence","Base Case",14.9582136385983,28.5300090999449,43.4882227385432
2011,"Undiagnosed Cases","Base Case",241.490981550503,301.141897246291,542.632878796794
2011.25,"Undiagnosed Cases","Base Case",243.313415070999,301.698055741156,545.011470812155
