"Subgroup","Year","Diagnoses/Case","Estimate","Min.","Mean","Max."
"non-MSM",2011,"PLWHA","PLWHA",NA,1381,NA
"non-MSM",2011,"Base Case","Undiagnosed Cases",241.5,244.8,248.9
"non-MSM",2011,"Base Case","True Prevalence",1622.5,1625.8,1629.9
"non-MSM",2011,"Base Case","Undiagnosed Fraction (%)",14.9,15.1,15.3
"non-MSM",2011,"Upper Bound","Undiagnosed Cases",483.2,487.4,491.7
"non-MSM",2011,"Upper Bound","True Prevalence",1864.2,1868.4,1872.7
"non-MSM",2011,"Upper Bound","Undiagnosed Fraction (%)",25.9,26.1,26.3
"non-MSM",2012,"PLWHA","PLWHA",NA,1410,NA
"non-MSM",2012,"Base Case","Undiagnosed Cases",242.1,244.8,249.3
"non-MSM",2012,"Base Case","True Prevalence",1652.1,1654.8,1659.3
"non-MSM",2012,"Base Case","Undiagnosed Fraction (%)",14.7,14.8,15
"non-MSM",2012,"Upper Bound","Undiagnosed Cases",485.4,487.7,491.4
"non-MSM",2012,"Upper Bound","True Prevalence",1895.4,1897.7,1901.4
"non-MSM",2012,"Upper Bound","Undiagnosed Fraction (%)",25.6,25.7,25.8
"non-MSM",2013,"PLWHA","PLWHA",NA,1453,NA
"non-MSM",2013,"Base Case","Undiagnosed Cases",243,244.9,246.1
"non-MSM",2013,"Base Case","True Prevalence",1696,1697.9,1699.1
"non-MSM",2013,"Base Case","Undiagnosed Fraction (%)",14.3,14.4,14.5
"non-MSM",2013,"Upper Bound","Undiagnosed Cases",490,491.4,494.4
"non-MSM",2013,"Upper Bound","True Prevalence",1943,1944.4,1947.4
"non-MSM",2013,"Upper Bound","Undiagnosed Fraction (%)",25.2,25.3,25.4
"non-MSM",2014,"PLWHA","PLWHA",NA,1521,NA
"non-MSM",2014,"Base Case","Undiagnosed Cases",247.9,248.9,250.2
"non-MSM",2014,"Base Case","True Prevalence",1768.9,1769.9,1771.2
"non-MSM",2014,"Base Case","Undiagnosed Fraction (%)",14,14.1,14.1
"non-MSM",2014,"Upper Bound","Undiagnosed Cases",497.3,499,501.3
"non-MSM",2014,"Upper Bound","True Prevalence",2018.3,2020,2022.3
"non-MSM",2014,"Upper Bound","Undiagnosed Fraction (%)",24.6,24.7,24.8
"non-MSM",2015,"PLWHA","PLWHA",NA,1551,NA
"non-MSM",2015,"Base Case","Undiagnosed Cases",247.5,250.6,254.3
"non-MSM",2015,"Base Case","True Prevalence",1798.5,1801.6,1805.3
"non-MSM",2015,"Base Case","Undiagnosed Fraction (%)",13.8,13.9,14.1
"non-MSM",2015,"Upper Bound","Undiagnosed Cases",500.3,503.7,508.5
"non-MSM",2015,"Upper Bound","True Prevalence",2051.3,2054.7,2059.5
"non-MSM",2015,"Upper Bound","Undiagnosed Fraction (%)",24.4,24.5,24.7
"non-MSM",2016,"PLWHA","PLWHA",NA,1599,NA
