"time","group","var","non-MSM","MSM","value"
2011,"Diagnoses and Incidence","# Diagnosed",14,47,61
2011.25,"Diagnoses and Incidence","# Diagnosed",10,51,61
2011.5,"Diagnoses and Incidence","# Diagnosed",13,46,59
2011.75,"Diagnoses and Incidence","# Diagnosed",10,52,62
2012,"Diagnoses and Incidence","# Diagnosed",19,50,69
2012.25,"Diagnoses and Incidence","# Diagnosed",19,54,73
2012.5,"Diagnoses and Incidence","# Diagnosed",12,49,61
2012.75,"Diagnoses and Incidence","# Diagnosed",12,43,55
2013,"Diagnoses and Incidence","# Diagnosed",12,48,60
2013.25,"Diagnoses and Incidence","# Diagnosed",17,42,59
2013.5,"Diagnoses and Incidence","# Diagnosed",13,41,54
2013.75,"Diagnoses and Incidence","# Diagnosed",7,39,46
2014,"Diagnoses and Incidence","# Diagnosed",16,31,47
2014.25,"Diagnoses and Incidence","# Diagnosed",11,55,66
2014.5,"Diagnoses and Incidence","# Diagnosed",15,55,70
2014.75,"Diagnoses and Incidence","# Diagnosed",10,30,40
2015,"Diagnoses and Incidence","# Diagnosed",19,35,54
2015.25,"Diagnoses and Incidence","# Diagnosed",11,37,48
2015.5,"Diagnoses and Incidence","# Diagnosed",9,46,55
2015.75,"Diagnoses and Incidence","# Diagnosed",12,36,48
2016,"Diagnoses and Incidence","# Diagnosed",12,39,51
2016.25,"Diagnoses and Incidence","# Diagnosed",16,29,45
2016.5,"Diagnoses and Incidence","# Diagnosed",14,30,44
2016.75,"Diagnoses and Incidence","# Diagnosed",13,27,40
2017,"Diagnoses and Incidence","# Diagnosed",13,23,36
2017.25,"Diagnoses and Incidence","# Diagnosed",10,34,44
2017.5,"Diagnoses and Incidence","# Diagnosed",18,31,49
2017.75,"Diagnoses and Incidence","# Diagnosed",11,34,45
2011,"Diagnoses and Incidence","Base Case",13.2596184613988,48.1877822723673,61.4474007337661
2011.25,"Diagnoses and Incidence","Base Case",13.3889337933545,48.0078690985745,61.396802891929
2011.5,"Diagnoses and Incidence","Base Case",13.6408315766618,47.6935753433588,61.3344069200206
2011.75,"Diagnoses and Incidence","Base Case",13.8331069749209,47.3596295183929,61.1927364933139
2012,"Diagnoses and Incidence","Base Case",13.8120010984327,46.7596434733201,60.5716445717528
2012.25,"Diagnoses and Incidence","Base Case",13.5426561526372,45.9523397689582,59.4949959215954
2012.5,"Diagnoses and Incidence","Base Case",13.1866127508214,44.8503610495338,58.0369738003552
2012.75,"Diagnoses and Incidence","Base Case",12.9127948957995,43.6974817916499,56.6102766874494
2013,"Diagnoses and Incidence","Base Case",12.7047291454373,42.6604613003911,55.3651904458285
2013.25,"Diagnoses and Incidence","Base Case",12.4873387311777,41.5726059316144,54.0599446627921
2013.5,"Diagnoses and Incidence","Base Case",12.28948377055,40.6634362594372,52.9529200299872
2013.75,"Diagnoses and Incidence","Base Case",12.2032533470641,39.9279563566841,52.1312097037482
2014,"Diagnoses and Incidence","Base Case",12.3011618942213,39.3887430288466,51.6899049230679
2014.25,"Diagnoses and Incidence","Base Case",12.3373575260097,39.056283104813,51.3936406308226
2014.5,"Diagnoses and Incidence","Base Case",12.3957218734652,37.9415253457883,50.3372472192535
2014.75,"Diagnoses and Incidence","Base Case",12.4178697908244,36.3597747002492,48.7776444910737
2015,"Diagnoses and Incidence","Base Case",12.3920560744262,35.3175181915667,47.7095742659928
2015.25,"Diagnoses and Incidence","Base Case",12.3131392205829,34.4277484203025,46.7408876408855
2015.5,"Diagnoses and Incidence","Base Case",12.448354131632,33.444212267382,45.892566399014
2015.75,"Diagnoses and Incidence","Base Case",12.7346145005112,32.0346578019422,44.7692723024534
