"Subgroup","Year","Diagnoses/Case","Estimate","Min.","Mean","Max."
"non-MSM",2011,"PLWHA","PLWHA",NA,1411,NA
"non-MSM",2011,"Base Case","Undiagnosed Cases",254.5,257.2,260.8
"non-MSM",2011,"Base Case","True Prevalence",1665.5,1668.2,1671.8
"non-MSM",2011,"Base Case","Undiagnosed Fraction (%)",15.3,15.4,15.6
"non-MSM",2011,"Upper Bound","Undiagnosed Cases",494.4,496.8,499.6
"non-MSM",2011,"Upper Bound","True Prevalence",1905.4,1907.8,1910.6
"non-MSM",2011,"Upper Bound","Undiagnosed Fraction (%)",25.9,26,26.1
"non-MSM",2012,"PLWHA","PLWHA",NA,1434,NA
"non-MSM",2012,"Base Case","Undiagnosed Cases",253.1,255.8,260.8
"non-MSM",2012,"Base Case","True Prevalence",1687.1,1689.8,1694.8
"non-MSM",2012,"Base Case","Undiagnosed Fraction (%)",15,15.1,15.4
"non-MSM",2012,"Upper Bound","Undiagnosed Cases",489.5,492.5,498.2
"non-MSM",2012,"Upper Bound","True Prevalence",1923.5,1926.5,1932.2
"non-MSM",2012,"Upper Bound","Undiagnosed Fraction (%)",25.4,25.6,25.8
"non-MSM",2013,"PLWHA","PLWHA",NA,1470,NA
"non-MSM",2013,"Base Case","Undiagnosed Cases",249.5,251.9,254.5
"non-MSM",2013,"Base Case","True Prevalence",1719.5,1721.9,1724.5
"non-MSM",2013,"Base Case","Undiagnosed Fraction (%)",14.5,14.6,14.8
"non-MSM",2013,"Upper Bound","Undiagnosed Cases",485.9,488.2,490.5
"non-MSM",2013,"Upper Bound","True Prevalence",1955.9,1958.2,1960.5
"non-MSM",2013,"Upper Bound","Undiagnosed Fraction (%)",24.8,24.9,25
"non-MSM",2014,"PLWHA","PLWHA",NA,1531,NA
"non-MSM",2014,"Base Case","Undiagnosed Cases",250.5,251,252.2
"non-MSM",2014,"Base Case","True Prevalence",1781.5,1782,1783.2
"non-MSM",2014,"Base Case","Undiagnosed Fraction (%)",14.1,14.1,14.1
"non-MSM",2014,"Upper Bound","Undiagnosed Cases",487.6,488,489
"non-MSM",2014,"Upper Bound","True Prevalence",2018.6,2019,2020
"non-MSM",2014,"Upper Bound","Undiagnosed Fraction (%)",24.2,24.2,24.2
"non-MSM",2015,"PLWHA","PLWHA",NA,1551,NA
"non-MSM",2015,"Base Case","Undiagnosed Cases",245.3,247.7,249.7
"non-MSM",2015,"Base Case","True Prevalence",1796.3,1798.7,1800.7
"non-MSM",2015,"Base Case","Undiagnosed Fraction (%)",13.7,13.8,13.9
"non-MSM",2015,"Upper Bound","Undiagnosed Cases",482.9,485.4,487.9
"non-MSM",2015,"Upper Bound","True Prevalence",2033.9,2036.4,2038.9
"non-MSM",2015,"Upper Bound","Undiagnosed Fraction (%)",23.7,23.8,23.9
"non-MSM",2016,"PLWHA","PLWHA",NA,1580,NA
"non-MSM",2016,"Base Case","Undiagnosed Cases",248.2,249.6,251
"non-MSM",2016,"Base Case","True Prevalence",1828.2,1829.6,1831
"non-MSM",2016,"Base Case","Undiagnosed Fraction (%)",13.6,13.6,13.7
"non-MSM",2016,"Upper Bound","Undiagnosed Cases",485,486.8,488.9
"non-MSM",2016,"Upper Bound","True Prevalence",2065,2066.8,2068.9
"non-MSM",2016,"Upper Bound","Undiagnosed Fraction (%)",23.5,23.6,23.6
"non-MSM",2017,"PLWHA","PLWHA",NA,1658,NA
"non-MSM",2017,"Base Case","Undiagnosed Cases",248.1,249,250.1
"non-MSM",2017,"Base Case","True Prevalence",1906.1,1907,1908.1
"non-MSM",2017,"Base Case","Undiagnosed Fraction (%)",13,13.1,13.1
"non-MSM",2017,"Upper Bound","Undiagnosed Cases",483.6,485,486.3
"non-MSM",2017,"Upper Bound","True Prevalence",2141.6,2143,2144.3
"non-MSM",2017,"Upper Bound","Undiagnosed Fraction (%)",22.6,22.6,22.7
"MSM",2011,"PLWHA","PLWHA",NA,4985,NA
"MSM",2011,"Base Case","Undiagnosed Cases",309.4,309.9,310.3
"MSM",2011,"Base Case","True Prevalence",5294.4,5294.9,5295.3
"MSM",2011,"Base Case","Undiagnosed Fraction (%)",5.8,5.9,5.9
"MSM",2011,"Upper Bound","Undiagnosed Cases",606.6,608.7,610.6
"MSM",2011,"Upper Bound","True Prevalence",5591.6,5593.7,5595.6
"MSM",2011,"Upper Bound","Undiagnosed Fraction (%)",10.8,10.9,10.9
"MSM",2012,"PLWHA","PLWHA",NA,4949,NA
"MSM",2012,"Base Case","Undiagnosed Cases",295.1,301.6,308
"MSM",2012,"Base Case","True Prevalence",5244.1,5250.6,5257
"MSM",2012,"Base Case","Undiagnosed Fraction (%)",5.6,5.7,5.9
"MSM",2012,"Upper Bound","Undiagnosed Cases",580,590.4,601.7
"MSM",2012,"Upper Bound","True Prevalence",5529,5539.4,5550.7
"MSM",2012,"Upper Bound","Undiagnosed Fraction (%)",10.5,10.7,10.8
"MSM",2013,"PLWHA","PLWHA",NA,5012,NA
"MSM",2013,"Base Case","Undiagnosed Cases",283.9,287.5,292.7
"MSM",2013,"Base Case","True Prevalence",5295.9,5299.5,5304.7
"MSM",2013,"Base Case","Undiagnosed Fraction (%)",5.4,5.4,5.5
"MSM",2013,"Upper Bound","Undiagnosed Cases",560.5,566.7,574.5
"MSM",2013,"Upper Bound","True Prevalence",5572.5,5578.7,5586.5
"MSM",2013,"Upper Bound","Undiagnosed Fraction (%)",10.1,10.2,10.3
"MSM",2014,"PLWHA","PLWHA",NA,5068,NA
"MSM",2014,"Base Case","Undiagnosed Cases",265.3,279,288.9
"MSM",2014,"Base Case","True Prevalence",5333.3,5347,5356.9
"MSM",2014,"Base Case","Undiagnosed Fraction (%)",5,5.2,5.4
"MSM",2014,"Upper Bound","Undiagnosed Cases",527.4,546.7,562.6
"MSM",2014,"Upper Bound","True Prevalence",5595.4,5614.7,5630.6
"MSM",2014,"Upper Bound","Undiagnosed Fraction (%)",9.4,9.7,10
"MSM",2015,"PLWHA","PLWHA",NA,5133,NA
"MSM",2015,"Base Case","Undiagnosed Cases",251.6,261.4,267
"MSM",2015,"Base Case","True Prevalence",5384.6,5394.4,5400
"MSM",2015,"Base Case","Undiagnosed Fraction (%)",4.7,4.8,4.9
"MSM",2015,"Upper Bound","Undiagnosed Cases",498.1,514.6,526.7
"MSM",2015,"Upper Bound","True Prevalence",5631.1,5647.6,5659.7
"MSM",2015,"Upper Bound","Undiagnosed Fraction (%)",8.8,9.1,9.3
"MSM",2016,"PLWHA","PLWHA",NA,5197,NA
