"time","group","var","non-MSM","MSM","value"
2012,"Diagnoses and Incidence","# Diagnosed",19,50,69
2012.25,"Diagnoses and Incidence","# Diagnosed",20,54,74
2012.5,"Diagnoses and Incidence","# Diagnosed",12,47,59
2012.75,"Diagnoses and Incidence","# Diagnosed",13,44,57
2013,"Diagnoses and Incidence","# Diagnosed",13,48,61
2013.25,"Diagnoses and Incidence","# Diagnosed",16,41,57
2013.5,"Diagnoses and Incidence","# Diagnosed",13,40,53
2013.75,"Diagnoses and Incidence","# Diagnosed",7,38,45
2014,"Diagnoses and Incidence","# Diagnosed",15,32,47
2014.25,"Diagnoses and Incidence","# Diagnosed",11,55,66
2014.5,"Diagnoses and Incidence","# Diagnosed",14,55,69
2014.75,"Diagnoses and Incidence","# Diagnosed",10,30,40
2015,"Diagnoses and Incidence","# Diagnosed",19,36,55
2015.25,"Diagnoses and Incidence","# Diagnosed",11,37,48
2015.5,"Diagnoses and Incidence","# Diagnosed",9,45,54
2015.75,"Diagnoses and Incidence","# Diagnosed",12,35,47
2016,"Diagnoses and Incidence","# Diagnosed",12,38,50
2016.25,"Diagnoses and Incidence","# Diagnosed",14,31,45
2016.5,"Diagnoses and Incidence","# Diagnosed",14,30,44
2016.75,"Diagnoses and Incidence","# Diagnosed",12,27,39
2017,"Diagnoses and Incidence","# Diagnosed",12,23,35
2017.25,"Diagnoses and Incidence","# Diagnosed",9,32,41
2017.5,"Diagnoses and Incidence","# Diagnosed",15,29,44
2017.75,"Diagnoses and Incidence","# Diagnosed",12,29,41
2012,"Diagnoses and Incidence","Base Case",11.6434140048154,46.1702358933597,57.8136498981751
2012.25,"Diagnoses and Incidence","Base Case",10.9992686240221,45.468602734097,56.4678713581192
2012.5,"Diagnoses and Incidence","Base Case",10.3751844106759,44.4479548600245,54.8231392707004
2012.75,"Diagnoses and Incidence","Base Case",9.89894495630564,43.4168682479085,53.3158132042141
2013,"Diagnoses and Incidence","Base Case",9.51957157970845,42.4277095346279,51.9472811143363
2013.25,"Diagnoses and Incidence","Base Case",9.23546767373992,41.3708495663241,50.606317240064
2013.5,"Diagnoses and Incidence","Base Case",9.04397740714532,40.5345674414136,49.5785448485589
2013.75,"Diagnoses and Incidence","Base Case",8.98654311406657,39.9096060265122,48.8961491405787
2014,"Diagnoses and Incidence","Base Case",9.12793410781465,39.4965568971099,48.6244910049246
2014.25,"Diagnoses and Incidence","Base Case",9.28056447115521,39.2066618987146,48.4872263698699
2014.5,"Diagnoses and Incidence","Base Case",9.46027630453908,38.0764271541594,47.5367034586984
2014.75,"Diagnoses and Incidence","Base Case",9.59263483736827,36.4589564008247,46.051591238193
2015,"Diagnoses and Incidence","Base Case",9.68873974431517,35.3581912933619,45.046931037677
2015.25,"Diagnoses and Incidence","Base Case",9.67627592533879,34.3485669345984,44.0248428599372
2015.5,"Diagnoses and Incidence","Base Case",9.81588078729692,33.2289925987369,43.0448733860338
2015.75,"Diagnoses and Incidence","Base Case",10.0717627120331,31.7063366488223,41.7780993608554
2016,"Diagnoses and Incidence","Base Case",10.3011791686382,30.2406019949259,40.5417811635641
2016.25,"Diagnoses and Incidence","Base Case",10.434804745755,28.7297490603054,39.1645538060604
2016.5,"Diagnoses and Incidence","Base Case",10.4652664499021,27.5316782815254,37.9969447314275
2016.75,"Diagnoses and Incidence","Base Case",10.4760190715571,26.670263075131,37.146282146688
2017,"Diagnoses and Incidence","Base Case",10.5293250967523,26.2602467811559,36.7895718779082
2017.25,"Diagnoses and Incidence","Base Case",10.612736593842,26.2987358353201,36.9114724291622
2017.5,"Diagnoses and Incidence","Base Case",10.7130522204317,26.2234721032248,36.9365243236565
2017.75,"Diagnoses and Incidence","Base Case",10.7112404862653,26.2001053157883,36.9113458020536
2012,"Undiagnosed Cases","Base Case",303.792550083576,306.363461857,610.156011940576
2012.25,"Undiagnosed Cases","Base Case",295.248294203576,302.733534912701,597.981829116277
2012.5,"Undiagnosed Cases","Base Case",289.317266505427,296.774692346378,586.091958851804
2012.75,"Undiagnosed Cases","Base Case",286.524997119045,294.327877610724,580.85287472977
2013,"Undiagnosed Cases","Base Case",282.863720341765,291.330461210913,574.194181552678
2013.25,"Undiagnosed Cases","Base Case",277.428627491013,286.376560477631,563.805187968643
2013.5,"Undiagnosed Cases","Base Case",271.730588622898,284.698300233908,556.428888856806
2013.75,"Undiagnosed Cases","Base Case",270.360199557631,283.916751975288,554.276951532919
2014,"Undiagnosed Cases","Base Case",268.468023577804,287.440777671378,555.908801249182
2014.25,"Undiagnosed Cases","Base Case",264.698693538138,289.737173961521,554.435867499659
2014.5,"Undiagnosed Cases","Base Case",261.748908347517,276.524349933818,538.273258281335
2014.75,"Undiagnosed Cases","Base Case",259.411406966327,266.715823132491,526.127230098818
2015,"Undiagnosed Cases","Base Case",254.810818530908,268.429736790595,523.240555321503
2015.25,"Undiagnosed Cases","Base Case",249.193037065884,267.03386096085,516.226898026734
