time,group,var,non-MSM,MSM,value
2012,Diagnoses and Incidence,# Diagnosed,18,50,68
2012.25,Diagnoses and Incidence,# Diagnosed,16,54,70
2012.5,Diagnoses and Incidence,# Diagnosed,11,47,58
2012.75,Diagnoses and Incidence,# Diagnosed,8,44,52
2013,Diagnoses and Incidence,# Diagnosed,11,48,59
2013.25,Diagnoses and Incidence,# Diagnosed,15,41,56
2013.5,Diagnoses and Incidence,# Diagnosed,13,40,53
2013.75,Diagnoses and Incidence,# Diagnosed,6,38,44
2014,Diagnoses and Incidence,# Diagnosed,15,32,47
2014.25,Diagnoses and Incidence,# Diagnosed,9,55,64
2014.5,Diagnoses and Incidence,# Diagnosed,11,55,66
2014.75,Diagnoses and Incidence,# Diagnosed,7,30,37
2015,Diagnoses and Incidence,# Diagnosed,15,36,51
2015.25,Diagnoses and Incidence,# Diagnosed,7,37,44
2015.5,Diagnoses and Incidence,# Diagnosed,8,45,53
2015.75,Diagnoses and Incidence,# Diagnosed,12,35,47
2016,Diagnoses and Incidence,# Diagnosed,8,38,46
2016.25,Diagnoses and Incidence,# Diagnosed,14,31,45
2016.5,Diagnoses and Incidence,# Diagnosed,11,30,41
2016.75,Diagnoses and Incidence,# Diagnosed,7,27,34
2017,Diagnoses and Incidence,# Diagnosed,10,23,33
2017.25,Diagnoses and Incidence,# Diagnosed,9,32,41
2017.5,Diagnoses and Incidence,# Diagnosed,14,29,43
2017.75,Diagnoses and Incidence,# Diagnosed,8,29,37
2012,Diagnoses and Incidence,Base Case,8.9,46.2,55.0
2012.25,Diagnoses and Incidence,Base Case,8.3,45.5,53.7
2012.5,Diagnoses and Incidence,Base Case,7.8,44.4,52.2
2012.75,Diagnoses and Incidence,Base Case,7.4,43.4,50.8
2013,Diagnoses and Incidence,Base Case,7.1,42.4,49.6
2013.25,Diagnoses and Incidence,Base Case,6.9,41.4,48.3
2013.5,Diagnoses and Incidence,Base Case,6.7,40.5,47.2
2013.75,Diagnoses and Incidence,Base Case,6.5,39.9,46.4
2014,Diagnoses and Incidence,Base Case,6.5,39.5,46.0
2014.25,Diagnoses and Incidence,Base Case,6.4,39.2,45.6
2014.5,Diagnoses and Incidence,Base Case,6.5,38.1,44.6
2014.75,Diagnoses and Incidence,Base Case,6.7,36.5,43.2
2015,Diagnoses and Incidence,Base Case,6.8,35.4,42.2
2015.25,Diagnoses and Incidence,Base Case,7.0,34.3,41.3
2015.5,Diagnoses and Incidence,Base Case,7.3,33.2,40.5
2015.75,Diagnoses and Incidence,Base Case,7.6,31.7,39.3
2016,Diagnoses and Incidence,Base Case,7.8,30.2,38.1
2016.25,Diagnoses and Incidence,Base Case,7.9,28.7,36.6
2016.5,Diagnoses and Incidence,Base Case,7.9,27.5,35.5
2016.75,Diagnoses and Incidence,Base Case,8.1,26.7,34.7
2017,Diagnoses and Incidence,Base Case,8.2,26.3,34.5
2017.25,Diagnoses and Incidence,Base Case,8.3,26.3,34.6
2017.5,Diagnoses and Incidence,Base Case,8.3,26.2,34.5
2017.75,Diagnoses and Incidence,Base Case,8.2,26.2,34.4
2012,Undiagnosed Cases,Base Case,277.2478258,306.3634619,583.6112876
2012.25,Undiagnosed Cases,Base Case,268.3536723,302.7335349,571.0872073
2012.5,Undiagnosed Cases,Base Case,262.3855502,296.7746923,559.1602426
2012.75,Undiagnosed Cases,Base Case,260.1386163,294.3278776,554.466494
2013,Undiagnosed Cases,Base Case,257.793148,291.3304612,549.1236092
2013.25,Undiagnosed Cases,Base Case,251.5877791,286.3765605,537.9643396
2013.5,Undiagnosed Cases,Base Case,244.2259686,284.6983002,528.9242688
2013.75,Undiagnosed Cases,Base Case,241.1164785,283.916752,525.0332304
2014,Undiagnosed Cases,Base Case,237.0881603,287.4407777,524.5289379
2014.25,Undiagnosed Cases,Base Case,231.3437457,289.737174,521.0809197
2014.5,Undiagnosed Cases,Base Case,227.7250028,276.5243499,504.2493528
2014.75,Undiagnosed Cases,Base Case,225.5139428,266.7158231,492.2297659
2015,Undiagnosed Cases,Base Case,221.283061,268.4297368,489.7127978
2015.25,Undiagnosed Cases,Base Case,216.9598875,267.033861,483.9937485
2015.5,Undiagnosed Cases,Base Case,216.8317706,261.941885,478.7736555
2015.75,Undiagnosed Cases,Base Case,214.5549783,253.287464,467.8424423
2016,Undiagnosed Cases,Base Case,212.6111099,247.3011348,459.9122447
2016.25,Undiagnosed Cases,Base Case,209.5680179,239.7338134,449.3018314
