"Subgroup","Year","Diagnoses/Case","PLWHA","Undiagnosed Cases","True Prevalence","Undiagnosed Fraction (%)","NA"
"MSM",2011,"Base Case",4985,,,,
"MSM",2011,,,,,,
"non-MSM",2011,"Base Case",1411,,,,
"non-MSM",2011,,,,,,
"Total",2011,"Base Case",6396,,,,
"Total",2011,,,,,,
"MSM",2012,"Base Case",4949,300,5249,5.7,
"MSM",2012,"Upper Bound",,581.6,5530.6,10.5,
"non-MSM",2012,"Base Case",1434,267,1701,15.7,
"non-MSM",2012,"Upper Bound",,444.2,1878.2,23.7,
"Total",2012,"Base Case",6383,567.1,6950.1,8.2,
"Total",2012,"Upper Bound",,1026,7409,13.8,
"MSM",2013,"Base Case",5012,286.6,5298.6,5.4,
"MSM",2013,"Upper Bound",,560.4,5572.4,10.1,
"non-MSM",2013,"Base Case",1470,248.7,1718.7,14.5,
"non-MSM",2013,"Upper Bound",,422.5,1892.5,22.3,
"Total",2013,"Base Case",6482,535.3,7017.3,7.6,
"Total",2013,"Upper Bound",,982.9,7464.9,13.2,
"MSM",2014,"Base Case",5068,280.1,5348.1,5.2,
"MSM",2014,"Upper Bound",,544.4,5612.4,9.7,
"non-MSM",2014,"Base Case",1531,230.4,1761.4,13.1,
"non-MSM",2014,"Upper Bound",,402,1933,20.8,
"Total",2014,"Base Case",6599,510.5,7109.5,7.2,
"Total",2014,"Upper Bound",,946.4,7545.4,12.5,
"MSM",2015,"Base Case",5133,262.7,5395.7,4.9,
"MSM",2015,"Upper Bound",,513.2,5646.2,9.1,
"non-MSM",2015,"Base Case",1551,217.4,1768.4,12.3,
"non-MSM",2015,"Upper Bound",,385.6,1936.6,19.9,
"Total",2015,"Base Case",6684,480.1,7164.1,6.7,
"Total",2015,"Upper Bound",,898.8,7582.8,11.9,
"MSM",2016,"Base Case",5197,238.2,5435.2,4.4,
"MSM",2016,"Upper Bound",,474,5671,8.4,
"non-MSM",2016,"Base Case",1580,207.7,1787.7,11.6,
"non-MSM",2016,"Upper Bound",,369.4,1949.4,18.9,
"Total",2016,"Base Case",6777,445.9,7222.9,6.2,
"Total",2016,"Upper Bound",,843.5,7620.5,11.1,
"MSM",2017,"Base Case",5291,226.1,5517.1,4.1,
"MSM",2017,"Upper Bound",,454,5745,7.9,
"non-MSM",2017,"Base Case",1658,200.6,1858.6,10.8,
"non-MSM",2017,"Upper Bound",,354.5,2012.5,17.6,
"Total",2017,"Base Case",6949,426.7,7375.7,5.8,
"Total",2017,"Upper Bound",,808.4,7757.4,10.4,
