"Subgroup","Year","Diagnoses/Case","Estimate","Min.","Mean","Max."
"non-MSM",2007,"PLWHA","PLWHA",NA,11310,NA
"non-MSM",2007,NA,NA,NA,NA,NA
"non-MSM",2007,NA,"True Prevalence",NA,NA,NA
"non-MSM",2007,NA,"Undiagnosed Fraction (%)",NA,NA,NA
"non-MSM",2008,"PLWHA","PLWHA",NA,11310,NA
"non-MSM",2008,"Base Case","Undiagnosed Cases",1943,1973,1993
"non-MSM",2008,"Base Case","True Prevalence",13253,13283,13303
"non-MSM",2008,"Base Case","Undiagnosed Fraction (%)",14.7,14.9,15
"non-MSM",2008,"Upper Bound","Undiagnosed Cases",3369,3425,3472
"non-MSM",2008,"Upper Bound","True Prevalence",14679,14735,14782
"non-MSM",2008,"Upper Bound","Undiagnosed Fraction (%)",23,23.2,23.5
"non-MSM",2009,"PLWHA","PLWHA",NA,11310,NA
"non-MSM",2009,"Base Case","Undiagnosed Cases",1808,1862,1916
"non-MSM",2009,"Base Case","True Prevalence",13118,13172,13226
"non-MSM",2009,"Base Case","Undiagnosed Fraction (%)",13.8,14.1,14.5
"non-MSM",2009,"Upper Bound","Undiagnosed Cases",3170,3246,3324
"non-MSM",2009,"Upper Bound","True Prevalence",14480,14556,14634
"non-MSM",2009,"Upper Bound","Undiagnosed Fraction (%)",21.9,22.3,22.7
"non-MSM",2010,"PLWHA","PLWHA",NA,11310,NA
"non-MSM",2010,"Base Case","Undiagnosed Cases",1739,1764,1789
"non-MSM",2010,"Base Case","True Prevalence",13049,13074,13099
"non-MSM",2010,"Base Case","Undiagnosed Fraction (%)",13.3,13.5,13.7
"non-MSM",2010,"Upper Bound","Undiagnosed Cases",3059,3100,3141
"non-MSM",2010,"Upper Bound","True Prevalence",14369,14410,14451
"non-MSM",2010,"Upper Bound","Undiagnosed Fraction (%)",21.3,21.5,21.7
"non-MSM",2011,"PLWHA","PLWHA",NA,11310,NA
"non-MSM",2011,"Base Case","Undiagnosed Cases",1649,1682,1717
"non-MSM",2011,"Base Case","True Prevalence",12959,12992,13027
"non-MSM",2011,"Base Case","Undiagnosed Fraction (%)",12.7,12.9,13.2
"non-MSM",2011,"Upper Bound","Undiagnosed Cases",2933,2978,3027
"non-MSM",2011,"Upper Bound","True Prevalence",14243,14288,14337
"non-MSM",2011,"Upper Bound","Undiagnosed Fraction (%)",20.6,20.8,21.1
"non-MSM",2012,"PLWHA","PLWHA",NA,11310,NA
"non-MSM",2012,"Base Case","Undiagnosed Cases",1523,1578,1631
"non-MSM",2012,"Base Case","True Prevalence",12833,12888,12941
"non-MSM",2012,"Base Case","Undiagnosed Fraction (%)",11.9,12.2,12.6
"non-MSM",2012,"Upper Bound","Undiagnosed Cases",2775,2840,2907
"non-MSM",2012,"Upper Bound","True Prevalence",14085,14150,14217
"non-MSM",2012,"Upper Bound","Undiagnosed Fraction (%)",19.7,20.1,20.4
"non-MSM",2013,"PLWHA","PLWHA",NA,11310,NA
"non-MSM",2013,"Base Case","Undiagnosed Cases",1418,1460,1500
"non-MSM",2013,"Base Case","True Prevalence",12728,12770,12810
"non-MSM",2013,"Base Case","Undiagnosed Fraction (%)",11.1,11.4,11.7
"non-MSM",2013,"Upper Bound","Undiagnosed Cases",2654,2701,2747
"non-MSM",2013,"Upper Bound","True Prevalence",13964,14011,14057
"non-MSM",2013,"Upper Bound","Undiagnosed Fraction (%)",19,19.3,19.5
"non-MSM",2014,"PLWHA","PLWHA",NA,11310,NA
"non-MSM",2014,"Base Case","Undiagnosed Cases",1413,1413,1413
"non-MSM",2014,"Base Case","True Prevalence",12723,12723,12723
"non-MSM",2014,"Base Case","Undiagnosed Fraction (%)",11.1,11.1,11.1
"non-MSM",2014,"Upper Bound","Undiagnosed Cases",2651,2651,2651
"non-MSM",2014,"Upper Bound","True Prevalence",13961,13961,13961
"non-MSM",2014,"Upper Bound","Undiagnosed Fraction (%)",19,19,19
"non-MSM",2015,"PLWHA","PLWHA",NA,11310,NA
"non-MSM",2015,NA,NA,NA,NA,NA
"non-MSM",2015,NA,"True Prevalence",NA,NA,NA
"non-MSM",2015,NA,"Undiagnosed Fraction (%)",NA,NA,NA
"MSM",2007,"PLWHA","PLWHA",NA,8190,NA
