"Subgroup","Year","Diagnoses/Case","Estimate","Min.","Mean","Max."
"MSM No Concurrent Dx",2010,"PLWHA","PLWHA",NA,3343,NA
"MSM No Concurrent Dx",2010,"Base Case","Undiagnosed Cases",416.4,426,439.4
"MSM No Concurrent Dx",2010,"Base Case","True Prevalence",3759.4,3769,3782.4
"MSM No Concurrent Dx",2010,"Base Case","Undiagnosed Fraction (%)",11.1,11.3,11.6
"MSM No Concurrent Dx",2010,"Upper Bound","Undiagnosed Cases",819.1,832.4,851
"MSM No Concurrent Dx",2010,"Upper Bound","True Prevalence",4162.1,4175.4,4194
"MSM No Concurrent Dx",2010,"Upper Bound","Undiagnosed Fraction (%)",19.7,19.9,20.3
"MSM No Concurrent Dx",2011,"PLWHA","PLWHA",NA,3545,NA
"MSM No Concurrent Dx",2011,"Base Case","Undiagnosed Cases",406.1,409.8,415
"MSM No Concurrent Dx",2011,"Base Case","True Prevalence",3951.1,3954.8,3960
"MSM No Concurrent Dx",2011,"Base Case","Undiagnosed Fraction (%)",10.3,10.4,10.5
"MSM No Concurrent Dx",2011,"Upper Bound","Undiagnosed Cases",803.6,807.3,814.3
"MSM No Concurrent Dx",2011,"Upper Bound","True Prevalence",4348.6,4352.3,4359.3
"MSM No Concurrent Dx",2011,"Upper Bound","Undiagnosed Fraction (%)",18.5,18.5,18.7
"MSM No Concurrent Dx",2012,"PLWHA","PLWHA",NA,3676,NA
"MSM No Concurrent Dx",2012,"Base Case","Undiagnosed Cases",396,402.4,409.8
"MSM No Concurrent Dx",2012,"Base Case","True Prevalence",4072,4078.4,4085.8
"MSM No Concurrent Dx",2012,"Base Case","Undiagnosed Fraction (%)",9.7,9.9,10
"MSM No Concurrent Dx",2012,"Upper Bound","Undiagnosed Cases",782.3,791.6,803.5
"MSM No Concurrent Dx",2012,"Upper Bound","True Prevalence",4458.3,4467.6,4479.5
"MSM No Concurrent Dx",2012,"Upper Bound","Undiagnosed Fraction (%)",17.5,17.7,17.9
"MSM No Concurrent Dx",2013,"PLWHA","PLWHA",NA,3853,NA
"MSM No Concurrent Dx",2013,"Base Case","Undiagnosed Cases",381.4,385.9,394.8
"MSM No Concurrent Dx",2013,"Base Case","True Prevalence",4234.4,4238.9,4247.8
"MSM No Concurrent Dx",2013,"Base Case","Undiagnosed Fraction (%)",9,9.1,9.3
"MSM No Concurrent Dx",2013,"Upper Bound","Undiagnosed Cases",761.6,765.9,776.5
"MSM No Concurrent Dx",2013,"Upper Bound","True Prevalence",4614.6,4618.9,4629.5
"MSM No Concurrent Dx",2013,"Upper Bound","Undiagnosed Fraction (%)",16.5,16.6,16.8
"MSM No Concurrent Dx",2014,"PLWHA","PLWHA",NA,3835,NA
"MSM No Concurrent Dx",2014,"Base Case","Undiagnosed Cases",371,380.1,387.7
"MSM No Concurrent Dx",2014,"Base Case","True Prevalence",4206,4215.1,4222.7
"MSM No Concurrent Dx",2014,"Base Case","Undiagnosed Fraction (%)",8.8,9,9.2
"MSM No Concurrent Dx",2014,"Upper Bound","Undiagnosed Cases",746.5,756.5,764.6
"MSM No Concurrent Dx",2014,"Upper Bound","True Prevalence",4581.5,4591.5,4599.6
"MSM No Concurrent Dx",2014,"Upper Bound","Undiagnosed Fraction (%)",16.3,16.5,16.6
"MSM No Concurrent Dx",2015,"PLWHA","PLWHA",NA,4030,NA
"MSM No Concurrent Dx",2015,"Base Case","Undiagnosed Cases",373.3,380.5,386.7
"MSM No Concurrent Dx",2015,"Base Case","True Prevalence",4403.3,4410.5,4416.7
"MSM No Concurrent Dx",2015,"Base Case","Undiagnosed Fraction (%)",8.5,8.6,8.8
"MSM No Concurrent Dx",2015,"Upper Bound","Undiagnosed Cases",743,753.6,762.4
"MSM No Concurrent Dx",2015,"Upper Bound","True Prevalence",4773,4783.6,4792.4
"MSM No Concurrent Dx",2015,"Upper Bound","Undiagnosed Fraction (%)",15.6,15.8,15.9
"non-MSM No Concurrent Dx",2010,"PLWHA","PLWHA",NA,1086,NA
"non-MSM No Concurrent Dx",2010,"Base Case","Undiagnosed Cases",411.7,416,421.9
"non-MSM No Concurrent Dx",2010,"Base Case","True Prevalence",1497.7,1502,1507.9
"non-MSM No Concurrent Dx",2010,"Base Case","Undiagnosed Fraction (%)",27.5,27.7,28
"non-MSM No Concurrent Dx",2010,"Upper Bound","Undiagnosed Cases",814.4,817.2,821.8
"non-MSM No Concurrent Dx",2010,"Upper Bound","True Prevalence",1900.4,1903.2,1907.8
"non-MSM No Concurrent Dx",2010,"Upper Bound","Undiagnosed Fraction (%)",42.9,42.9,43.1
"non-MSM No Concurrent Dx",2011,"PLWHA","PLWHA",NA,1150,NA
"non-MSM No Concurrent Dx",2011,"Base Case","Undiagnosed Cases",409.4,414.1,418.3
"non-MSM No Concurrent Dx",2011,"Base Case","True Prevalence",1559.4,1564.1,1568.3
"non-MSM No Concurrent Dx",2011,"Base Case","Undiagnosed Fraction (%)",26.3,26.5,26.7
"non-MSM No Concurrent Dx",2011,"Upper Bound","Undiagnosed Cases",813.3,820,825.1
"non-MSM No Concurrent Dx",2011,"Upper Bound","True Prevalence",1963.3,1970,1975.1
"non-MSM No Concurrent Dx",2011,"Upper Bound","Undiagnosed Fraction (%)",41.4,41.6,41.8
"non-MSM No Concurrent Dx",2012,"PLWHA","PLWHA",NA,1190,NA
