"time","group","var","MSM","non-MSM","value"
2005,"Diagnoses and Incidence","# Diagnosed",92,61,153
2005.25,"Diagnoses and Incidence","# Diagnosed",91,35,126
2005.5,"Diagnoses and Incidence","# Diagnosed",81,50,131
2005.75,"Diagnoses and Incidence","# Diagnosed",93,50,143
2006,"Diagnoses and Incidence","# Diagnosed",90,39,129
2006.25,"Diagnoses and Incidence","# Diagnosed",102,50,152
2006.5,"Diagnoses and Incidence","# Diagnosed",81,39,120
2006.75,"Diagnoses and Incidence","# Diagnosed",83,49,132
2007,"Diagnoses and Incidence","# Diagnosed",101,61,162
2007.25,"Diagnoses and Incidence","# Diagnosed",108,40,148
2007.5,"Diagnoses and Incidence","# Diagnosed",95,54,149
2007.75,"Diagnoses and Incidence","# Diagnosed",77,40,117
2008,"Diagnoses and Incidence","# Diagnosed",75,46,121
2008.25,"Diagnoses and Incidence","# Diagnosed",104,59,163
2008.5,"Diagnoses and Incidence","# Diagnosed",72,55,127
2008.75,"Diagnoses and Incidence","# Diagnosed",82,40,122
2009,"Diagnoses and Incidence","# Diagnosed",94,46,140
2009.25,"Diagnoses and Incidence","# Diagnosed",96,45,141
2009.5,"Diagnoses and Incidence","# Diagnosed",84,38,122
2009.75,"Diagnoses and Incidence","# Diagnosed",87,47,134
2010,"Diagnoses and Incidence","# Diagnosed",103,55,158
2010.25,"Diagnoses and Incidence","# Diagnosed",99,29,128
2010.5,"Diagnoses and Incidence","# Diagnosed",91,45,136
2010.75,"Diagnoses and Incidence","# Diagnosed",88,35,123
2011,"Diagnoses and Incidence","# Diagnosed",94,43,137
2011.25,"Diagnoses and Incidence","# Diagnosed",87,25,112
2011.5,"Diagnoses and Incidence","# Diagnosed",73,35,108
2011.75,"Diagnoses and Incidence","# Diagnosed",89,42,131
2012,"Diagnoses and Incidence","# Diagnosed",85,51,136
2012.25,"Diagnoses and Incidence","# Diagnosed",94,44,138
2012.5,"Diagnoses and Incidence","# Diagnosed",77,39,116
2012.75,"Diagnoses and Incidence","# Diagnosed",65,43,108
2013,"Diagnoses and Incidence","# Diagnosed",85,38,123
2013.25,"Diagnoses and Incidence","# Diagnosed",73,42,115
2013.5,"Diagnoses and Incidence","# Diagnosed",68,35,103
2013.75,"Diagnoses and Incidence","# Diagnosed",73,33,106
2014,"Diagnoses and Incidence","# Diagnosed",58,40,98
2014.25,"Diagnoses and Incidence","# Diagnosed",81,39,120
2014.5,"Diagnoses and Incidence","# Diagnosed",83,48,131
2014.75,"Diagnoses and Incidence","# Diagnosed",55,35,90
2015,"Diagnoses and Incidence","# Diagnosed",57,41,98
2015.25,"Diagnoses and Incidence","# Diagnosed",74,30,104
2015.5,"Diagnoses and Incidence","# Diagnosed",89,38,127
2015.75,"Diagnoses and Incidence","# Diagnosed",71,47,118
2005,"Diagnoses and Incidence","Base Case",90.3829541049116,46.0829190325965,136.465873137508
2005.25,"Diagnoses and Incidence","Base Case",90.3326532431593,45.7525129918619,136.085166235021
2005.5,"Diagnoses and Incidence","Base Case",90.3275109126917,45.5653450302638,135.892855942956
2005.75,"Diagnoses and Incidence","Base Case",90.4328171184773,45.3721616969828,135.80497881546
2006,"Diagnoses and Incidence","Base Case",90.4587915194502,45.1706293439887,135.629420863439
2006.25,"Diagnoses and Incidence","Base Case",90.422954558384,45.0671320457873,135.490086604171
2006.5,"Diagnoses and Incidence","Base Case",90.2497126885904,44.8927538137106,135.142466502301
2006.75,"Diagnoses and Incidence","Base Case",90.215308311293,44.737559763204,134.952868074497
2007,"Diagnoses and Incidence","Base Case",90.1516551737574,44.4238572402987,134.575512414056
2007.25,"Diagnoses and Incidence","Base Case",89.7862988017738,43.9563372184414,133.742636020215
2007.5,"Diagnoses and Incidence","Base Case",89.1667710564225,43.4942323545372,132.66100341096
2007.75,"Diagnoses and Incidence","Base Case",88.6139900874884,42.9500724552523,131.564062542741
2008,"Diagnoses and Incidence","Base Case",88.371914204341,42.3967040943715,130.768618298713
2008.25,"Diagnoses and Incidence","Base Case",88.3187113802177,41.7276045577828,130.046315938
2008.5,"Diagnoses and Incidence","Base Case",88.1367034586396,40.8395641286083,128.976267587248
2008.75,"Diagnoses and Incidence","Base Case",88.236569978728,39.922051533156,128.158621511884
2009,"Diagnoses and Incidence","Base Case",88.3429546569916,39.0987244026836,127.441679059675
2009.25,"Diagnoses and Incidence","Base Case",88.2637501950929,38.3390257898597,126.602775984953
2009.5,"Diagnoses and Incidence","Base Case",88.0238881151434,37.6165450756262,125.64043319077
2009.75,"Diagnoses and Incidence","Base Case",87.7542126792526,36.9862639129992,124.740476592252
2010,"Diagnoses and Incidence","Base Case",87.3003615444848,36.3528281028853,123.65318964737
2010.25,"Diagnoses and Incidence","Base Case",86.4573186897365,35.7520608479907,122.209379537727
2010.5,"Diagnoses and Incidence","Base Case",85.3647392331999,35.4162688626414,120.781008095841
2010.75,"Diagnoses and Incidence","Base Case",84.1655918137617,35.1784980486898,119.344089862451
2011,"Diagnoses and Incidence","Base Case",82.8881463380757,35.1171420597287,118.005288397804
2011.25,"Diagnoses and Incidence","Base Case",81.4860706910266,35.1829032419194,116.668973932946
2011.5,"Diagnoses and Incidence","Base Case",80.1209378391781,35.4617547723248,115.582692611503
2011.75,"Diagnoses and Incidence","Base Case",78.8968273973302,35.7378272003265,114.634654597657
2012,"Diagnoses and Incidence","Base Case",77.5277361325438,35.8710003489359,113.39873648148
2012.25,"Diagnoses and Incidence","Base Case",76.0682960631997,35.8256615198008,111.893957583
2012.5,"Diagnoses and Incidence","Base Case",74.4903375874259,35.7451446821687,110.235482269595
2012.75,"Diagnoses and Incidence","Base Case",73.1338336803284,35.6862463956805,108.820080076009
2013,"Diagnoses and Incidence","Base Case",72.067292383793,35.6268863898765,107.694178773669
2013.25,"Diagnoses and Incidence","Base Case",70.9886973411212,35.6314722037361,106.620169544857
2013.5,"Diagnoses and Incidence","Base Case",70.1397698509231,35.663094807789,105.802864658712
2013.75,"Diagnoses and Incidence","Base Case",69.5586448251772,35.814235518415,105.372880343592
2014,"Diagnoses and Incidence","Base Case",69.1653694907268,36.0229485909615,105.188318081688
2014.25,"Diagnoses and Incidence","Base Case",69.064184743876,36.185689887727,105.249874631603
2014.5,"Diagnoses and Incidence","Base Case",68.8411490907319,36.2948030791266,105.135952169859
2014.75,"Diagnoses and Incidence","Base Case",68.6511103207008,36.3156904860382,104.966800806739
2015,"Diagnoses and Incidence","Base Case",68.9387279386786,36.417259798628,105.355987737307
2015.25,"Diagnoses and Incidence","Base Case",69.449104158793,36.5334126181163,105.982516776909
2015.5,"Diagnoses and Incidence","Base Case",69.7572060399827,36.7343458318667,106.491551871849
2015.75,"Diagnoses and Incidence","Base Case",69.7262891074858,36.8630866713831,106.589375778869
2005,"Undiagnosed Cases","Base Case",722.696939959501,882.04169917125,1604.73863913075
2005.25,"Undiagnosed Cases","Base Case",720.713180130883,878.483062945389,1599.19624307627
2005.5,"Undiagnosed Cases","Base Case",723.044846349279,881.602776765013,1604.64762311429
2005.75,"Undiagnosed Cases","Base Case",727.911952518225,877.050276172312,1604.96222869054
2006,"Undiagnosed Cases","Base Case",727.988489623042,876.834854724415,1604.82334434746
2006.25,"Undiagnosed Cases","Base Case",724.895836302832,878.040486582435,1602.93632288527
2006.5,"Undiagnosed Cases","Base Case",721.139077568051,878.260650963143,1599.39972853119
2006.75,"Undiagnosed Cases","Base Case",729.881664929839,880.416136478642,1610.29780140848
2007,"Undiagnosed Cases","Base Case",733.47266673988,871.206322677409,1604.67898941729
2007.25,"Undiagnosed Cases","Base Case",723.322754596186,864.614790778033,1587.93754537422
2007.5,"Undiagnosed Cases","Base Case",709.798828773086,861.822563333009,1571.6213921061
2007.75,"Undiagnosed Cases","Base Case",706.905921522399,857.851523481316,1564.75744500371
2008,"Undiagnosed Cases","Base Case",715.939298477104,858.22935600989,1574.16865448699
2008.25,"Undiagnosed Cases","Base Case",717.032865673572,849.283960305776,1566.31682597935
2008.5,"Undiagnosed Cases","Base Case",712.200597016808,833.364104020748,1545.56470103756
2008.75,"Undiagnosed Cases","Base Case",723.321865462991,825.034017792737,1548.35588325573
2009,"Undiagnosed Cases","Base Case",726.94365289441,820.635078183625,1547.57873107804
2009.25,"Undiagnosed Cases","Base Case",723.043206537402,813.188635556672,1536.23184209407
2009.5,"Undiagnosed Cases","Base Case",721.591730643966,808.611463005744,1530.20319364971
2009.75,"Undiagnosed Cases","Base Case",727.078169814594,803.121004046228,1530.19917386082
2010,"Undiagnosed Cases","Base Case",726.173641654232,788.236267941498,1514.40990959573
2010.25,"Undiagnosed Cases","Base Case",715.94562923686,780.093615370889,1496.03924460775
2010.5,"Undiagnosed Cases","Base Case",708.129633053637,777.815553520656,1485.94518657429
2010.75,"Undiagnosed Cases","Base Case",704.113074475687,771.752837880647,1475.86591235633
2011,"Undiagnosed Cases","Base Case",698.067153502277,766.977178072638,1465.04433157491
2011.25,"Undiagnosed Cases","Base Case",688.451035747641,766.660657837744,1455.11169358538
2011.5,"Undiagnosed Cases","Base Case",686.312093514164,772.142134354489,1458.45422786865
2011.75,"Undiagnosed Cases","Base Case",686.49651859485,770.401361788238,1456.89788038309
2012,"Undiagnosed Cases","Base Case",678.425065588554,761.053066733262,1439.47813232182
2012.25,"Undiagnosed Cases","Base Case",666.796371984713,749.630810213536,1416.42718219825
2012.5,"Undiagnosed Cases","Base Case",652.487390953567,743.721433099065,1396.20882405263
2012.75,"Undiagnosed Cases","Base Case",650.379944285078,738.411007381601,1388.79095166668
2013,"Undiagnosed Cases","Base Case",647.620909981865,733.082289606463,1380.70319958833
2013.25,"Undiagnosed Cases","Base Case",636.348794621934,728.521125236797,1364.86991985873
2013.5,"Undiagnosed Cases","Base Case",632.231797737494,724.831777660903,1357.0635753984
2013.75,"Undiagnosed Cases","Base Case",628.677087145943,726.233666885049,1354.91075403099
2014,"Undiagnosed Cases","Base Case",628.301910884015,726.087860263535,1354.38977114755
2014.25,"Undiagnosed Cases","Base Case",629.54916814325,723.161699864259,1352.71086800751
2014.5,"Undiagnosed Cases","Base Case",615.935980370753,716.596965151703,1332.53294552246
2014.75,"Undiagnosed Cases","Base Case",609.028741801392,710.826680916273,1319.85542271767
2015,"Undiagnosed Cases","Base Case",618.896112068772,709.137749828611,1328.03386189738
2015.25,"Undiagnosed Cases","Base Case",625.654752943998,709.551720828809,1335.20647377281
2015.5,"Undiagnosed Cases","Base Case",618.641745634408,712.816473816017,1331.45821945043
2015.75,"Undiagnosed Cases","Base Case",607.936882565752,708.128730476159,1316.06561304191
2005,"Diagnoses and Incidence","Upper Bound",89.9223849090737,41.6971050902989,131.619489999373
2005.25,"Diagnoses and Incidence","Upper Bound",89.8679189060649,41.4243840300797,131.292302936145
2005.5,"Diagnoses and Incidence","Upper Bound",89.8502497233516,41.1381876322817,130.988437355633
2005.75,"Diagnoses and Incidence","Upper Bound",89.8059658660222,40.8609924089436,130.666958274966
2006,"Diagnoses and Incidence","Upper Bound",89.7225347519066,40.6059152054775,130.328449957384
2006.25,"Diagnoses and Incidence","Upper Bound",89.5884277572964,40.3340978886766,129.922525645973
2006.5,"Diagnoses and Incidence","Upper Bound",89.4275661210514,40.0059146873548,129.433480808406
2006.75,"Diagnoses and Incidence","Upper Bound",89.2412596680057,39.6724166699032,128.913676337909
2007,"Diagnoses and Incidence","Upper Bound",88.9331973273977,39.2805598836258,128.213757211024
2007.25,"Diagnoses and Incidence","Upper Bound",88.4881254927171,38.8738461507956,127.361971643513
2007.5,"Diagnoses and Incidence","Upper Bound",87.9973783004229,38.42624307357,126.423621373993
2007.75,"Diagnoses and Incidence","Upper Bound",87.5968259390983,37.9419979617204,125.538823900819
2008,"Diagnoses and Incidence","Upper Bound",87.3502739728633,37.4260835413644,124.776357514228
2008.25,"Diagnoses and Incidence","Upper Bound",87.1191219854493,36.8499025193262,123.969024504775
2008.5,"Diagnoses and Incidence","Upper Bound",86.9024887144405,36.2219392256868,123.124427940127
2008.75,"Diagnoses and Incidence","Upper Bound",86.7188183443692,35.6575970507592,122.376415395128
2009,"Diagnoses and Incidence","Upper Bound",86.4436812477167,35.1381024277174,121.581783675434
2009.25,"Diagnoses and Incidence","Upper Bound",86.0359704056162,34.6622316267736,120.69820203239
2009.5,"Diagnoses and Incidence","Upper Bound",85.4995350102921,34.2254377151014,119.724972725394
2009.75,"Diagnoses and Incidence","Upper Bound",84.8234103836721,33.8645951879495,118.688005571622
2010,"Diagnoses and Incidence","Upper Bound",83.9172048199822,33.5180488551164,117.435253675099
2010.25,"Diagnoses and Incidence","Upper Bound",82.7865776140793,33.2601028809688,116.046680495048
2010.5,"Diagnoses and Incidence","Upper Bound",81.5265325931087,33.0949667185257,114.621499311634
2010.75,"Diagnoses and Incidence","Upper Bound",80.1948053818235,33.0265646278499,113.221370009673
2011,"Diagnoses and Incidence","Upper Bound",78.8002205711199,33.0219526099434,111.822173181063
2011.25,"Diagnoses and Incidence","Upper Bound",77.3941562566134,33.0661597615026,110.460316018116
2011.5,"Diagnoses and Incidence","Upper Bound",76.0519726328727,33.1260902318419,109.178062864715
2011.75,"Diagnoses and Incidence","Upper Bound",74.704126445195,33.167279647168,107.871406092363
2012,"Diagnoses and Incidence","Upper Bound",73.3045820519453,33.1548601972484,106.459442249194
2012.25,"Diagnoses and Incidence","Upper Bound",71.9055078605121,33.099549922945,105.005057783457
2012.5,"Diagnoses and Incidence","Upper Bound",70.6025431867282,33.0532413306141,103.655784517342
2012.75,"Diagnoses and Incidence","Upper Bound",69.512014555631,33.0194800179729,102.531494573604
2013,"Diagnoses and Incidence","Upper Bound",68.5590746960391,33.017561158898,101.576635854937
2013.25,"Diagnoses and Incidence","Upper Bound",67.7399667868393,33.0515489807602,100.7915157676
2013.5,"Diagnoses and Incidence","Upper Bound",67.1413328798217,33.1099665130354,100.251299392857
2013.75,"Diagnoses and Incidence","Upper Bound",66.7124721633705,33.202477674077,99.9149498374475
2014,"Diagnoses and Incidence","Upper Bound",66.4530230880978,33.2804825648318,99.7335056529296
2014.25,"Diagnoses and Incidence","Upper Bound",66.3085502732136,33.3474551560686,99.6560054292822
2014.5,"Diagnoses and Incidence","Upper Bound",66.2001432780603,33.3891123965594,99.5892556746197
2014.75,"Diagnoses and Incidence","Upper Bound",66.2605887555149,33.444112486743,99.7047012422579
2015,"Diagnoses and Incidence","Upper Bound",66.5113054360916,33.5056445044806,100.016949940572
2015.25,"Diagnoses and Incidence","Upper Bound",66.757473834602,33.5719506571747,100.329424491777
2015.5,"Diagnoses and Incidence","Upper Bound",66.8392198856077,33.6394976202788,100.478717505887
2015.75,"Diagnoses and Incidence","Upper Bound",66.8293337855044,33.6637686809544,100.493102466459
2005,"Undiagnosed Cases","Upper Bound",1434.53127325286,1672.48534090867,3107.01661416152
2005.25,"Undiagnosed Cases","Upper Bound",1432.2366685195,1666.02057246703,3098.25724098653
2005.5,"Undiagnosed Cases","Upper Bound",1436.5640364024,1664.58394512077,3101.14798152316
2005.75,"Undiagnosed Cases","Upper Bound",1440.0720074475,1655.26346865944,3095.33547610694
2006,"Undiagnosed Cases","Upper Bound",1439.20279747815,1651.50464512791,3090.70744260606
2006.25,"Undiagnosed Cases","Upper Bound",1433.26955631728,1647.79278521746,3081.06234153474
2006.5,"Undiagnosed Cases","Upper Bound",1431.65120668949,1643.3406264727,3074.99183316219
2006.75,"Undiagnosed Cases","Upper Bound",1441.06460033987,1639.47551969984,3080.54012003971
2007,"Undiagnosed Cases","Upper Bound",1440.43377501418,1623.87227647255,3064.30605148673
2007.25,"Undiagnosed Cases","Upper Bound",1425.22935097972,1612.5635516228,3037.79290260252
2007.5,"Undiagnosed Cases","Upper Bound",1410.13852394147,1604.27096137098,3014.40948531245
2007.75,"Undiagnosed Cases","Upper Bound",1409.03658823323,1595.45288195338,3004.48947018661
2008,"Undiagnosed Cases","Upper Bound",1420.11706098855,1590.3297117274,3010.44677271595
2008.25,"Undiagnosed Cases","Upper Bound",1417.48248968402,1575.0609290452,2992.54341872923
2008.5,"Undiagnosed Cases","Upper Bound",1415.81138484847,1553.82169996683,2969.6330848153
2008.75,"Undiagnosed Cases","Upper Bound",1427.11591287785,1541.65922423943,2968.77513711727
2009,"Undiagnosed Cases","Upper Bound",1427.85098764282,1533.49054624602,2961.34153388884
2009.25,"Undiagnosed Cases","Upper Bound",1421.10134591956,1522.38170524959,2943.48305116915
2009.5,"Undiagnosed Cases","Upper Bound",1418.98898399633,1514.58710703924,2933.57609103557
2009.75,"Undiagnosed Cases","Upper Bound",1422.21509678612,1505.85475765721,2928.06985444334
2010,"Undiagnosed Cases","Upper Bound",1414.89835285627,1487.77877596768,2902.67712882395
2010.25,"Undiagnosed Cases","Upper Bound",1398.82727138412,1478.42144256677,2877.24871395089
2010.5,"Undiagnosed Cases","Upper Bound",1386.52216827373,1473.87608594526,2860.39825421899
2010.75,"Undiagnosed Cases","Upper Bound",1378.22473719387,1466.48127625949,2844.70601345336
2011,"Undiagnosed Cases","Upper Bound",1366.2054995072,1460.18080649536,2826.38630600256
2011.25,"Undiagnosed Cases","Upper Bound",1352.11051501975,1459.14299962939,2811.25351464913
2011.5,"Undiagnosed Cases","Upper Bound",1348.24829324352,1462.3932834803,2810.64157672382
2011.75,"Undiagnosed Cases","Upper Bound",1342.7245283234,1457.41622043085,2800.14074875424
2012,"Undiagnosed Cases","Upper Bound",1329.02193708594,1444.35554567876,2773.3774827647
