"Subgroup","Year","Diagnoses/Case","Estimate","Min.","Mean","Max."
"MSM No Late Dx",2010,"PLWHA","PLWHA",NA,3343,NA
"MSM No Late Dx",2010,"Base Case","Undiagnosed Cases",352.4,358.3,368.2
"MSM No Late Dx",2010,"Base Case","True Prevalence",3695.4,3701.3,3711.2
"MSM No Late Dx",2010,"Base Case","Undiagnosed Fraction (%)",9.5,9.7,9.9
"MSM No Late Dx",2010,"Upper Bound","Undiagnosed Cases",693.1,701.1,713.9
"MSM No Late Dx",2010,"Upper Bound","True Prevalence",4036.1,4044.1,4056.9
"MSM No Late Dx",2010,"Upper Bound","Undiagnosed Fraction (%)",17.2,17.3,17.6
"MSM No Late Dx",2011,"PLWHA","PLWHA",NA,3545,NA
"MSM No Late Dx",2011,"Base Case","Undiagnosed Cases",342.5,346.8,352.1
"MSM No Late Dx",2011,"Base Case","True Prevalence",3887.5,3891.8,3897.1
"MSM No Late Dx",2011,"Base Case","Undiagnosed Fraction (%)",8.8,8.9,9
"MSM No Late Dx",2011,"Upper Bound","Undiagnosed Cases",679.3,683.1,689.5
"MSM No Late Dx",2011,"Upper Bound","True Prevalence",4224.3,4228.1,4234.5
"MSM No Late Dx",2011,"Upper Bound","Undiagnosed Fraction (%)",16.1,16.2,16.3
"MSM No Late Dx",2012,"PLWHA","PLWHA",NA,3676,NA
"MSM No Late Dx",2012,"Base Case","Undiagnosed Cases",338.5,343.5,348.2
"MSM No Late Dx",2012,"Base Case","True Prevalence",4014.5,4019.5,4024.2
"MSM No Late Dx",2012,"Base Case","Undiagnosed Fraction (%)",8.4,8.5,8.7
"MSM No Late Dx",2012,"Upper Bound","Undiagnosed Cases",666.7,674.2,682.8
"MSM No Late Dx",2012,"Upper Bound","True Prevalence",4342.7,4350.2,4358.8
"MSM No Late Dx",2012,"Upper Bound","Undiagnosed Fraction (%)",15.4,15.5,15.7
"MSM No Late Dx",2013,"PLWHA","PLWHA",NA,3853,NA
"MSM No Late Dx",2013,"Base Case","Undiagnosed Cases",326.4,329.6,337
"MSM No Late Dx",2013,"Base Case","True Prevalence",4179.4,4182.6,4190
"MSM No Late Dx",2013,"Base Case","Undiagnosed Fraction (%)",7.8,7.9,8
"MSM No Late Dx",2013,"Upper Bound","Undiagnosed Cases",648.4,652.1,660.8
"MSM No Late Dx",2013,"Upper Bound","True Prevalence",4501.4,4505.1,4513.8
"MSM No Late Dx",2013,"Upper Bound","Undiagnosed Fraction (%)",14.4,14.5,14.6
"MSM No Late Dx",2014,"PLWHA","PLWHA",NA,3835,NA
"MSM No Late Dx",2014,"Base Case","Undiagnosed Cases",318.8,326,332.6
"MSM No Late Dx",2014,"Base Case","True Prevalence",4153.8,4161,4167.6
"MSM No Late Dx",2014,"Base Case","Undiagnosed Fraction (%)",7.7,7.8,8
"MSM No Late Dx",2014,"Upper Bound","Undiagnosed Cases",636.8,645.5,653.1
"MSM No Late Dx",2014,"Upper Bound","True Prevalence",4471.8,4480.5,4488.1
"MSM No Late Dx",2014,"Upper Bound","Undiagnosed Fraction (%)",14.2,14.4,14.6
"MSM No Late Dx",2015,"PLWHA","PLWHA",NA,4030,NA
"MSM No Late Dx",2015,NA,NA,NA,NA,NA
"MSM No Late Dx",2015,NA,"True Prevalence",NA,NA,NA
"MSM No Late Dx",2015,NA,"Undiagnosed Fraction (%)",NA,NA,NA
"non-MSM No Late Dx",2010,"PLWHA","PLWHA",NA,1086,NA
"non-MSM No Late Dx",2010,"Base Case","Undiagnosed Cases",345.3,348,352.1
"non-MSM No Late Dx",2010,"Base Case","True Prevalence",1431.3,1434,1438.1
"non-MSM No Late Dx",2010,"Base Case","Undiagnosed Fraction (%)",24.1,24.3,24.5
"non-MSM No Late Dx",2010,"Upper Bound","Undiagnosed Cases",686.1,687.7,690.1
"non-MSM No Late Dx",2010,"Upper Bound","True Prevalence",1772.1,1773.7,1776.1
"non-MSM No Late Dx",2010,"Upper Bound","Undiagnosed Fraction (%)",38.7,38.8,38.9
"non-MSM No Late Dx",2011,"PLWHA","PLWHA",NA,1150,NA
"non-MSM No Late Dx",2011,"Base Case","Undiagnosed Cases",343,350.3,356.8
"non-MSM No Late Dx",2011,"Base Case","True Prevalence",1493,1500.3,1506.8
"non-MSM No Late Dx",2011,"Base Case","Undiagnosed Fraction (%)",23,23.3,23.7
"non-MSM No Late Dx",2011,"Upper Bound","Undiagnosed Cases",686.2,695.6,702.8
"non-MSM No Late Dx",2011,"Upper Bound","True Prevalence",1836.2,1845.6,1852.8
"non-MSM No Late Dx",2011,"Upper Bound","Undiagnosed Fraction (%)",37.4,37.7,37.9
"non-MSM No Late Dx",2012,"PLWHA","PLWHA",NA,1190,NA
"non-MSM No Late Dx",2012,"Base Case","Undiagnosed Cases",354.1,355.1,356.1
"non-MSM No Late Dx",2012,"Base Case","True Prevalence",1544.1,1545.1,1546.1
"non-MSM No Late Dx",2012,"Base Case","Undiagnosed Fraction (%)",22.9,23,23
"non-MSM No Late Dx",2012,"Upper Bound","Undiagnosed Cases",696,698.5,701.1
"non-MSM No Late Dx",2012,"Upper Bound","True Prevalence",1886,1888.5,1891.1
"non-MSM No Late Dx",2012,"Upper Bound","Undiagnosed Fraction (%)",36.9,37,37.1
"non-MSM No Late Dx",2013,"PLWHA","PLWHA",NA,1233,NA
"non-MSM No Late Dx",2013,"Base Case","Undiagnosed Cases",351.1,353.3,357.5
"non-MSM No Late Dx",2013,"Base Case","True Prevalence",1584.1,1586.3,1590.5
"non-MSM No Late Dx",2013,"Base Case","Undiagnosed Fraction (%)",22.2,22.3,22.5
"non-MSM No Late Dx",2013,"Upper Bound","Undiagnosed Cases",691.5,693.4,697.1
"non-MSM No Late Dx",2013,"Upper Bound","True Prevalence",1924.5,1926.4,1930.1
"non-MSM No Late Dx",2013,"Upper Bound","Undiagnosed Fraction (%)",35.9,36,36.1
"non-MSM No Late Dx",2014,"PLWHA","PLWHA",NA,1235,NA
"non-MSM No Late Dx",2014,"Base Case","Undiagnosed Cases",354.1,355.6,358.4
"non-MSM No Late Dx",2014,"Base Case","True Prevalence",1589.1,1590.6,1593.4
"non-MSM No Late Dx",2014,"Base Case","Undiagnosed Fraction (%)",22.3,22.4,22.5
"non-MSM No Late Dx",2014,"Upper Bound","Undiagnosed Cases",689.9,692.2,696.2
"non-MSM No Late Dx",2014,"Upper Bound","True Prevalence",1924.9,1927.2,1931.2
"non-MSM No Late Dx",2014,"Upper Bound","Undiagnosed Fraction (%)",35.8,35.9,36.1
"non-MSM No Late Dx",2015,"PLWHA","PLWHA",NA,1294,NA
"non-MSM No Late Dx",2015,NA,NA,NA,NA,NA
"non-MSM No Late Dx",2015,NA,"True Prevalence",NA,NA,NA
"non-MSM No Late Dx",2015,NA,"Undiagnosed Fraction (%)",NA,NA,NA
"MSM Late Dx",2010,"PLWHA","PLWHA",NA,4871,NA
"MSM Late Dx",2010,"Base Case","Undiagnosed Cases",386.6,391.6,395.2
"MSM Late Dx",2010,"Base Case","True Prevalence",5257.6,5262.6,5266.2
"MSM Late Dx",2010,"Base Case","Undiagnosed Fraction (%)",7.4,7.4,7.5
"MSM Late Dx",2010,"Upper Bound","Undiagnosed Cases",701.9,717.3,731.2
"MSM Late Dx",2010,"Upper Bound","True Prevalence",5572.9,5588.3,5602.2
"MSM Late Dx",2010,"Upper Bound","Undiagnosed Fraction (%)",12.6,12.8,13.1
"MSM Late Dx",2011,"PLWHA","PLWHA",NA,4785,NA
"MSM Late Dx",2011,"Base Case","Undiagnosed Cases",362.5,372.5,379.6
"MSM Late Dx",2011,"Base Case","True Prevalence",5147.5,5157.5,5164.6
"MSM Late Dx",2011,"Base Case","Undiagnosed Fraction (%)",7,7.2,7.4
"MSM Late Dx",2011,"Upper Bound","Undiagnosed Cases",650.8,671.1,688.2
"MSM Late Dx",2011,"Upper Bound","True Prevalence",5435.8,5456.1,5473.2
"MSM Late Dx",2011,"Upper Bound","Undiagnosed Fraction (%)",12,12.3,12.6
"MSM Late Dx",2012,"PLWHA","PLWHA",NA,4785,NA
"MSM Late Dx",2012,"Base Case","Undiagnosed Cases",322.9,333.7,349.9
"MSM Late Dx",2012,"Base Case","True Prevalence",5107.9,5118.7,5134.9
"MSM Late Dx",2012,"Base Case","Undiagnosed Fraction (%)",6.3,6.5,6.8
"MSM Late Dx",2012,"Upper Bound","Undiagnosed Cases",592.4,609.1,632.1
