"time","group","var","MSM","non-MSM","value"
2005,"Diagnoses and Incidence","# Diagnosed",92,61,153
2005.25,"Diagnoses and Incidence","# Diagnosed",91,35,126
2005.5,"Diagnoses and Incidence","# Diagnosed",81,50,131
2005.75,"Diagnoses and Incidence","# Diagnosed",93,50,143
2006,"Diagnoses and Incidence","# Diagnosed",90,39,129
2006.25,"Diagnoses and Incidence","# Diagnosed",102,50,152
2006.5,"Diagnoses and Incidence","# Diagnosed",81,39,120
2006.75,"Diagnoses and Incidence","# Diagnosed",83,49,132
2007,"Diagnoses and Incidence","# Diagnosed",101,61,162
2007.25,"Diagnoses and Incidence","# Diagnosed",108,40,148
2007.5,"Diagnoses and Incidence","# Diagnosed",95,54,149
2007.75,"Diagnoses and Incidence","# Diagnosed",77,40,117
2008,"Diagnoses and Incidence","# Diagnosed",75,46,121
2008.25,"Diagnoses and Incidence","# Diagnosed",104,59,163
2008.5,"Diagnoses and Incidence","# Diagnosed",72,55,127
2008.75,"Diagnoses and Incidence","# Diagnosed",82,40,122
2009,"Diagnoses and Incidence","# Diagnosed",94,46,140
2009.25,"Diagnoses and Incidence","# Diagnosed",96,45,141
2009.5,"Diagnoses and Incidence","# Diagnosed",84,38,122
2009.75,"Diagnoses and Incidence","# Diagnosed",87,47,134
2010,"Diagnoses and Incidence","# Diagnosed",103,55,158
2010.25,"Diagnoses and Incidence","# Diagnosed",99,29,128
2010.5,"Diagnoses and Incidence","# Diagnosed",91,45,136
2010.75,"Diagnoses and Incidence","# Diagnosed",88,35,123
2011,"Diagnoses and Incidence","# Diagnosed",94,43,137
2011.25,"Diagnoses and Incidence","# Diagnosed",87,25,112
2011.5,"Diagnoses and Incidence","# Diagnosed",73,35,108
2011.75,"Diagnoses and Incidence","# Diagnosed",89,42,131
2012,"Diagnoses and Incidence","# Diagnosed",85,51,136
2012.25,"Diagnoses and Incidence","# Diagnosed",94,44,138
2012.5,"Diagnoses and Incidence","# Diagnosed",77,39,116
2012.75,"Diagnoses and Incidence","# Diagnosed",65,43,108
2013,"Diagnoses and Incidence","# Diagnosed",85,38,123
2013.25,"Diagnoses and Incidence","# Diagnosed",73,42,115
2013.5,"Diagnoses and Incidence","# Diagnosed",68,35,103
2013.75,"Diagnoses and Incidence","# Diagnosed",73,33,106
2014,"Diagnoses and Incidence","# Diagnosed",58,40,98
2014.25,"Diagnoses and Incidence","# Diagnosed",81,39,120
2014.5,"Diagnoses and Incidence","# Diagnosed",83,48,131
2014.75,"Diagnoses and Incidence","# Diagnosed",55,35,90
2005,"Diagnoses and Incidence","Base Case",90.3917328786319,46.1040082937561,136.495741172388
2005.25,"Diagnoses and Incidence","Base Case",90.3403310327734,45.774132196051,136.114463228824
2005.5,"Diagnoses and Incidence","Base Case",90.3359328824164,45.5878671396005,135.923800022017
2005.75,"Diagnoses and Incidence","Base Case",90.4404609231315,45.3985656966556,135.839026619787
2006,"Diagnoses and Incidence","Base Case",90.4663969117763,45.1941184715364,135.660515383313
2006.25,"Diagnoses and Incidence","Base Case",90.4308568849503,45.0848631744519,135.515720059402
2006.5,"Diagnoses and Incidence","Base Case",90.2581460444768,44.912927959783,135.17107400426
2006.75,"Diagnoses and Incidence","Base Case",90.2261204758244,44.7549801692806,134.981100645105
2007,"Diagnoses and Incidence","Base Case",90.1641736044071,44.4385923215745,134.602765925982
2007.25,"Diagnoses and Incidence","Base Case",89.8007429590663,43.9701943934047,133.770937352471
2007.5,"Diagnoses and Incidence","Base Case",89.1823666851005,43.5091973650147,132.691564050115
2007.75,"Diagnoses and Incidence","Base Case",88.6295304525767,42.9644493124072,131.593979764984
2008,"Diagnoses and Incidence","Base Case",88.3895641885569,42.404946966122,130.794511154679
2008.25,"Diagnoses and Incidence","Base Case",88.3382369822371,41.7370480537304,130.075285035967
2008.5,"Diagnoses and Incidence","Base Case",88.1561664700555,40.8537955272618,129.009961997317
2008.75,"Diagnoses and Incidence","Base Case",88.2581243662718,39.9401359250035,128.198260291275
2009,"Diagnoses and Incidence","Base Case",88.3679208620511,39.1212291487915,127.489150010843
2009.25,"Diagnoses and Incidence","Base Case",88.2910402264835,38.3585802357374,126.649620462221
2009.5,"Diagnoses and Incidence","Base Case",88.0542111452338,37.6389231845194,125.693134329753
2009.75,"Diagnoses and Incidence","Base Case",87.7866953819685,37.0159002502617,124.80259563223
2010,"Diagnoses and Incidence","Base Case",87.3359481338392,36.387472495863,123.723420629702
2010.25,"Diagnoses and Incidence","Base Case",86.4954238248107,35.7945550587588,122.289978883569
2010.5,"Diagnoses and Incidence","Base Case",85.4031649747721,35.4633223968144,120.866487371587
2010.75,"Diagnoses and Incidence","Base Case",84.2038586964071,35.2273553002285,119.431213996636
2011,"Diagnoses and Incidence","Base Case",82.9253546562816,35.1663081964306,118.091662852712
2011.25,"Diagnoses and Incidence","Base Case",81.5206691530934,35.230383277825,116.751052430918
2011.5,"Diagnoses and Incidence","Base Case",80.1522351242192,35.5022225402258,115.654457664445
2011.75,"Diagnoses and Incidence","Base Case",78.9241031247065,35.7590619303832,114.68316505509
2012,"Diagnoses and Incidence","Base Case",77.54841165382,35.8762833239331,113.424694977753
2012.25,"Diagnoses and Incidence","Base Case",76.0802464801999,35.813689993035,111.893936473235
2012.5,"Diagnoses and Incidence","Base Case",74.4895734400928,35.7159432175468,110.20551665764
2012.75,"Diagnoses and Incidence","Base Case",73.1140557771962,35.6399895757254,108.754045352922
2013,"Diagnoses and Incidence","Base Case",72.0220761235646,35.5509608051799,107.573036928744
2013.25,"Diagnoses and Incidence","Base Case",70.908839490115,35.5238449043021,106.432684394417
2013.5,"Diagnoses and Incidence","Base Case",70.0150331644886,35.523071110077,105.538104274566
2013.75,"Diagnoses and Incidence","Base Case",69.3771586484661,35.6279888487955,105.005147497262
2014,"Diagnoses and Incidence","Base Case",68.9121513829759,35.7816127332736,104.69376411625
2014.25,"Diagnoses and Incidence","Base Case",68.7179034357179,35.878895211096,104.596798646814
2014.5,"Diagnoses and Incidence","Base Case",68.3635475113907,35.9167725862178,104.280320097609
2014.75,"Diagnoses and Incidence","Base Case",67.9859290351248,35.8559297985086,103.841858833633
2005,"Undiagnosed Cases","Base Case",715.840671236346,877.902777642313,1593.74344887866
2005.25,"Undiagnosed Cases","Base Case",713.831192271938,874.361740901316,1588.19293317325
2005.5,"Undiagnosed Cases","Base Case",716.198610334601,877.47685933395,1593.67546966855
2005.75,"Undiagnosed Cases","Base Case",721.060112445106,873.012534972083,1594.07264741719
2006,"Undiagnosed Cases","Base Case",721.138293371768,872.845855150152,1593.98414852192
2006.25,"Undiagnosed Cases","Base Case",718.049537649992,873.995537788492,1592.04507543848
2006.5,"Undiagnosed Cases","Base Case",714.267634114942,874.282491743933,1588.55012585887
2006.75,"Undiagnosed Cases","Base Case",723.033245125354,876.455350517152,1599.48859564251
2007,"Undiagnosed Cases","Base Case",726.633575232439,867.244674330655,1593.87824956309
2007.25,"Undiagnosed Cases","Base Case",716.512759108054,860.649533960704,1577.16229306876
2007.5,"Undiagnosed Cases","Base Case",703.02575558051,857.887286909888,1560.9130424904
2007.75,"Undiagnosed Cases","Base Case",700.109058562867,853.978314498076,1554.08737306094
2008,"Undiagnosed Cases","Base Case",709.163565493505,854.302385989395,1563.4659514829
2008.25,"Undiagnosed Cases","Base Case",710.311415181522,845.33691107728,1555.6483262588
2008.5,"Undiagnosed Cases","Base Case",705.459544615752,829.439016548632,1534.89856116438
2008.75,"Undiagnosed Cases","Base Case",716.579040896952,821.122150030849,1537.7011909278
2009,"Undiagnosed Cases","Base Case",720.245959056931,816.803104690704,1537.04906374764
2009.25,"Undiagnosed Cases","Base Case",716.361165376178,809.33178058891,1525.69294596509
2009.5,"Undiagnosed Cases","Base Case",714.955581755959,804.743195827162,1519.69877758312
2009.75,"Undiagnosed Cases","Base Case",720.459130321537,799.299053554339,1519.75818387588
2010,"Undiagnosed Cases","Base Case",719.603191071281,784.428057582845,1504.03124865413
2010.25,"Undiagnosed Cases","Base Case",709.453215452253,776.349205696131,1485.80242114838
2010.5,"Undiagnosed Cases","Base Case",701.684660686986,774.136820801928,1475.82148148891
2010.75,"Undiagnosed Cases","Base Case",697.722126860503,768.131770857761,1465.85389771826
2011,"Undiagnosed Cases","Base Case",691.740076497984,763.418058030607,1455.15813452859
2011.25,"Undiagnosed Cases","Base Case",682.169579168313,763.184521607502,1445.35410077582
2011.5,"Undiagnosed Cases","Base Case",680.072605406942,768.793258924211,1448.86586433115
2011.75,"Undiagnosed Cases","Base Case",680.325806262671,767.050857229924,1447.3766634926
2012,"Undiagnosed Cases","Base Case",672.308364023613,757.717376810693,1430.02574083431
2012.25,"Undiagnosed Cases","Base Case",660.752612634285,746.282883377889,1407.03549601217
2012.5,"Undiagnosed Cases","Base Case",646.536750530441,740.343177587469,1386.87992811791
2012.75,"Undiagnosed Cases","Base Case",644.504622781477,735.076392082466,1379.58101486394
2013,"Undiagnosed Cases","Base Case",641.832834188752,729.687166012885,1371.52000020164
2013.25,"Undiagnosed Cases","Base Case",630.629714973815,725.023882117269,1355.65359709108
2013.5,"Undiagnosed Cases","Base Case",626.560890592445,721.296079903684,1347.85697049613
2013.75,"Undiagnosed Cases","Base Case",623.03940318566,722.57703172319,1345.61643490885
2014,"Undiagnosed Cases","Base Case",622.719801242138,722.261864696908,1344.98166593905
2014.25,"Undiagnosed Cases","Base Case",624.138130426661,719.06705752044,1343.2051879471
2014.5,"Undiagnosed Cases","Base Case",610.819716511001,712.192988036846,1323.01270454785
2014.75,"Undiagnosed Cases","Base Case",604.671085820234,706.11261081409,1310.78369663432
2005,"Diagnoses and Incidence","Upper Bound",89.9432124193567,41.5815147461232,131.52472716548
2005.25,"Diagnoses and Incidence","Upper Bound",89.886045065143,41.2982416299619,131.184286695105
2005.5,"Diagnoses and Incidence","Upper Bound",89.8638773866549,41.008081579557,130.871958966212
2005.75,"Diagnoses and Incidence","Upper Bound",89.8108688382258,40.726709664175,130.537578502401
2006,"Diagnoses and Incidence","Upper Bound",89.7264489681691,40.4662919438004,130.19274091197
2006.25,"Diagnoses and Incidence","Upper Bound",89.5987627116959,40.194545065782,129.793307777478
2006.5,"Diagnoses and Incidence","Upper Bound",89.4458236327036,39.8651711769271,129.310994809631
2006.75,"Diagnoses and Incidence","Upper Bound",89.2634895039288,39.5221274518249,128.785616955754
2007,"Diagnoses and Incidence","Upper Bound",88.9593745473979,39.1214102757992,128.080784823197
2007.25,"Diagnoses and Incidence","Upper Bound",88.5191246660452,38.7122619236458,127.231386589691
2007.5,"Diagnoses and Incidence","Upper Bound",88.0267058463987,38.2708797929567,126.297585639355
2007.75,"Diagnoses and Incidence","Upper Bound",87.6218548839916,37.7720410941302,125.393895978122
2008,"Diagnoses and Incidence","Upper Bound",87.3811148644573,37.2394229881173,124.620537852575
2008.25,"Diagnoses and Incidence","Upper Bound",87.1527809986318,36.6722373120102,123.825018310642
2008.5,"Diagnoses and Incidence","Upper Bound",86.9367293757615,36.0634263005963,123.000155676358
2008.75,"Diagnoses and Incidence","Upper Bound",86.7557229893171,35.4891156223844,122.244838611702
2009,"Diagnoses and Incidence","Upper Bound",86.4842511114371,34.963187432051,121.447438543488
2009.25,"Diagnoses and Incidence","Upper Bound",86.0850857138192,34.4832156251904,120.56830133901
2009.5,"Diagnoses and Incidence","Upper Bound",85.5516751707403,34.050914019089,119.602589189829
2009.75,"Diagnoses and Incidence","Upper Bound",84.8769254597347,33.6887388740292,118.565664333764
2010,"Diagnoses and Incidence","Upper Bound",83.9784071266338,33.3448438984849,117.323251025119
2010.25,"Diagnoses and Incidence","Upper Bound",82.8522848853982,33.085638274019,115.937923159417
2010.5,"Diagnoses and Incidence","Upper Bound",81.5930969726842,32.918619278095,114.511716250779
2010.75,"Diagnoses and Incidence","Upper Bound",80.2567902327224,32.8433467604271,113.100136993149
2011,"Diagnoses and Incidence","Upper Bound",78.8635590906677,32.8234676590264,111.687026749694
2011.25,"Diagnoses and Incidence","Upper Bound",77.4658483815612,32.8522299518407,110.318078333402
2011.5,"Diagnoses and Incidence","Upper Bound",76.1253960915813,32.8948607640775,109.020256855659
2011.75,"Diagnoses and Incidence","Upper Bound",74.7754209748886,32.9095417332187,107.684962708107
2012,"Diagnoses and Incidence","Upper Bound",73.3794475807486,32.8789624834678,106.258410064216
2012.25,"Diagnoses and Incidence","Upper Bound",71.9764581190459,32.8103139917417,104.786772110788
2012.5,"Diagnoses and Incidence","Upper Bound",70.6566709518125,32.7499900832825,103.406661035095
2012.75,"Diagnoses and Incidence","Upper Bound",69.5382655125797,32.6973336922623,102.235599204842
2013,"Diagnoses and Incidence","Upper Bound",68.5553395735452,32.673955048937,101.229294622482
2013.25,"Diagnoses and Incidence","Upper Bound",67.7051127987674,32.6827662718899,100.387879070657
2013.5,"Diagnoses and Incidence","Upper Bound",67.0683877149306,32.7114844086019,99.7798721235325
2013.75,"Diagnoses and Incidence","Upper Bound",66.5918111570108,32.7614576003299,99.3532687573408
2014,"Diagnoses and Incidence","Upper Bound",66.2751906813605,32.7953823098825,99.070572991243
2014.25,"Diagnoses and Incidence","Upper Bound",66.0428302051639,32.81801116927,98.8608413744339
2014.5,"Diagnoses and Incidence","Upper Bound",65.7935339346237,32.8127655212986,98.6062994559223
2014.75,"Diagnoses and Incidence","Upper Bound",65.6747068483617,32.8003419238423,98.4750487722039
2005,"Undiagnosed Cases","Upper Bound",1420.74827344724,1667.40999981436,3088.1582732616
2005.25,"Undiagnosed Cases","Upper Bound",1418.50399271169,1660.7643518039,3079.26834451558
2005.5,"Undiagnosed Cases","Upper Bound",1422.92104188421,1659.19962205177,3082.12066393598
2005.75,"Undiagnosed Cases","Upper Bound",1426.29502525115,1649.75495727588,3076.04998252703
2006,"Undiagnosed Cases","Upper Bound",1425.29682911706,1645.81227087485,3071.10909999191
2006.25,"Undiagnosed Cases","Upper Bound",1419.34708900803,1641.96944530287,3061.3165343109
2006.5,"Undiagnosed Cases","Upper Bound",1417.81777844376,1637.44302545527,3055.26080389903
2006.75,"Undiagnosed Cases","Upper Bound",1427.25441216006,1633.42047584115,3060.6748880012
2007,"Undiagnosed Cases","Upper Bound",1426.6349448893,1617.60735071502,3044.24229560433
2007.25,"Undiagnosed Cases","Upper Bound",1411.57678756017,1606.06871749692,3017.64550505709
2007.5,"Undiagnosed Cases","Upper Bound",1396.56102999955,1597.77894802748,2994.33997802703
2007.75,"Undiagnosed Cases","Upper Bound",1395.30619535436,1588.80577914211,2984.11197449646
2008,"Undiagnosed Cases","Upper Bound",1406.46975760411,1583.30230005452,2989.77205765863
2008.25,"Undiagnosed Cases","Upper Bound",1403.90775346232,1567.77951971229,2971.68727317461
2008.5,"Undiagnosed Cases","Upper Bound",1402.23448000076,1546.59383224257,2948.82831224333
2008.75,"Undiagnosed Cases","Upper Bound",1413.55924093435,1534.23929761082,2947.79853854517
2009,"Undiagnosed Cases","Upper Bound",1414.25157370032,1525.88091616834,2940.13248986866
2009.25,"Undiagnosed Cases","Upper Bound",1407.6473856021,1514.53518634205,2922.18257194414
2009.5,"Undiagnosed Cases","Upper Bound",1405.61687875987,1506.6083725451,2912.22525130496
2009.75,"Undiagnosed Cases","Upper Bound",1408.79184219826,1497.67381224908,2906.46565444734
2010,"Undiagnosed Cases","Upper Bound",1401.5925227994,1479.45376039094,2881.04628319034
2010.25,"Undiagnosed Cases","Upper Bound",1385.64932008566,1469.92930521725,2855.57862530291
2010.5,"Undiagnosed Cases","Upper Bound",1373.50047838874,1465.2438275058,2838.74430589454
2010.75,"Undiagnosed Cases","Upper Bound",1365.1705996114,1457.7232653588,2822.89386497019
2011,"Undiagnosed Cases","Upper Bound",1353.10446018842,1451.22738447544,2804.33184466386
2011.25,"Undiagnosed Cases","Upper Bound",1339.18287323783,1449.98847259331,2789.17134583114
2011.5,"Undiagnosed Cases","Upper Bound",1335.45295065384,1453.06720690268,2788.52015755652
2011.75,"Undiagnosed Cases","Upper Bound",1329.91599302022,1447.77465033593,2777.69064335615
2012,"Undiagnosed Cases","Upper Bound",1316.39814578455,1434.40396083048,2750.80210661503
2012.25,"Undiagnosed Cases","Upper Bound",1297.67665032219,1419.65966850207,2717.33631882426
2012.5,"Undiagnosed Cases","Upper Bound",1279.98732609346,1410.85946230765,2690.84678840111
2012.75,"Undiagnosed Cases","Upper Bound",1276.64120061021,1402.36536474337,2679.00656535357
2013,"Undiagnosed Cases","Upper Bound",1268.37692090445,1394.32899726749,2662.70591817194
2013.25,"Undiagnosed Cases","Upper Bound",1254.19085337244,1386.88167349988,2641.07252687232
2013.5,"Undiagnosed Cases","Upper Bound",1248.6109241936,1380.95413315416,2629.56505734776
2013.75,"Undiagnosed Cases","Upper Bound",1242.57226164814,1379.82077646264,2622.39303811078
2014,"Undiagnosed Cases","Upper Bound",1242.23047678852,1376.19027587093,2618.42075265945
2014.25,"Undiagnosed Cases","Upper Bound",1238.99691755742,1369.69126378062,2608.68818133804
2014.5,"Undiagnosed Cases","Upper Bound",1221.07359179572,1359.05114833663,2580.12474013235
2014.75,"Undiagnosed Cases","Upper Bound",1216.18749473957,1350.26999524037,2566.45748997994
