"Subgroup","Year","Diagnoses/Case","Estimate","Min.","Mean","Max."
"MSM",2010,"PLWHA","PLWHA",NA,8214,NA
"MSM",2010,"Base Case","Undiagnosed Cases",697.7,707.1,719.6
"MSM",2010,"Base Case","True Prevalence",8911.7,8921.1,8933.6
"MSM",2010,"Base Case","Undiagnosed Fraction (%)",7.8,7.9,8.1
"MSM",2010,"Upper Bound","Undiagnosed Cases",1365,1381,1402
"MSM",2010,"Upper Bound","True Prevalence",9579,9595,9616
"MSM",2010,"Upper Bound","Undiagnosed Fraction (%)",14.2,14.4,14.6
"MSM",2011,"PLWHA","PLWHA",NA,8330,NA
"MSM",2011,"Base Case","Undiagnosed Cases",680.1,683.6,691.7
"MSM",2011,"Base Case","True Prevalence",9010.1,9013.6,9021.7
"MSM",2011,"Base Case","Undiagnosed Fraction (%)",7.5,7.6,7.7
"MSM",2011,"Upper Bound","Undiagnosed Cases",1330,1339,1353
"MSM",2011,"Upper Bound","True Prevalence",9660,9669,9683
"MSM",2011,"Upper Bound","Undiagnosed Fraction (%)",13.8,13.8,14
"MSM",2012,"PLWHA","PLWHA",NA,8461,NA
"MSM",2012,"Base Case","Undiagnosed Cases",644.5,656,672.3
"MSM",2012,"Base Case","True Prevalence",9105.5,9117,9133.3
"MSM",2012,"Base Case","Undiagnosed Fraction (%)",7.1,7.2,7.4
"MSM",2012,"Upper Bound","Undiagnosed Cases",1277,1293,1316
"MSM",2012,"Upper Bound","True Prevalence",9738,9754,9777
"MSM",2012,"Upper Bound","Undiagnosed Fraction (%)",13.1,13.3,13.5
"MSM",2013,"PLWHA","PLWHA",NA,8740,NA
"MSM",2013,"Base Case","Undiagnosed Cases",623,630.5,641.8
"MSM",2013,"Base Case","True Prevalence",9363,9370.5,9381.8
"MSM",2013,"Base Case","Undiagnosed Fraction (%)",6.7,6.7,6.8
"MSM",2013,"Upper Bound","Undiagnosed Cases",1243,1253,1268
"MSM",2013,"Upper Bound","True Prevalence",9983,9993,10008
"MSM",2013,"Upper Bound","Undiagnosed Fraction (%)",12.5,12.5,12.7
"MSM",2014,"PLWHA","PLWHA",NA,8803,NA
"MSM",2014,"Base Case","Undiagnosed Cases",604.7,615.6,624.1
"MSM",2014,"Base Case","True Prevalence",9407.7,9418.6,9427.1
"MSM",2014,"Base Case","Undiagnosed Fraction (%)",6.4,6.5,6.6
"MSM",2014,"Upper Bound","Undiagnosed Cases",1216,1230,1242
"MSM",2014,"Upper Bound","True Prevalence",10019,10033,10045
"MSM",2014,"Upper Bound","Undiagnosed Fraction (%)",12.1,12.3,12.4
"MSM",2015,"PLWHA","PLWHA",NA,9071,NA
"MSM",2015,NA,NA,NA,NA,NA
"MSM",2015,NA,"True Prevalence",NA,NA,NA
"MSM",2015,NA,"Undiagnosed Fraction (%)",NA,NA,NA
