"time","group","var","MSM Inside KC","non-MSM Inside KC","non-MSM Outside KC","MSM Outside KC","value"
2005,"Diagnoses and Incidence","# Diagnosed",58,28,33,34,153
2005.25,"Diagnoses and Incidence","# Diagnosed",52,18,17,39,126
2005.5,"Diagnoses and Incidence","# Diagnosed",49,19,31,32,131
2005.75,"Diagnoses and Incidence","# Diagnosed",60,28,22,33,143
2006,"Diagnoses and Incidence","# Diagnosed",55,19,20,35,129
2006.25,"Diagnoses and Incidence","# Diagnosed",62,27,23,40,152
2006.5,"Diagnoses and Incidence","# Diagnosed",53,15,24,28,120
2006.75,"Diagnoses and Incidence","# Diagnosed",50,18,31,33,132
2007,"Diagnoses and Incidence","# Diagnosed",59,25,36,42,162
2007.25,"Diagnoses and Incidence","# Diagnosed",66,18,22,42,148
2007.5,"Diagnoses and Incidence","# Diagnosed",60,22,32,35,149
2007.75,"Diagnoses and Incidence","# Diagnosed",45,19,21,32,117
2008,"Diagnoses and Incidence","# Diagnosed",51,23,23,24,121
2008.25,"Diagnoses and Incidence","# Diagnosed",56,33,26,48,163
2008.5,"Diagnoses and Incidence","# Diagnosed",46,27,28,26,127
2008.75,"Diagnoses and Incidence","# Diagnosed",57,18,22,25,122
2009,"Diagnoses and Incidence","# Diagnosed",45,18,28,49,140
2009.25,"Diagnoses and Incidence","# Diagnosed",62,14,31,34,141
2009.5,"Diagnoses and Incidence","# Diagnosed",55,15,23,29,122
2009.75,"Diagnoses and Incidence","# Diagnosed",61,28,19,26,134
2010,"Diagnoses and Incidence","# Diagnosed",70,21,34,33,158
2010.25,"Diagnoses and Incidence","# Diagnosed",68,13,16,31,128
2010.5,"Diagnoses and Incidence","# Diagnosed",60,16,29,31,136
2010.75,"Diagnoses and Incidence","# Diagnosed",58,14,21,30,123
2011,"Diagnoses and Incidence","# Diagnosed",49,20,23,45,137
2011.25,"Diagnoses and Incidence","# Diagnosed",56,12,13,31,112
2011.5,"Diagnoses and Incidence","# Diagnosed",48,16,19,25,108
2011.75,"Diagnoses and Incidence","# Diagnosed",52,13,29,37,131
2012,"Diagnoses and Incidence","# Diagnosed",52,23,28,33,136
2012.25,"Diagnoses and Incidence","# Diagnosed",54,21,23,40,138
2012.5,"Diagnoses and Incidence","# Diagnosed",49,20,19,28,116
2012.75,"Diagnoses and Incidence","# Diagnosed",43,19,24,22,108
2013,"Diagnoses and Incidence","# Diagnosed",52,21,17,33,123
2013.25,"Diagnoses and Incidence","# Diagnosed",44,21,21,29,115
2013.5,"Diagnoses and Incidence","# Diagnosed",40,17,18,28,103
2013.75,"Diagnoses and Incidence","# Diagnosed",42,12,21,31,106
2014,"Diagnoses and Incidence","# Diagnosed",33,22,18,25,98
2014.25,"Diagnoses and Incidence","# Diagnosed",59,19,20,22,120
2014.5,"Diagnoses and Incidence","# Diagnosed",61,27,21,22,131
2014.75,"Diagnoses and Incidence","# Diagnosed",33,17,18,22,90
2015,"Diagnoses and Incidence","# Diagnosed",38,25,16,19,98
2015.25,"Diagnoses and Incidence","# Diagnosed",39,15,15,35,104
2015.5,"Diagnoses and Incidence","# Diagnosed",46,11,27,43,127
2015.75,"Diagnoses and Incidence","# Diagnosed",37,22,25,34,118
2005,"Diagnoses and Incidence","Base Case",55.3814301878578,20.8944254218318,25.3673728036772,34.9919710054584,136.635199418825
2005.25,"Diagnoses and Incidence","Base Case",55.36524516175,20.6090597543378,25.2542136551104,34.9539746788408,136.182493250039
2005.5,"Diagnoses and Incidence","Base Case",55.4998815460087,20.4234780691099,25.3289742747949,34.8715872285422,136.123921118456
2005.75,"Diagnoses and Incidence","Base Case",55.7419745932085,20.2421501771975,25.3424354170191,34.8859321179999,136.212492305425
2006,"Diagnoses and Incidence","Base Case",55.8192633823871,19.9497261366296,25.5145883428805,34.9331895483345,136.216767410232
2006.25,"Diagnoses and Incidence","Base Case",55.8428445961427,19.7935551490291,25.7587455804219,34.9368982980021,136.332043623596
2006.5,"Diagnoses and Incidence","Base Case",55.7194742362545,19.5871208287843,25.9605294821623,34.8519140417591,136.11903858896
2006.75,"Diagnoses and Incidence","Base Case",55.7038152780009,19.5571612634907,26.1015556505012,34.9120071849065,136.274539376899
2007,"Diagnoses and Incidence","Base Case",55.7524155799164,19.4979333946296,25.9181520669094,34.8331192972654,136.001620338721
2007.25,"Diagnoses and Incidence","Base Case",55.5869708358606,19.4051782507584,25.532570120084,34.4290600593981,134.953779266101
2007.5,"Diagnoses and Incidence","Base Case",55.1570091170455,19.2813447267058,25.1829401489366,33.8588572718989,133.480151264587
2007.75,"Diagnoses and Incidence","Base Case",54.7807280888906,19.0776084380399,24.7679350070737,33.3785817534952,132.004853287499
