"Subgroup","Year","Diagnoses/Case","Estimate","Min.","Mean","Max."
"MSM",2010,"PLWHA","PLWHA",NA,4871,NA
"MSM",2010,"Base Case","Undiagnosed Cases",376.6,386.5,397.7
"MSM",2010,"Base Case","True Prevalence",5247.6,5257.5,5268.7
"MSM",2010,"Base Case","Undiagnosed Fraction (%)",7.2,7.4,7.5
"MSM",2010,"Upper Bound","Undiagnosed Cases",736.2,751.2,768.7
"MSM",2010,"Upper Bound","True Prevalence",5607.2,5622.2,5639.7
"MSM",2010,"Upper Bound","Undiagnosed Fraction (%)",13.1,13.4,13.6
"MSM",2011,"PLWHA","PLWHA",NA,4785,NA
"MSM",2011,"Base Case","Undiagnosed Cases",368.1,370.8,373.7
"MSM",2011,"Base Case","True Prevalence",5153.1,5155.8,5158.7
"MSM",2011,"Base Case","Undiagnosed Fraction (%)",7.1,7.2,7.2
"MSM",2011,"Upper Bound","Undiagnosed Cases",719.1,725.1,731.7
"MSM",2011,"Upper Bound","True Prevalence",5504.1,5510.1,5516.7
"MSM",2011,"Upper Bound","Undiagnosed Fraction (%)",13.1,13.2,13.3
"MSM",2012,"PLWHA","PLWHA",NA,4785,NA
"MSM",2012,"Base Case","Undiagnosed Cases",349.4,356.4,364.6
"MSM",2012,"Base Case","True Prevalence",5134.4,5141.4,5149.6
"MSM",2012,"Base Case","Undiagnosed Fraction (%)",6.8,6.9,7.1
"MSM",2012,"Upper Bound","Undiagnosed Cases",688.8,699.4,712.4
"MSM",2012,"Upper Bound","True Prevalence",5473.8,5484.4,5497.4
"MSM",2012,"Upper Bound","Undiagnosed Fraction (%)",12.6,12.8,13
"MSM",2013,"PLWHA","PLWHA",NA,4887,NA
"MSM",2013,"Base Case","Undiagnosed Cases",336.6,339.6,346.1
"MSM",2013,"Base Case","True Prevalence",5223.6,5226.6,5233.1
"MSM",2013,"Base Case","Undiagnosed Fraction (%)",6.4,6.5,6.6
"MSM",2013,"Upper Bound","Undiagnosed Cases",668,672.9,681.6
"MSM",2013,"Upper Bound","True Prevalence",5555,5559.9,5568.6
"MSM",2013,"Upper Bound","Undiagnosed Fraction (%)",12,12.1,12.2
"MSM",2014,"PLWHA","PLWHA",NA,4968,NA
"MSM",2014,"Base Case","Undiagnosed Cases",315,330.7,341.8
"MSM",2014,"Base Case","True Prevalence",5283,5298.7,5309.8
"MSM",2014,"Base Case","Undiagnosed Fraction (%)",6,6.2,6.4
"MSM",2014,"Upper Bound","Undiagnosed Cases",633.2,653.9,671.3
"MSM",2014,"Upper Bound","True Prevalence",5601.2,5621.9,5639.3
"MSM",2014,"Upper Bound","Undiagnosed Fraction (%)",11.3,11.6,11.9
"MSM",2015,"PLWHA","PLWHA",NA,5041,NA
"MSM",2015,"Base Case","Undiagnosed Cases",310.5,314.8,317.1
"MSM",2015,"Base Case","True Prevalence",5351.5,5355.8,5358.1
"MSM",2015,"Base Case","Undiagnosed Fraction (%)",5.8,5.9,5.9
"MSM",2015,"Upper Bound","Undiagnosed Cases",622.5,629.2,634.2
"MSM",2015,"Upper Bound","True Prevalence",5663.5,5670.2,5675.2
"MSM",2015,"Upper Bound","Undiagnosed Fraction (%)",11,11.1,11.2
"non-MSM",2010,"PLWHA","PLWHA",NA,1583,NA
"non-MSM",2010,"Base Case","Undiagnosed Cases",350.1,352.3,355.9
"non-MSM",2010,"Base Case","True Prevalence",1933.1,1935.3,1938.9
"non-MSM",2010,"Base Case","Undiagnosed Fraction (%)",18.1,18.2,18.4
"non-MSM",2010,"Upper Bound","Undiagnosed Cases",681.4,682.3,684.6
"non-MSM",2010,"Upper Bound","True Prevalence",2264.4,2265.3,2267.6
"non-MSM",2010,"Upper Bound","Undiagnosed Fraction (%)",30.1,30.1,30.2
"non-MSM",2011,"PLWHA","PLWHA",NA,1551,NA
"non-MSM",2011,"Base Case","Undiagnosed Cases",346.6,348.7,351.6
"non-MSM",2011,"Base Case","True Prevalence",1897.6,1899.7,1902.6
"non-MSM",2011,"Base Case","Undiagnosed Fraction (%)",18.3,18.4,18.5
"non-MSM",2011,"Upper Bound","Undiagnosed Cases",679.2,680.9,683.5
"non-MSM",2011,"Upper Bound","True Prevalence",2230.2,2231.9,2234.5
"non-MSM",2011,"Upper Bound","Undiagnosed Fraction (%)",30.5,30.5,30.6
"non-MSM",2012,"PLWHA","PLWHA",NA,1548,NA
"non-MSM",2012,"Base Case","Undiagnosed Cases",346.8,348.8,352.2
"non-MSM",2012,"Base Case","True Prevalence",1894.8,1896.8,1900.2
"non-MSM",2012,"Base Case","Undiagnosed Fraction (%)",18.3,18.4,18.5
"non-MSM",2012,"Upper Bound","Undiagnosed Cases",671.3,676.2,682.3
"non-MSM",2012,"Upper Bound","True Prevalence",2219.3,2224.2,2230.3
"non-MSM",2012,"Upper Bound","Undiagnosed Fraction (%)",30.2,30.4,30.6
"non-MSM",2013,"PLWHA","PLWHA",NA,1564,NA
"non-MSM",2013,"Base Case","Undiagnosed Cases",343.2,345.1,347.7
"non-MSM",2013,"Base Case","True Prevalence",1907.2,1909.1,1911.7
"non-MSM",2013,"Base Case","Undiagnosed Fraction (%)",18,18.1,18.2
"non-MSM",2013,"Upper Bound","Undiagnosed Cases",662.9,665.5,668.4
"non-MSM",2013,"Upper Bound","True Prevalence",2226.9,2229.5,2232.4
"non-MSM",2013,"Upper Bound","Undiagnosed Fraction (%)",29.8,29.8,29.9
"non-MSM",2014,"PLWHA","PLWHA",NA,1599,NA
"non-MSM",2014,"Base Case","Undiagnosed Cases",343.4,347.8,350.7
"non-MSM",2014,"Base Case","True Prevalence",1942.4,1946.8,1949.7
"non-MSM",2014,"Base Case","Undiagnosed Fraction (%)",17.7,17.9,18
"non-MSM",2014,"Upper Bound","Undiagnosed Cases",652.1,659.8,666.3
"non-MSM",2014,"Upper Bound","True Prevalence",2251.1,2258.8,2265.3
"non-MSM",2014,"Upper Bound","Undiagnosed Fraction (%)",29,29.2,29.4
"non-MSM",2015,"PLWHA","PLWHA",NA,1620,NA
"non-MSM",2015,"Base Case","Undiagnosed Cases",338.2,341.7,344.9
"non-MSM",2015,"Base Case","True Prevalence",1958.2,1961.7,1964.9
"non-MSM",2015,"Base Case","Undiagnosed Fraction (%)",17.3,17.4,17.6
"non-MSM",2015,"Upper Bound","Undiagnosed Cases",644.6,647.4,648.8
"non-MSM",2015,"Upper Bound","True Prevalence",2264.6,2267.4,2268.8
"non-MSM",2015,"Upper Bound","Undiagnosed Fraction (%)",28.5,28.6,28.6
"Total-stratified",2010,"PLWHA","PLWHA",NA,6454,NA
"Total-stratified",2010,"Base Case","Undiagnosed Cases",726.7,738.7,753.6
"Total-stratified",2010,"Base Case","True Prevalence",7180.7,7192.7,7207.6
"Total-stratified",2010,"Base Case","Undiagnosed Fraction (%)",10.1,10.3,10.5
"Total-stratified",2010,"Upper Bound","Undiagnosed Cases",1418,1434,1453
"Total-stratified",2010,"Upper Bound","True Prevalence",7872,7888,7907
"Total-stratified",2010,"Upper Bound","Undiagnosed Fraction (%)",18,18.2,18.4
"Total-stratified",2011,"PLWHA","PLWHA",NA,6336,NA
"Total-stratified",2011,"Base Case","Undiagnosed Cases",717.7,719.4,721.3
"Total-stratified",2011,"Base Case","True Prevalence",7053.7,7055.4,7057.3
"Total-stratified",2011,"Base Case","Undiagnosed Fraction (%)",10.2,10.2,10.2
"Total-stratified",2011,"Upper Bound","Undiagnosed Cases",1403,1406,1411
"Total-stratified",2011,"Upper Bound","True Prevalence",7739,7742,7747
"Total-stratified",2011,"Upper Bound","Undiagnosed Fraction (%)",18.1,18.2,18.2
"Total-stratified",2012,"PLWHA","PLWHA",NA,6333,NA
"Total-stratified",2012,"Base Case","Undiagnosed Cases",696.2,705.2,716.8
"Total-stratified",2012,"Base Case","True Prevalence",7029.2,7038.2,7049.8
"Total-stratified",2012,"Base Case","Undiagnosed Fraction (%)",9.9,10,10.2
"Total-stratified",2012,"Upper Bound","Undiagnosed Cases",1360,1376,1395
"Total-stratified",2012,"Upper Bound","True Prevalence",7693,7709,7728
"Total-stratified",2012,"Upper Bound","Undiagnosed Fraction (%)",17.7,17.8,18.1
"Total-stratified",2013,"PLWHA","PLWHA",NA,6451,NA
"Total-stratified",2013,"Base Case","Undiagnosed Cases",680.1,684.8,691.9
"Total-stratified",2013,"Base Case","True Prevalence",7131.1,7135.8,7142.9
"Total-stratified",2013,"Base Case","Undiagnosed Fraction (%)",9.5,9.6,9.7
"Total-stratified",2013,"Upper Bound","Undiagnosed Cases",1332,1338,1350
"Total-stratified",2013,"Upper Bound","True Prevalence",7783,7789,7801
"Total-stratified",2013,"Upper Bound","Undiagnosed Fraction (%)",17.1,17.2,17.3
"Total-stratified",2014,"PLWHA","PLWHA",NA,6567,NA
"Total-stratified",2014,"Base Case","Undiagnosed Cases",658.4,678.5,691.8
"Total-stratified",2014,"Base Case","True Prevalence",7225.4,7245.5,7258.8
"Total-stratified",2014,"Base Case","Undiagnosed Fraction (%)",9.1,9.4,9.5
"Total-stratified",2014,"Upper Bound","Undiagnosed Cases",1285,1314,1338
"Total-stratified",2014,"Upper Bound","True Prevalence",7852,7881,7905
"Total-stratified",2014,"Upper Bound","Undiagnosed Fraction (%)",16.4,16.7,16.9
"Total-stratified",2015,"PLWHA","PLWHA",NA,6661,NA
"Total-stratified",2015,"Base Case","Undiagnosed Cases",655.3,656.5,657.9
"Total-stratified",2015,"Base Case","True Prevalence",7316.3,7317.5,7318.9
"Total-stratified",2015,"Base Case","Undiagnosed Fraction (%)",9,9,9
"Total-stratified",2015,"Upper Bound","Undiagnosed Cases",1271,1277,1282
"Total-stratified",2015,"Upper Bound","True Prevalence",7932,7938,7943
"Total-stratified",2015,"Upper Bound","Undiagnosed Fraction (%)",16,16.1,16.1
