"time","group","var","MSM","non-MSM","value"
2005,"Diagnoses and Incidence","# Diagnosed",58,28,86
2005.25,"Diagnoses and Incidence","# Diagnosed",54,16,70
2005.5,"Diagnoses and Incidence","# Diagnosed",49,19,68
2005.75,"Diagnoses and Incidence","# Diagnosed",59,28,87
2006,"Diagnoses and Incidence","# Diagnosed",56,19,75
2006.25,"Diagnoses and Incidence","# Diagnosed",61,26,87
2006.5,"Diagnoses and Incidence","# Diagnosed",53,16,69
2006.75,"Diagnoses and Incidence","# Diagnosed",50,18,68
2007,"Diagnoses and Incidence","# Diagnosed",59,24,83
2007.25,"Diagnoses and Incidence","# Diagnosed",66,18,84
2007.5,"Diagnoses and Incidence","# Diagnosed",63,21,84
2007.75,"Diagnoses and Incidence","# Diagnosed",45,18,63
2008,"Diagnoses and Incidence","# Diagnosed",51,23,74
2008.25,"Diagnoses and Incidence","# Diagnosed",58,31,89
2008.5,"Diagnoses and Incidence","# Diagnosed",46,28,74
2008.75,"Diagnoses and Incidence","# Diagnosed",56,18,74
2009,"Diagnoses and Incidence","# Diagnosed",45,18,63
2009.25,"Diagnoses and Incidence","# Diagnosed",62,14,76
2009.5,"Diagnoses and Incidence","# Diagnosed",54,15,69
2009.75,"Diagnoses and Incidence","# Diagnosed",61,29,90
2010,"Diagnoses and Incidence","# Diagnosed",73,19,92
2010.25,"Diagnoses and Incidence","# Diagnosed",68,13,81
2010.5,"Diagnoses and Incidence","# Diagnosed",60,16,76
2010.75,"Diagnoses and Incidence","# Diagnosed",55,14,69
2011,"Diagnoses and Incidence","# Diagnosed",50,20,70
2011.25,"Diagnoses and Incidence","# Diagnosed",56,12,68
2011.5,"Diagnoses and Incidence","# Diagnosed",48,16,64
2011.75,"Diagnoses and Incidence","# Diagnosed",52,13,65
2012,"Diagnoses and Incidence","# Diagnosed",53,22,75
2012.25,"Diagnoses and Incidence","# Diagnosed",55,20,75
2012.5,"Diagnoses and Incidence","# Diagnosed",50,19,69
2012.75,"Diagnoses and Incidence","# Diagnosed",44,20,64
2013,"Diagnoses and Incidence","# Diagnosed",52,21,73
2013.25,"Diagnoses and Incidence","# Diagnosed",44,20,64
2013.5,"Diagnoses and Incidence","# Diagnosed",40,17,57
2013.75,"Diagnoses and Incidence","# Diagnosed",42,12,54
2014,"Diagnoses and Incidence","# Diagnosed",32,24,56
2014.25,"Diagnoses and Incidence","# Diagnosed",60,18,78
2014.5,"Diagnoses and Incidence","# Diagnosed",59,28,87
2014.75,"Diagnoses and Incidence","# Diagnosed",35,16,51
2015,"Diagnoses and Incidence","# Diagnosed",38,24,62
2015.25,"Diagnoses and Incidence","# Diagnosed",39,16,55
2015.5,"Diagnoses and Incidence","# Diagnosed",46,11,57
2015.75,"Diagnoses and Incidence","# Diagnosed",39,21,60
2016,"Diagnoses and Incidence","# Diagnosed",44,17,61
2016.25,"Diagnoses and Incidence","# Diagnosed",35,17,52
2016.5,"Diagnoses and Incidence","# Diagnosed",35,21,56
2016.75,"Diagnoses and Incidence","# Diagnosed",31,17,48
2017,"Diagnoses and Incidence","# Diagnosed",25,24,49
2017.25,"Diagnoses and Incidence","# Diagnosed",37,16,53
2017.5,"Diagnoses and Incidence","# Diagnosed",39,20,59
2017.75,"Diagnoses and Incidence","# Diagnosed",38,19,57
2005,"Diagnoses and Incidence","Base Case",55.60243867256,20.3377764169506,75.9402150895105
2005.25,"Diagnoses and Incidence","Base Case",55.5414341659823,20.0683612538384,75.6097954198207
2005.5,"Diagnoses and Incidence","Base Case",55.6078599735458,19.9394710531434,75.5473310266891
2005.75,"Diagnoses and Incidence","Base Case",55.8355271112263,19.7870146240454,75.6225417352716
2006,"Diagnoses and Incidence","Base Case",55.9258403245489,19.5387228330479,75.4645631575968
2006.25,"Diagnoses and Incidence","Base Case",55.958704880938,19.4126412643742,75.3713461453123
2006.5,"Diagnoses and Incidence","Base Case",55.8710175365342,19.1902705346117,75.0612880711459
2006.75,"Diagnoses and Incidence","Base Case",55.91085967449,19.1646494903351,75.0755091648251
2007,"Diagnoses and Incidence","Base Case",56.0359341347532,19.1144344270039,75.1503685617572
2007.25,"Diagnoses and Incidence","Base Case",55.9249610047108,19.0503418128048,74.9753028175156
2007.5,"Diagnoses and Incidence","Base Case",55.484149755686,18.9818098743374,74.4659596300234
2007.75,"Diagnoses and Incidence","Base Case",54.9962002886306,18.8264162419012,73.8226165305318
2008,"Diagnoses and Incidence","Base Case",54.9507986231618,18.5926748238396,73.5434734470014
2008.25,"Diagnoses and Incidence","Base Case",55.0794649355579,18.054467075066,73.1339320106239
2008.5,"Diagnoses and Incidence","Base Case",55.2548903507783,17.1657342451145,72.4206245958928
2008.75,"Diagnoses and Incidence","Base Case",55.7562515804167,16.2836352669728,72.0398868473895
2009,"Diagnoses and Incidence","Base Case",56.2984145794938,15.5703416029203,71.868756182414
2009.25,"Diagnoses and Incidence","Base Case",57.0448158609692,15.1096836025898,72.154499463559
2009.5,"Diagnoses and Incidence","Base Case",57.4898266814175,14.7819304920835,72.2717571735009
2009.75,"Diagnoses and Incidence","Base Case",57.7826404289209,14.5019556265292,72.2845960554501
2010,"Diagnoses and Incidence","Base Case",57.6120870177902,14.0947535767028,71.706840594493
2010.25,"Diagnoses and Incidence","Base Case",56.7373813686152,13.9261915582707,70.663572926886
2010.5,"Diagnoses and Incidence","Base Case",55.4690020518987,14.0366922758245,69.5056943277233
2010.75,"Diagnoses and Incidence","Base Case",54.1171247777999,14.3596190542542,68.4767438320541
2011,"Diagnoses and Incidence","Base Case",52.8583991211303,14.8072183804273,67.6656175015576
2011.25,"Diagnoses and Incidence","Base Case",51.7645332806208,15.3740869513245,67.1386202319453
2011.5,"Diagnoses and Incidence","Base Case",50.6644032202514,16.0971975082795,66.7616007285309
2011.75,"Diagnoses and Incidence","Base Case",49.7262335994979,16.8865996506067,66.6128332501046
2012,"Diagnoses and Incidence","Base Case",48.7456284621831,17.6166795418958,66.3623080040788
2012.25,"Diagnoses and Incidence","Base Case",47.6610835612719,18.139232556413,65.8003161176849
2012.5,"Diagnoses and Incidence","Base Case",46.4500965164527,18.5146050804422,64.9647015968949
2012.75,"Diagnoses and Incidence","Base Case",45.3088664299503,18.7968357242908,64.1057021542412
2013,"Diagnoses and Incidence","Base Case",44.3424109019825,18.9474522355377,63.2898631375202
2013.25,"Diagnoses and Incidence","Base Case",43.3249797905143,19.0546066537138,62.3795864442281
2013.5,"Diagnoses and Incidence","Base Case",42.5630614618431,19.1398103717021,61.7028718335453
2013.75,"Diagnoses and Incidence","Base Case",42.1108154872814,19.3225289855214,61.4333444728028
2014,"Diagnoses and Incidence","Base Case",41.8326809366448,19.4928579708237,61.3255389074685
2014.25,"Diagnoses and Incidence","Base Case",41.7214965836877,19.4589023285941,61.1803989122817
2014.5,"Diagnoses and Incidence","Base Case",40.765630600643,19.2828581170606,60.0484887177036
2014.75,"Diagnoses and Incidence","Base Case",39.3555680387657,18.9398096497766,58.2953776885424
2015,"Diagnoses and Incidence","Base Case",38.3779363046636,18.6848599047128,57.0627962093764
2015.25,"Diagnoses and Incidence","Base Case",37.5884860375359,18.4644903569215,56.0529763944574
2015.5,"Diagnoses and Incidence","Base Case",36.8085937236497,18.4720671599566,55.2806608836063
2015.75,"Diagnoses and Incidence","Base Case",35.794509477865,18.6720310850234,54.4665405628884
2016,"Diagnoses and Incidence","Base Case",34.8001346543024,18.827868615984,53.6280032702865
2016.25,"Diagnoses and Incidence","Base Case",33.7132529943484,19.0368922991996,52.750145293548
2016.5,"Diagnoses and Incidence","Base Case",32.9400284630396,19.2166709497832,52.1566994128228
2016.75,"Diagnoses and Incidence","Base Case",32.4915407325927,19.3264684144245,51.8180091470172
2017,"Diagnoses and Incidence","Base Case",32.5230848246027,19.3966174783657,51.9197023029684
2017.25,"Diagnoses and Incidence","Base Case",33.0426706361622,19.375168396565,52.4178390327272
2017.5,"Diagnoses and Incidence","Base Case",33.3917028281355,19.4081353620041,52.7998381901397
2017.75,"Diagnoses and Incidence","Base Case",33.5138966468558,19.4098088554466,52.9237055023024
2005,"Undiagnosed Cases","Base Case",343.369137961015,410.619998286938,753.989136247954
2005.25,"Undiagnosed Cases","Base Case",341.495233020865,408.124678961717,749.619911982582
2005.5,"Undiagnosed Cases","Base Case",343.81002356777,410.658464204738,754.468487772508
2005.75,"Undiagnosed Cases","Base Case",347.179592627027,407.325054321988,754.504646949015
2006,"Undiagnosed Cases","Base Case",346.248190241023,402.886488035372,749.134678276394
2006.25,"Undiagnosed Cases","Base Case",345.056258721535,400.173238784014,745.229497505548
2006.5,"Undiagnosed Cases","Base Case",342.502394421851,397.608593436036,740.110987857887
2006.75,"Undiagnosed Cases","Base Case",345.960322231941,399.867719365227,745.828041597168
2007,"Undiagnosed Cases","Base Case",350.141837475303,398.035392618682,748.177230093985
2007.25,"Undiagnosed Cases","Base Case",347.256179971123,396.102810948345,743.358990919468
2007.5,"Undiagnosed Cases","Base Case",338.763542048419,395.914523271031,734.67806531945
2007.75,"Undiagnosed Cases","Base Case",334.892159350317,395.536063767381,730.428223117698
2008,"Undiagnosed Cases","Base Case",339.930028707143,394.761017448021,734.691046155165
2008.25,"Undiagnosed Cases","Base Case",339.994501462204,387.081285992927,727.075787455131
2008.5,"Undiagnosed Cases","Base Case",339.647570767256,374.724314607976,714.371885375232
2008.75,"Undiagnosed Cases","Base Case",343.948919242397,367.458250816901,711.407170059298
2009,"Undiagnosed Cases","Base Case",347.447754220137,364.241908270683,711.68966249082
2009.25,"Undiagnosed Cases","Base Case",354.431203936933,362.949992056791,717.381195993723
2009.5,"Undiagnosed Cases","Base Case",355.671060529197,363.090692219698,718.761752748895
2009.75,"Undiagnosed Cases","Base Case",361.308688775216,355.96166812271,717.270356897926
2010,"Undiagnosed Cases","Base Case",360.034382064633,345.383710345676,705.418092410309
2010.25,"Undiagnosed Cases","Base Case",350.739027579988,342.532641924734,693.271669504722
2010.5,"Undiagnosed Cases","Base Case",343.134393045836,341.472972319487,684.607365365323
2010.75,"Undiagnosed Cases","Base Case",338.743346392811,340.474525320259,679.21787171307
2011,"Undiagnosed Cases","Base Case",337.358944258169,337.928513537539,675.287457795708
