"Subgroup","Year","Diagnoses/Case","Estimate","Min.","Mean","Max."
"MSM Inside KC",2010,"PLWHA","PLWHA",NA,4949,NA
"MSM Inside KC",2010,"Base Case","Undiagnosed Cases",342,351.4,363.4
"MSM Inside KC",2010,"Base Case","True Prevalence",5291,5300.4,5312.4
"MSM Inside KC",2010,"Base Case","Undiagnosed Fraction (%)",6.5,6.6,6.8
"MSM Inside KC",2010,"Upper Bound","Undiagnosed Cases",670.3,683.7,701.1
"MSM Inside KC",2010,"Upper Bound","True Prevalence",5619.3,5632.7,5650.1
"MSM Inside KC",2010,"Upper Bound","Undiagnosed Fraction (%)",11.9,12.1,12.4
"MSM Inside KC",2011,"PLWHA","PLWHA",NA,4835,NA
"MSM Inside KC",2011,"Base Case","Undiagnosed Cases",336.6,338.4,340.6
"MSM Inside KC",2011,"Base Case","True Prevalence",5171.6,5173.4,5175.6
"MSM Inside KC",2011,"Base Case","Undiagnosed Fraction (%)",6.5,6.5,6.6
"MSM Inside KC",2011,"Upper Bound","Undiagnosed Cases",658.2,662.5,667.8
"MSM Inside KC",2011,"Upper Bound","True Prevalence",5493.2,5497.5,5502.8
"MSM Inside KC",2011,"Upper Bound","Undiagnosed Fraction (%)",12,12.1,12.1
"MSM Inside KC",2012,"PLWHA","PLWHA",NA,4830,NA
"MSM Inside KC",2012,"Base Case","Undiagnosed Cases",319.5,326.3,334.1
"MSM Inside KC",2012,"Base Case","True Prevalence",5149.5,5156.3,5164.1
"MSM Inside KC",2012,"Base Case","Undiagnosed Fraction (%)",6.2,6.3,6.5
"MSM Inside KC",2012,"Upper Bound","Undiagnosed Cases",630,640.2,652.6
"MSM Inside KC",2012,"Upper Bound","True Prevalence",5460,5470.2,5482.6
"MSM Inside KC",2012,"Upper Bound","Undiagnosed Fraction (%)",11.5,11.7,11.9
"MSM Inside KC",2013,"PLWHA","PLWHA",NA,4929,NA
"MSM Inside KC",2013,"Base Case","Undiagnosed Cases",308.1,310.9,316.6
"MSM Inside KC",2013,"Base Case","True Prevalence",5237.1,5239.9,5245.6
"MSM Inside KC",2013,"Base Case","Undiagnosed Fraction (%)",5.9,5.9,6
"MSM Inside KC",2013,"Upper Bound","Undiagnosed Cases",611.2,615.9,623.6
