"time","group","var","non-MSM","MSM","value"
2005,"Diagnoses and Incidence","# Diagnosed",32,31,63
2005.25,"Diagnoses and Incidence","# Diagnosed",17,39,56
2005.5,"Diagnoses and Incidence","# Diagnosed",30,33,63
2005.75,"Diagnoses and Incidence","# Diagnosed",23,34,57
2006,"Diagnoses and Incidence","# Diagnosed",20,34,54
2006.25,"Diagnoses and Incidence","# Diagnosed",23,40,63
2006.5,"Diagnoses and Incidence","# Diagnosed",23,29,52
2006.75,"Diagnoses and Incidence","# Diagnosed",30,31,61
2007,"Diagnoses and Incidence","# Diagnosed",37,39,76
2007.25,"Diagnoses and Incidence","# Diagnosed",20,43,63
2007.5,"Diagnoses and Incidence","# Diagnosed",32,35,67
2007.75,"Diagnoses and Incidence","# Diagnosed",22,32,54
2008,"Diagnoses and Incidence","# Diagnosed",23,26,49
2008.25,"Diagnoses and Incidence","# Diagnosed",25,45,70
2008.5,"Diagnoses and Incidence","# Diagnosed",28,29,57
2008.75,"Diagnoses and Incidence","# Diagnosed",20,23,43
2009,"Diagnoses and Incidence","# Diagnosed",27,49,76
2009.25,"Diagnoses and Incidence","# Diagnosed",31,33,64
2009.5,"Diagnoses and Incidence","# Diagnosed",22,29,51
2009.75,"Diagnoses and Incidence","# Diagnosed",18,26,44
2010,"Diagnoses and Incidence","# Diagnosed",34,33,67
2010.25,"Diagnoses and Incidence","# Diagnosed",16,31,47
2010.5,"Diagnoses and Incidence","# Diagnosed",29,32,61
2010.75,"Diagnoses and Incidence","# Diagnosed",22,30,52
2011,"Diagnoses and Incidence","# Diagnosed",21,46,67
2011.25,"Diagnoses and Incidence","# Diagnosed",12,31,43
2011.5,"Diagnoses and Incidence","# Diagnosed",18,24,42
2011.75,"Diagnoses and Incidence","# Diagnosed",28,36,64
2012,"Diagnoses and Incidence","# Diagnosed",28,33,61
2012.25,"Diagnoses and Incidence","# Diagnosed",24,39,63
2012.5,"Diagnoses and Incidence","# Diagnosed",18,29,47
2012.75,"Diagnoses and Incidence","# Diagnosed",23,22,45
2013,"Diagnoses and Incidence","# Diagnosed",14,34,48
2013.25,"Diagnoses and Incidence","# Diagnosed",20,29,49
2013.5,"Diagnoses and Incidence","# Diagnosed",20,30,50
2013.75,"Diagnoses and Incidence","# Diagnosed",21,32,53
2014,"Diagnoses and Incidence","# Diagnosed",17,26,43
2014.25,"Diagnoses and Incidence","# Diagnosed",18,23,41
2014.5,"Diagnoses and Incidence","# Diagnosed",21,21,42
2014.75,"Diagnoses and Incidence","# Diagnosed",21,23,44
