"Subgroup","Year","Diagnoses/Case","Estimate","Min.","Mean","Max."
"non-MSM",2010,"PLWHA","PLWHA",NA,1128,NA
"non-MSM",2010,"Base Case","Undiagnosed Cases",403.9,412.7,420.9
"non-MSM",2010,"Base Case","True Prevalence",1531.9,1540.7,1548.9
"non-MSM",2010,"Base Case","Undiagnosed Fraction (%)",26.4,26.8,27.2
"non-MSM",2010,"Upper Bound","Undiagnosed Cases",780.1,788.1,795.9
"non-MSM",2010,"Upper Bound","True Prevalence",1908.1,1916.1,1923.9
"non-MSM",2010,"Upper Bound","Undiagnosed Fraction (%)",40.9,41.1,41.4
"non-MSM",2011,"PLWHA","PLWHA",NA,1174,NA
"non-MSM",2011,"Base Case","Undiagnosed Cases",399.8,401.1,403.8
"non-MSM",2011,"Base Case","True Prevalence",1573.8,1575.1,1577.8
"non-MSM",2011,"Base Case","Undiagnosed Fraction (%)",25.4,25.5,25.6
"non-MSM",2011,"Upper Bound","Undiagnosed Cases",777.5,780.7,784.3
"non-MSM",2011,"Upper Bound","True Prevalence",1951.5,1954.7,1958.3
"non-MSM",2011,"Upper Bound","Undiagnosed Fraction (%)",39.8,39.9,40.1
"non-MSM",2012,"PLWHA","PLWHA",NA,1207,NA
"non-MSM",2012,"Base Case","Undiagnosed Cases",375.3,381.8,390.9
"non-MSM",2012,"Base Case","True Prevalence",1582.3,1588.8,1597.9
"non-MSM",2012,"Base Case","Undiagnosed Fraction (%)",23.7,24,24.5
"non-MSM",2012,"Upper Bound","Undiagnosed Cases",763,766.3,772.5
"non-MSM",2012,"Upper Bound","True Prevalence",1970,1973.3,1979.5
"non-MSM",2012,"Upper Bound","Undiagnosed Fraction (%)",38.7,38.8,39
"non-MSM",2013,"PLWHA","PLWHA",NA,1242,NA
"non-MSM",2013,"Base Case","Undiagnosed Cases",371,372.9,374.3
"non-MSM",2013,"Base Case","True Prevalence",1613,1614.9,1616.3
"non-MSM",2013,"Base Case","Undiagnosed Fraction (%)",23,23.1,23.2
"non-MSM",2013,"Upper Bound","Undiagnosed Cases",764.3,767.6,769.8
"non-MSM",2013,"Upper Bound","True Prevalence",2006.3,2009.6,2011.8
"non-MSM",2013,"Upper Bound","Undiagnosed Fraction (%)",38.1,38.2,38.3
"non-MSM",2014,"PLWHA","PLWHA",NA,1258,NA
"non-MSM",2014,"Base Case","Undiagnosed Cases",371.4,375.6,379.2
"non-MSM",2014,"Base Case","True Prevalence",1629.4,1633.6,1637.2
"non-MSM",2014,"Base Case","Undiagnosed Fraction (%)",22.8,23,23.2
"non-MSM",2014,"Upper Bound","Undiagnosed Cases",773,780.8,787.6
"non-MSM",2014,"Upper Bound","True Prevalence",2031,2038.8,2045.6
