time,group,var,M White,F Black,F White,M Other,F Other,M Black,value
2010,Diagnoses and Incidence,# Diagnosed,8,12,14,10,8,10,62
2011,Diagnoses and Incidence,# Diagnosed,11,18,7,9,5,12,62
2012,Diagnoses and Incidence,# Diagnosed,15,22,9,12,12,10,80
2013,Diagnoses and Incidence,# Diagnosed,8,22,7,15,8,8,68
2014,Diagnoses and Incidence,# Diagnosed,13,21,10,12,8,20,84
2015,Diagnoses and Incidence,# Diagnosed,12,19,6,12,6,15,70
2016,Diagnoses and Incidence,# Diagnosed,9,24,6,12,9,12,72
2017,Diagnoses and Incidence,# Diagnosed,6,30,11,6,7,17,77
2018,Diagnoses and Incidence,# Diagnosed,13,26,8,6,5,14,72
2010,Diagnoses and Incidence,Base Case,11,21,10,10,8,12,71
2011,Diagnoses and Incidence,Base Case,11,22,8,10,8,13,72
2012,Diagnoses and Incidence,Base Case,11,23,8,10,8,13,74
2013,Diagnoses and Incidence,Base Case,11,24,8,9,7,14,73
2014,Diagnoses and Incidence,Base Case,11,25,8,9,7,15,74
2015,Diagnoses and Incidence,Base Case,10,26,7,8,6,16,73
2016,Diagnoses and Incidence,Base Case,10,27,7,7,6,16,72
2017,Diagnoses and Incidence,Base Case,10,27,8,6,6,16,73
2018,Diagnoses and Incidence,Base Case,10,27,8,6,5,16,73
2010,Undiagnosed Cases,Base Case,55.28824402,93.39439906,32.12516187,73.76910614,44.97379,47.51861484,347.0693159
2011,Undiagnosed Cases,Base Case,57.17213206,100.6139206,28.92485916,75.37179601,46.00589024,49.60394333,357.6925414
2012,Undiagnosed Cases,Base Case,56.19494707,105.0069518,28.75247565,76.35084865,46.17483836,51.00465443,363.4847159
2013,Undiagnosed Cases,Base Case,54.84754229,107.8927796,27.66791526,72.48191608,43.32550627,55.63332675,361.8489862
2014,Undiagnosed Cases,Base Case,55.87674402,111.3243111,27.18733925,67.70453274,42.29654229,59.94954306,364.3390125
2015,Undiagnosed Cases,Base Case,53.49592721,116.924035,25.40345409,63.36030122,41.37745823,58.35182906,358.9130048
2016,Undiagnosed Cases,Base Case,52.30909778,123.4203701,26.28576689,57.10654424,40.14272643,60.18637036,359.4508758
2017,Undiagnosed Cases,Base Case,53.79133383,125.8708265,27.31085706,53.69847213,37.75178679,62.47708081,360.9003571
2018,Undiagnosed Cases,Base Case,55.17139819,125.6958859,25.80672863,53.81350604,36.85218005,62.62036307,359.9600619
2010,Diagnoses and Incidence,Upper Bound,10.66324221,23.87311352,8.70518217,8.064796597,6.788025013,13.68134649,71.77570599
2011,Diagnoses and Incidence,Upper Bound,10.7720791,24.70719887,7.846936862,7.988639496,6.661208517,14.226294,72.20235685
2012,Diagnoses and Incidence,Upper Bound,10.83413405,25.48041036,7.47928544,7.751174668,6.556505619,14.73303178,72.83454192
2013,Diagnoses and Incidence,Upper Bound,10.65394897,26.10801332,7.19302579,7.355766459,6.261007255,15.49503165,73.06679345
2014,Diagnoses and Incidence,Upper Bound,10.50688468,26.65566579,7.069913124,6.999298254,6.048479134,16.2416459,73.52188689
2015,Diagnoses and Incidence,Upper Bound,10.26543505,27.18263597,6.928458125,6.669289761,5.827596267,16.44185095,73.31526612
2016,Diagnoses and Incidence,Upper Bound,10.11327609,27.63596055,7.282969516,6.326630161,5.691372669,16.5747322,73.62494118
2017,Diagnoses and Incidence,Upper Bound,10.10866304,27.89869062,7.730576939,6.178553995,5.478570511,16.72466021,74.11971532
2018,Diagnoses and Incidence,Upper Bound,10.26779652,27.95469672,7.697914203,6.178553995,5.326606309,16.70283594,74.12840369
2010,Undiagnosed Cases,Upper Bound,103.6376951,199.483831,53.72200686,122.4543924,78.60073733,95.56174156,653.4604043
2011,Undiagnosed Cases,Upper Bound,105.0105101,209.4917814,50.29906197,121.2007357,78.73236013,98.89691878,663.6313681
2012,Undiagnosed Cases,Upper Bound,103.3694908,215.7141776,49.65664385,118.6967416,77.03893468,101.8779171,666.3539056
2013,Undiagnosed Cases,Upper Bound,102.4528374,220.2396243,48.61500168,112.4952087,73.19597799,108.420737,665.419387
2014,Undiagnosed Cases,Upper Bound,102.6580372,225.5055227,47.21087902,105.9574584,71.25451611,112.4374064,665.0238199
2015,Undiagnosed Cases,Upper Bound,100.240135,233.0885145,45.45209744,100.6436166,69.98340986,111.6007002,661.0084735
2016,Undiagnosed Cases,Upper Bound,99.55496691,240.2779102,46.59947802,94.72403264,68.26192562,114.618958,664.0372714
2017,Undiagnosed Cases,Upper Bound,101.8325733,242.3300552,46.57262012,91.71960535,65.6738229,117.4181429,665.5468198
2018,Undiagnosed Cases,Upper Bound,102.9271563,242.5978733,44.72025252,91.89815935,64.83853352,118.5480835,665.5300585
